"","model","expt","condition","phase","trial","params","LL"
"1","multinom","exp_2","construct","A",1,1.89262673534205,-125.018835828914
"2","multinom","exp_2","construct","A",2,3.84354719232374,-144.997418490055
"3","multinom","exp_2","construct","A",3,3.9198533248969,-145.501506713975
"4","multinom","exp_2","construct","A",4,4.18624719384845,-142.430541914161
"5","multinom","exp_2","construct","A",5,3.66517861249477,-140.456633183048
"6","multinom","exp_2","construct","A",6,3.70862516494902,-140.657588695475
"7","multinom","exp_2","construct","A",7,3.48527961359067,-136.356487932841
"8","multinom","exp_2","construct","A",8,3.80285679256082,-144.384874684172
"9","multinom","exp_2","construct","B",1,1.71720535955956,-116.848979641387
"10","multinom","exp_2","construct","B",2,2.01153454711186,-144.822648166236
"11","multinom","exp_2","construct","B",3,2.0813034781992,-145.681324967643
"12","multinom","exp_2","construct","B",4,1.63844339556193,-108.477494380006
"13","multinom","exp_2","construct","B",5,1.99599630021465,-143.931996692108
"14","multinom","exp_2","construct","B",6,2.05226249994938,-141.737376285411
"15","multinom","exp_2","construct","B",7,1.78761513950402,-115.168161125793
"16","multinom","exp_2","construct","B",8,2.09914155742489,-146.638336523581
"17","multinom","exp_2","decon","A",1,1.1881613630953,-164.325078781256
"18","multinom","exp_2","decon","A",2,1.26135260599161,-164.805659387592
"19","multinom","exp_2","decon","A",3,1.04522786519723,-154.621296032991
"20","multinom","exp_2","decon","A",4,1.18814777221659,-164.324279758601
"21","multinom","exp_2","decon","A",5,1.21624632326284,-162.179571479025
"22","multinom","exp_2","decon","A",6,1.01938267501781,-154.42765294009
"23","multinom","exp_2","decon","A",7,1.1931200329602,-160.940059238161
"24","multinom","exp_2","decon","A",8,1.26135260599161,-164.805659387592
"25","multinom","exp_2","decon","B",1,1.56741953049491,-140.358048071994
"26","multinom","exp_2","decon","B",2,1.81315866777341,-162.250306786426
"27","multinom","exp_2","decon","B",3,1.74013687071276,-148.553629489345
"28","multinom","exp_2","decon","B",4,1.56603855801527,-137.451903975829
"29","multinom","exp_2","decon","B",5,1.85383909806152,-168.096263374847
"30","multinom","exp_2","decon","B",6,1.85137180088546,-159.645741939016
"31","multinom","exp_2","decon","B",7,1.82500351024501,-156.087665842459
"32","multinom","exp_2","decon","B",8,1.97898338810306,-174.533290391714
"33","multinom","exp_2","combine","A",1,2.1893222060608,-115.984511193989
"34","multinom","exp_2","combine","A",2,4.08878220227605,-138.514874784629
"35","multinom","exp_2","combine","A",3,3.84257079767397,-131.377972211511
"36","multinom","exp_2","combine","A",4,4.73005130838933,-142.299681438075
"37","multinom","exp_2","combine","A",5,3.86328946991193,-132.581193873201
"38","multinom","exp_2","combine","A",6,3.95032999731576,-133.717311849869
"39","multinom","exp_2","combine","A",7,4.10671558167231,-137.475050848005
"40","multinom","exp_2","combine","A",8,4.08747340356575,-138.883593500146
"41","multinom","exp_2","combine","B",1,1.99960042510287,-151.302816416709
"42","multinom","exp_2","combine","B",2,1.87083895510228,-139.417612141911
"43","multinom","exp_2","combine","B",3,1.81628605338682,-126.898534722911
"44","multinom","exp_2","combine","B",4,1.37148733273324,-92.9088097670094
"45","multinom","exp_2","combine","B",5,1.97001128124996,-146.918746670821
"46","multinom","exp_2","combine","B",6,1.8162891141239,-126.898558665207
"47","multinom","exp_2","combine","B",7,1.66795904312968,-111.793812331139
"48","multinom","exp_2","combine","B",8,1.80032220544819,-125.078292573805
