"","model","expt","condition","phase","trial","params","LL"
"1","similarity","exp_1","construct","A",1,"6.19361741332486, -9.83019291024854, 7.09001634296409, 0.950504420571508",-137.994354646388
"2","similarity","exp_1","construct","A",2,"7.96933101860914, -9.37803067976674, 8.34645484069661, 1.77115250980338",-160.800948235588
"3","similarity","exp_1","construct","A",3,"6.13232365279196, -9.10717570578195, 6.76151002785944, 1.69690846506962",-159.829322320348
"4","similarity","exp_1","construct","A",4,"7.52840792527429, -8.42873425350035, 7.86232809438455, 1.65846461942536",-155.238864355215
"5","similarity","exp_1","construct","A",5,"7.87991566473096, -3.86745136755509, 8.31458354507013, 1.74417487992223",-159.697643685718
"6","similarity","exp_1","construct","A",6,"7.63522852171142, -12.6401654566087, 7.67952603397798, 1.48566003898117",-148.188633065804
"7","similarity","exp_1","construct","A",7,"8.40631597001243, -14.3235451179096, 8.87323519581318, 1.81661095523348",-164.405485527429
"8","similarity","exp_1","construct","A",8,"6.63845147962392, -7.2986448685911, 7.1270098715603, 1.82433760242648",-165.184180384656
"9","similarity","exp_1","construct","B",1,"1.38126948817157, 0.327691295241791, -14.3291044531346, 3.12725759974678",-134.507931519817
"10","similarity","exp_1","construct","B",2,"4.66435914070196, -0.0262781651212849, 4.89783252898037, 5.42001539352095",-155.551191603492
"11","similarity","exp_1","construct","B",3,"39.4585211558782, 0.477269740452386, -55.3360238509832, 3.30788837898037",-165.181927523554
"12","similarity","exp_1","construct","B",4,"17.8822598577133, 0.178405762986178, -3.85021888286579, 3.5098268769548",-157.779066289461
"13","similarity","exp_1","construct","B",5,"1.35134771960795, 0.686153458094863, -14.7810950165012, 3.11994932331388",-159.096406823709
"14","similarity","exp_1","construct","B",6,"15.6265232734934, 0.169606783322779, -2.24784179538995, 3.20001015881321",-131.549048981227
"15","similarity","exp_1","construct","B",7,"1.38439797014043, -0.01169338628785, 1.04814865675184, 5.99662334951126",-187.872516118889
"16","similarity","exp_1","construct","B",8,"6.95357679066017, -0.00548207658742557, 6.56148670516801, 5.44905266126839",-163.177445114079
"17","similarity","exp_1","decon","A",1,"-0.013660356434808, 0.331807073498021, 0.0429172391104431, 2.05980701526814",-159.032131677802
"18","similarity","exp_1","decon","A",2,"0.866102081007908, 0.659482246095239, 1.04501668281047, 1.73541008266561",-142.035515152205
"19","similarity","exp_1","decon","A",3,"0.700214582120376, 0.157999992790741, 0.767780448287164, 1.92456050594655",-148.617373434393
"20","similarity","exp_1","decon","A",4,"4.2537869498175, -6.67435407375575, -2.23035610455859, 1.40861476401124",-149.518238597809
"21","similarity","exp_1","decon","A",5,"0.508359632759844, 0.203157809212754, 0.726944704629855, 1.9553043740835",-147.100909783019
"22","similarity","exp_1","decon","A",6,"1.04968704409693, 0.256684344650338, 0.943017920161036, 2.07720323937212",-157.590505629872
"23","similarity","exp_1","decon","A",7,"2.06185805366715, 1.66935022789822, 0.754633094574543, 1.98931978140698",-169.108943500349
"24","similarity","exp_1","decon","A",8,"0.66624708287426, 0.0280033837654361, 0.453249425757669, 2.14417330407255",-164.947007111399
"25","similarity","exp_1","decon","B",1,"0.352863509543394, -0.0949744603582086, 0.520524438376036, 3.93306910626638",-105.839862679339
