"","model","expt","condition","phase","trial","params","LL"
"1","AG","exp_1","construct","A",1,2.40374494842406,-127.01067639999
"2","AG","exp_1","construct","A",2,2.50371320381349,-151.410442782007
"3","AG","exp_1","construct","A",3,2.38600256383344,-124.615333018764
"4","AG","exp_1","construct","A",4,2.34505663641641,-115.576368754809
"5","AG","exp_1","construct","A",5,2.47139270869461,-143.979802321447
"6","AG","exp_1","construct","A",6,2.40856867918184,-129.403576992552
"7","AG","exp_1","construct","A",7,2.34735722366016,-115.428976507483
"8","AG","exp_1","construct","A",8,2.44532357368469,-136.690741907666
"9","AG","exp_1","construct","B",1,2.66146416398837,-121.858050894624
"10","AG","exp_1","construct","B",2,2.4948941466437,-82.1526728453775
"11","AG","exp_1","construct","B",3,2.66101650510514,-121.84835603564
"12","AG","exp_1","construct","B",4,2.65075550637377,-119.207517674694
"13","AG","exp_1","construct","B",5,2.72867612569147,-140.610156182223
"14","AG","exp_1","construct","B",6,2.69144256840141,-129.925083700331
"15","AG","exp_1","construct","B",7,2.66055125633251,-121.833499106174
"16","AG","exp_1","construct","B",8,2.70910114291047,-135.183199517225
"17","AG","exp_1","decon","A",1,2.5413476981627,-101.499335204391
"18","AG","exp_1","decon","A",2,2.68334447562065,-133.926183615724
"19","AG","exp_1","decon","A",3,2.75961816731032,-145.153900233676
"20","AG","exp_1","decon","A",4,2.6548389181563,-129.47524529577
"21","AG","exp_1","decon","A",5,2.7953937350978,-150.673329743149
"22","AG","exp_1","decon","A",6,2.84462919139467,-161.87680102088
"23","AG","exp_1","decon","A",7,2.78544536550192,-137.321689833715
"24","AG","exp_1","decon","A",8,2.55300172547456,-111.726721430317
"25","AG","exp_1","decon","B",1,2.22051262619924,-110.717213023535
"26","AG","exp_1","decon","B",2,2.40213596846165,-139.895898425542
"27","AG","exp_1","decon","B",3,2.45519364755037,-146.038035393742
"28","AG","exp_1","decon","B",4,2.27625914443439,-124.416335296185
"29","AG","exp_1","decon","B",5,2.40796001622328,-139.058888134957
"30","AG","exp_1","decon","B",6,2.38894678348724,-138.056596732105
"31","AG","exp_1","decon","B",7,2.7536154666615,-183.358339685757
"32","AG","exp_1","decon","B",8,2.43904011429431,-142.546853603754
"33","AG","exp_1","combine","A",1,2.18505483770718,-132.067593153675
"34","AG","exp_1","combine","A",2,2.2840358709544,-152.17097367604
"35","AG","exp_1","combine","A",3,2.16558496750382,-129.76247919479
"36","AG","exp_1","combine","A",4,2.15391708980077,-127.793613984765
"37","AG","exp_1","combine","A",5,2.19171754714356,-134.178815316155
"38","AG","exp_1","combine","A",6,2.16770335863464,-129.849692748838
"39","AG","exp_1","combine","A",7,2.08724354346875,-115.459795317418
"40","AG","exp_1","combine","A",8,2.21736974424328,-138.63062891949
"41","AG","exp_1","combine","B",1,2.86134947642521,-143.409588195349
"42","AG","exp_1","combine","B",2,2.56355444740411,-69.0895411960772
"43","AG","exp_1","combine","B",3,2.75402845184879,-114.968321208362
"44","AG","exp_1","combine","B",4,2.76702438485618,-117.800921863512
"45","AG","exp_1","combine","B",5,2.76459974492375,-117.713546923418
"46","AG","exp_1","combine","B",6,2.77751441225891,-120.548453007657
"47","AG","exp_1","combine","B",7,2.72442828253195,-106.87529872002
"48","AG","exp_1","combine","B",8,2.78537530633087,-123.283298952945
"49","AG","exp_2","construct","A",1,1.59672990765378,-131.810117992174
"50","AG","exp_2","construct","A",2,1.92180128487654,-174.455642426047
"51","AG","exp_2","construct","A",3,1.58512706513001,-130.793554395389
"52","AG","exp_2","construct","A",4,1.92045596934777,-174.450906991576
"53","AG","exp_2","construct","A",5,1.6980382301654,-142.950362983012
"54","AG","exp_2","construct","A",6,1.61369170708326,-133.708451996497
"55","AG","exp_2","construct","A",7,1.8592293321699,-164.460987346387
"56","AG","exp_2","construct","A",8,1.65655141644559,-138.069378674933
"57","AG","exp_2","construct","B",1,1.66120246725983,-128.17689459544
"58","AG","exp_2","construct","B",2,1.9886972663552,-170.171469709268
"59","AG","exp_2","construct","B",3,1.64898038521963,-131.889075718427
"60","AG","exp_2","construct","B",4,1.94716955877458,-155.8815495292
"61","AG","exp_2","construct","B",5,1.75394343128829,-141.603975330772
"62","AG","exp_2","construct","B",6,2.01050273401758,-164.063525078354
"63","AG","exp_2","construct","B",7,1.98063153193938,-168.366875913724
