"","model","exp_id","condition","phase","trial","params","LL"
"1","AG",1,"construct","A",1,-2.35915495432167,-910.984516245133
"2","AG",1,"construct","A",2,-2.45918379247323,-887.772422433894
"3","AG",1,"construct","A",3,-2.35570139349349,-912.495127275189
"4","AG",1,"construct","A",4,-2.30675328921145,-922.038170890412
"5","AG",1,"construct","A",5,-2.45700352818117,-892.592197166309
"6","AG",1,"construct","A",6,-2.37326817706459,-908.047675663584
"7","AG",1,"construct","A",7,-2.31418114667604,-921.756121437529
"8","AG",1,"construct","A",8,-2.41494824371208,-900.560093792194
"9","AG",1,"construct","B",1,-2.70933939113187,-848.993770971749
"10","AG",1,"construct","B",2,-2.52327660056787,-891.975321725196
"11","AG",1,"construct","B",3,-2.65741543879144,-851.357183660784
"12","AG",1,"construct","B",4,-2.69426180449018,-852.030161570277
"13","AG",1,"construct","B",5,-2.76272635373675,-829.395209744899
"14","AG",1,"construct","B",6,-2.6860490982538,-844.130179247087
"15","AG",1,"construct","B",7,-2.71495840766846,-842.166018910276
"16","AG",1,"construct","B",8,-2.76359605961175,-835.182558308359
"17","AG",1,"decon","A",1,-2.45804760380568,-950.138146462962
"18","AG",1,"decon","A",2,-2.6363102690067,-923.056841550746
"19","AG",1,"decon","A",3,-2.74457516241749,-903.731881204124
"20","AG",1,"decon","A",4,-2.65937858838972,-921.832858641833
"21","AG",1,"decon","A",5,-2.8725445035902,-893.856002007661
"22","AG",1,"decon","A",6,-2.75669869968327,-900.916416139425
"23","AG",1,"decon","A",7,-2.70467656018955,-913.209476151586
"24","AG",1,"decon","A",8,-2.58209107032488,-940.974091970974
"25","AG",1,"decon","B",1,-1.97008849987549,-1002.12609898462
"26","AG",1,"decon","B",2,-2.17003218672959,-979.847051886901
"27","AG",1,"decon","B",3,-2.31113670514989,-965.042188381486
"28","AG",1,"decon","B",4,-2.14127915771442,-986.913721732558
"29","AG",1,"decon","B",5,-2.26163140686948,-972.88982724637
"30","AG",1,"decon","B",6,-2.23192705658651,-975.621198262797
"31","AG",1,"decon","B",7,-2.55350845210834,-933.865005968482
"32","AG",1,"decon","B",8,-2.2490497310603,-973.632271453054
"33","AG",1,"combine","A",1,-2.07682908930002,-924.863548737721
"34","AG",1,"combine","A",2,-2.19582031781142,-904.67347699274
"35","AG",1,"combine","A",3,-2.06969196295984,-926.392601815296
"36","AG",1,"combine","A",4,-2.0497134992632,-928.895217627126
"37","AG",1,"combine","A",5,-2.08872254002323,-922.551719565248
"38","AG",1,"combine","A",6,-2.06666795491324,-926.5293861899
"39","AG",1,"combine","A",7,-1.97200799877532,-941.483381786466
"40","AG",1,"combine","A",8,-2.12026111783136,-917.949723866056
"41","AG",1,"combine","B",1,-2.09359549163194,-952.140369409498
"42","AG",1,"combine","B",2,-2.07561049191373,-932.648669344652
"43","AG",1,"combine","B",3,-2.41877821494498,-900.690852450251
