"","model","expt","condition","phase","trial","params","LL"
"1","AG","exp_2","construct","A",1,2.18376559288305,-127.382222371736
"2","AG","exp_2","construct","A",2,2.11858612990559,-117.351077761092
"3","AG","exp_2","construct","A",3,2.06726827124864,-109.296309802314
"4","AG","exp_2","construct","A",4,2.2403410348207,-138.189847422196
"5","AG","exp_2","construct","A",5,2.19439838131,-129.938674358466
"6","AG","exp_2","construct","A",6,2.09193133830673,-113.225820823595
"7","AG","exp_2","construct","A",7,2.20803068010573,-132.075493365498
"8","AG","exp_2","construct","A",8,2.14553077680931,-121.408756772053
"9","AG","exp_2","construct","B",1,2.79980875825698,-126.228045784012
"10","AG","exp_2","construct","B",2,2.63857976110423,-113.617572747915
"11","AG","exp_2","construct","B",3,2.65181274259016,-113.961259017956
"12","AG","exp_2","construct","B",4,2.62214475097561,-93.6658205409151
"13","AG","exp_2","construct","B",5,2.70862652934365,-126.144928944981
"14","AG","exp_2","construct","B",6,2.69431857746283,-106.572785997979
"15","AG","exp_2","construct","B",7,2.6358642587335,-112.065489655292
"16","AG","exp_2","construct","B",8,2.81055843329713,-128.850717824748
"17","AG","exp_2","decon","A",1,1.42177160190617,-144.624839851854
"18","AG","exp_2","decon","A",2,1.87759135730781,-163.864244386267
"19","AG","exp_2","decon","A",3,1.72009575115329,-158.924707415746
"20","AG","exp_2","decon","A",4,1.83099429645895,-165.987151212244
"21","AG","exp_2","decon","A",5,1.50051639637189,-148.038495625399
"22","AG","exp_2","decon","A",6,1.83121044707771,-165.937642048147
"23","AG","exp_2","decon","A",7,1.88878994123419,-170.568952413885
"24","AG","exp_2","decon","A",8,1.76533134819428,-162.017149312721
"25","AG","exp_2","decon","B",1,2.50060512217982,-116.792676227563
"26","AG","exp_2","decon","B",2,2.84943862488476,-173.75496509972
"27","AG","exp_2","decon","B",3,2.71297251065644,-151.788124944159
"28","AG","exp_2","decon","B",4,2.61709029343973,-136.430181461934
"29","AG","exp_2","decon","B",5,2.63074657094535,-134.679684840634
"30","AG","exp_2","decon","B",6,2.70400181500953,-142.451476588496
"31","AG","exp_2","decon","B",7,2.70200745139261,-150.469696262906
"32","AG","exp_2","decon","B",8,2.75987976683163,-138.706724223663
"33","AG","exp_2","combine","A",1,1.95893703198079,-119.100936842226
"34","AG","exp_2","combine","A",2,1.95727675252564,-119.396068826938
"35","AG","exp_2","combine","A",3,1.93621388503513,-117.548026447115
"36","AG","exp_2","combine","A",4,2.05292543816061,-132.809586690264
"37","AG","exp_2","combine","A",5,2.00690072536545,-126.945192619763
"38","AG","exp_2","combine","A",6,1.93571779956887,-117.597010677465
"39","AG","exp_2","combine","A",7,1.98012689909471,-123.225151898917
"40","AG","exp_2","combine","A",8,1.99858220430528,-125.030798323313
"41","AG","exp_2","combine","B",1,1.92094327128533,-77.9028059924234
"42","AG","exp_2","combine","B",2,2.41372777780421,-150.004196612868
"43","AG","exp_2","combine","B",3,2.29456595383235,-128.1040158233
"44","AG","exp_2","combine","B",4,2.12973851297419,-110.177539546145
"45","AG","exp_2","combine","B",5,2.26724491678166,-123.485003031949
"46","AG","exp_2","combine","B",6,2.30393261570503,-128.647095699049
"47","AG","exp_2","combine","B",7,2.17621549704075,-108.501280591661
"48","AG","exp_2","combine","B",8,2.28997399144164,-126.328459740733
