"","model","exp_id","condition","phase","trial","params","LL"
"1","AG",1,"construct","A",1,-2.31530848218823,-913.594721652895
"2","AG",1,"construct","A",2,-2.43471360071476,-888.964227672403
"3","AG",1,"construct","A",3,-2.31232501062978,-915.037447366998
"4","AG",1,"construct","A",4,-2.26619262605898,-924.422733178656
"5","AG",1,"construct","A",5,-2.41525560954971,-895.171746272134
"6","AG",1,"construct","A",6,-2.33936217142249,-910.067928060616
"7","AG",1,"construct","A",7,-2.26999971114263,-924.305593016294
"8","AG",1,"construct","A",8,-2.37475392372289,-902.899329345292
"9","AG",1,"construct","B",1,-2.63813993774151,-843.98812153921
"10","AG",1,"construct","B",2,-2.45594495750091,-885.294056402793
"11","AG",1,"construct","B",3,-2.64001395023595,-843.653298725141
"12","AG",1,"construct","B",4,-2.63196404763501,-846.216536902053
"13","AG",1,"construct","B",5,-2.72486205798707,-824.141600677577
"14","AG",1,"construct","B",6,-2.66821088506203,-836.026764263852
"15","AG",1,"construct","B",7,-2.64935722352797,-842.955903033204
"16","AG",1,"construct","B",8,-2.69371007597282,-830.41999125209
"17","AG",1,"decon","A",1,-2.45804760380568,-950.138146462962
"18","AG",1,"decon","A",2,-2.6363102690067,-923.056841550746
"19","AG",1,"decon","A",3,-2.74457516241749,-903.731881204124
"20","AG",1,"decon","A",4,-2.65937858838972,-921.832858641833
"21","AG",1,"decon","A",5,-2.8725445035902,-893.856002007661
"22","AG",1,"decon","A",6,-2.75669869968327,-900.916416139425
"23","AG",1,"decon","A",7,-2.70467656018955,-913.209476151586
"24","AG",1,"decon","A",8,-2.58209107032488,-940.974091970974
"25","AG",1,"decon","B",1,-1.97008849987549,-1002.12609898462
"26","AG",1,"decon","B",2,-2.17003218672959,-979.847051886901
"27","AG",1,"decon","B",3,-2.31113670514989,-965.042188381486
"28","AG",1,"decon","B",4,-2.14127915771442,-986.913721732558
"29","AG",1,"decon","B",5,-2.26163140686948,-972.88982724637
"30","AG",1,"decon","B",6,-2.23192705658651,-975.621198262797
"31","AG",1,"decon","B",7,-2.55350845210834,-933.865005968482
"32","AG",1,"decon","B",8,-2.2490497310603,-973.632271453054
"33","AG",1,"combine","A",1,-2.13248760869584,-922.294088257312
"34","AG",1,"combine","A",2,-2.24296452508682,-902.553130444555
"35","AG",1,"combine","A",3,-2.13072464418235,-923.404073045006
"36","AG",1,"combine","A",4,-2.11983743351105,-925.371970790375
"37","AG",1,"combine","A",5,-2.16283554368565,-918.654742644146
"38","AG",1,"combine","A",6,-2.13681735888865,-922.995436565014
"39","AG",1,"combine","A",7,-2.04576104427544,-937.913477824043
"40","AG",1,"combine","A",8,-2.19612058397888,-914.033605642761
"41","AG",1,"combine","B",1,-2.81529539337253,-765.351057908619
"42","AG",1,"combine","B",2,-2.50889153350967,-839.856690714374
"43","AG",1,"combine","B",3,-2.7211633702031,-791.652355963537
"44","AG",1,"combine","B",4,-2.73743161970053,-788.59695027222
"45","AG",1,"combine","B",5,-2.73380102576453,-788.712073512229
"46","AG",1,"combine","B",6,-2.74912706230926,-785.763575524701
"47","AG",1,"combine","B",7,-2.68656090162834,-799.698983413945
"48","AG",1,"combine","B",8,-2.75045555078101,-783.670492007417
"49","AG",2,"construct","A",1,-2.0126403166744,-880.33486855714
"50","AG",2,"construct","A",2,-2.09153761147511,-867.632749228426
"51","AG",2,"construct","A",3,-1.8972012032405,-896.585089693585
"52","AG",2,"construct","A",4,-1.92319483630912,-892.849222653135
"53","AG",2,"construct","A",5,-2.0416709889107,-875.83291723789
"54","AG",2,"construct","A",6,-2.05379245652333,-873.848120478543
"55","AG",2,"construct","A",7,-1.94298000301988,-890.655495466446
"56","AG",2,"construct","A",8,-1.98614802151785,-884.382414490727
"57","AG",2,"construct","B",1,-2.47429764436329,-800.066637260442
"58","AG",2,"construct","B",2,-2.30065525710588,-832.520200458964
"59","AG",2,"construct","B",3,-2.41426722520149,-810.678620961882
"60","AG",2,"construct","B",4,-2.36633902962567,-820.383212381356
"61","AG",2,"construct","B",5,-2.48150887377862,-797.819228936728
"62","AG",2,"construct","B",6,-2.39301252041179,-815.321205740007
"63","AG",2,"construct","B",7,-2.38248459579699,-817.673704663359
"64","AG",2,"construct","B",8,-2.47157361523152,-800.265925304661
"65","AG",2,"decon","A",1,-2.12384940147812,-1086.05791622644
"66","AG",2,"decon","A",2,-2.37398147703828,-1044.22155525323
"67","AG",2,"decon","A",3,-2.46050765639389,-1028.80813589094
"68","AG",2,"decon","A",4,-2.50380500812753,-1027.51787364373
"69","AG",2,"decon","A",5,-2.39430030192537,-1042.10438481915
"70","AG",2,"decon","A",6,-2.48662152493831,-1023.08533605891
"71","AG",2,"decon","A",7,-2.43187276596655,-1035.88596621409
"72","AG",2,"decon","A",8,-2.30712137824288,-1069.57646328139
"73","AG",2,"decon","B",1,-1.95235261957537,-1108.16681925972
"74","AG",2,"decon","B",2,-2.17769464997404,-1074.67310785537
"75","AG",2,"decon","B",3,-2.31797631022478,-1053.06897236686
"76","AG",2,"decon","B",4,-2.31432488982787,-1060.49558019375
"77","AG",2,"decon","B",5,-2.25753941836804,-1066.49933081062
"78","AG",2,"decon","B",6,-2.32026804475146,-1051.47591451597
"79","AG",2,"decon","B",7,-2.44985618483124,-1029.06918623899
"80","AG",2,"decon","B",8,-2.28117416269242,-1067.49579343286
"81","AG",2,"combine","A",1,-1.66085356100847,-945.370405963835
"82","AG",2,"combine","A",2,-1.77516512268532,-932.126272750812
"83","AG",2,"combine","A",3,-1.64339601724658,-947.043748681398
"84","AG",2,"combine","A",4,-1.60584908900026,-950.5586330765
"85","AG",2,"combine","A",5,-1.72817552431876,-937.694389520402
"86","AG",2,"combine","A",6,-1.6987837638681,-941.324672873027
"87","AG",2,"combine","A",7,-1.66700138700018,-945.016719958058
"88","AG",2,"combine","A",8,-1.71024037050076,-939.757469680214
"89","AG",2,"combine","B",1,-2.15728639646627,-877.350934743292
"90","AG",2,"combine","B",2,-1.6960899722575,-941.215774105857
"91","AG",2,"combine","B",3,-2.03609642787181,-895.49628168103
"92","AG",2,"combine","B",4,-2.05203211706312,-893.29013703433
"93","AG",2,"combine","B",5,-2.11156500565835,-884.253964590456
"94","AG",2,"combine","B",6,-2.07745367839307,-890.308973236039
"95","AG",2,"combine","B",7,-2.0327567639062,-896.972221506496
"96","AG",2,"combine","B",8,-2.07447504220265,-890.488250677806
"97","AG",3,"combine","A",1,-2.23527295834197,-958.627790448744
"98","AG",3,"combine","A",2,-2.28703625494212,-946.298298799462
"99","AG",3,"combine","A",3,-2.21794112291742,-962.215945397142
"100","AG",3,"combine","A",4,-2.27249036552249,-951.431494216446
"101","AG",3,"combine","A",5,-2.3396063988029,-940.813843806349
"102","AG",3,"combine","A",6,-2.30925666531189,-945.939535331133
"103","AG",3,"combine","A",7,-2.13856935781118,-977.286198993908
"104","AG",3,"combine","A",8,-2.32948112028594,-943.276683823461
"105","AG",3,"combine","B",1,-2.99551572166465,-758.005473627863
"106","AG",3,"combine","B",2,-2.73122751645011,-831.804314694875
"107","AG",3,"combine","B",3,-2.87537482361673,-794.599061267857
"108","AG",3,"combine","B",4,-2.89034961407382,-791.450553194057
"109","AG",3,"combine","B",5,-2.89670870336124,-788.703080789892
"110","AG",3,"combine","B",6,-2.91295052322825,-785.472770699229
"111","AG",3,"combine","B",7,-2.90875485263089,-785.600462240853
"112","AG",3,"combine","B",8,-2.91629429732524,-783.018405839564
"113","AG",3,"flip","A",1,-3.25734395793037,-805.364275666321
"114","AG",3,"flip","A",2,-3.48363695614548,-715.166884131112
"115","AG",3,"flip","A",3,-3.41675629742632,-753.894928438124
"116","AG",3,"flip","A",4,-3.45111542863968,-751.134432916565
"117","AG",3,"flip","A",5,-3.48301115440023,-733.551901936832
"118","AG",3,"flip","A",6,-3.48850289971925,-740.607615000121
"119","AG",3,"flip","A",7,-3.47881869705655,-738.796733093938
"120","AG",3,"flip","A",8,-3.45263003501643,-751.182424492461
"121","AG",3,"flip","B",1,-1.7794257686809,-1126.33370466826
"122","AG",3,"flip","B",2,-1.45823694682029,-1167.73849044583
"123","AG",3,"flip","B",3,-1.76752373970121,-1128.15813896487
"124","AG",3,"flip","B",4,-1.88260641638259,-1109.16144088416
"125","AG",3,"flip","B",5,-1.79588531385095,-1124.14157864956
"126","AG",3,"flip","B",6,-1.79398062206519,-1124.25945681881
"127","AG",3,"flip","B",7,-1.59105368839839,-1152.1590593819
"128","AG",3,"flip","B",8,-1.87914949635846,-1110.57477436982
"129","AG",4,"combine","A",1,-1.61761925047075,-1042.02305543249
"130","AG",4,"combine","A",2,-1.73672994023236,-1026.37220170278
"131","AG",4,"combine","A",3,-1.61664981943292,-1041.88782586337
"132","AG",4,"combine","A",4,-1.61531623042377,-1041.73495572513
"133","AG",4,"combine","A",5,-1.68095740459581,-1034.47730472746
"134","AG",4,"combine","A",6,-1.65112611442168,-1038.16238843151
"135","AG",4,"combine","A",7,-1.65432325204334,-1038.0770735689
"136","AG",4,"combine","A",8,-1.66656508774389,-1036.37715017045
"137","AG",4,"combine","B",1,-2.09012944608883,-974.163542024102
"138","AG",4,"combine","B",2,-1.81963458597475,-1015.80329714914
"139","AG",4,"combine","B",3,-2.09604121978562,-970.9727100555
"140","AG",4,"combine","B",4,-2.06018930067628,-978.693256016228
