"","model","exp_id","condition","phase","trial","params","LL"
"1","PCFG",1,"construct","A",1,-2.3925576139724,-913.683537698122
"2","PCFG",1,"construct","A",2,-2.4780405481858,-891.482837242905
"3","PCFG",1,"construct","A",3,-2.33942077817551,-917.326680208153
"4","PCFG",1,"construct","A",4,-2.31457834935669,-924.756271666063
"5","PCFG",1,"construct","A",5,-2.46184783381464,-896.224476386474
"6","PCFG",1,"construct","A",6,-2.39664576577492,-910.066335979118
"7","PCFG",1,"construct","A",7,-2.32862995850418,-925.93737362412
"8","PCFG",1,"construct","A",8,-2.43193422572957,-904.08681610786
"9","PCFG",1,"construct","B",1,-3.12060317692846,-927.677772504176
"10","PCFG",1,"construct","B",2,-2.76321150008238,-967.30344355
"11","PCFG",1,"construct","B",3,-3.01404167355929,-904.445609077568
"12","PCFG",1,"construct","B",4,-2.96143362477002,-941.849374937182
"13","PCFG",1,"construct","B",5,-2.91490831527375,-919.247215724799
"14","PCFG",1,"construct","B",6,-2.98248259018019,-918.428097368773
"15","PCFG",1,"construct","B",7,-3.22905728886082,-877.711877807816
"16","PCFG",1,"construct","B",8,-3.1648266651468,-910.212993183538
"17","PCFG",1,"decon","A",1,-2.28004266901066,-1005.83155442024
"18","PCFG",1,"decon","A",2,-1.82781162364974,-1035.5057643806
"19","PCFG",1,"decon","A",3,-2.07118638768155,-1011.08597733573
"20","PCFG",1,"decon","A",4,-1.84733665838002,-1039.64968462187
"21","PCFG",1,"decon","A",5,-1.99878520961904,-1016.12752256371
"22","PCFG",1,"decon","A",6,-2.22655570568605,-1000.325185462
"23","PCFG",1,"decon","A",7,-2.37329743231583,-991.589614058709
"24","PCFG",1,"decon","A",8,-2.42715308539728,-983.630692771138
"25","PCFG",1,"decon","B",1,-1.33599686032445,-1037.47381583859
"26","PCFG",1,"decon","B",2,-1.22106582781995,-1044.00163398287
"27","PCFG",1,"decon","B",3,-1.55994574977543,-1016.68268819112
"28","PCFG",1,"decon","B",4,-1.52166114328081,-1020.10975001736
"29","PCFG",1,"decon","B",5,-1.60924264315064,-1011.78601032688
"30","PCFG",1,"decon","B",6,-1.56196861334133,-1016.59829793333
"31","PCFG",1,"decon","B",7,-1.33600094467148,-1037.47366351054
"32","PCFG",1,"decon","B",8,-1.6485556057138,-1009.16038345505
"33","PCFG",1,"combine","A",1,-2.15582435626721,-923.912046059739
"34","PCFG",1,"combine","A",2,-2.23411561784601,-906.363654410589
"35","PCFG",1,"combine","A",3,-2.10265654148982,-927.275431401215
"36","PCFG",1,"combine","A",4,-2.11384996796799,-927.765661820342
"37","PCFG",1,"combine","A",5,-2.14562169327951,-921.96053059407
"38","PCFG",1,"combine","A",6,-2.13150956432359,-925.363822525502
"39","PCFG",1,"combine","A",7,-2.04041085388421,-941.625476544315
"40","PCFG",1,"combine","A",8,-2.1907150428557,-917.211948687902
"41","PCFG",1,"combine","B",1,-2.72270362238584,-898.361079776547
"42","PCFG",1,"combine","B",2,-2.65730838665208,-901.331941087058
"43","PCFG",1,"combine","B",3,-3.05608559049484,-839.526746439556
"44","PCFG",1,"combine","B",4,-3.13000132469678,-835.866569652096
"45","PCFG",1,"combine","B",5,-3.10419149400227,-834.044918340358
"46","PCFG",1,"combine","B",6,-3.02692244611789,-856.544106734101
"47","PCFG",1,"combine","B",7,-3.1916353756145,-815.368359682618
"48","PCFG",1,"combine","B",8,-3.13291709799412,-841.19358183321
"49","PCFG",2,"construct","A",1,0.870932344456721,-1010.15986066252
"50","PCFG",2,"construct","A",2,-0.336201181962614,-1000.18046504794
"51","PCFG",2,"construct","A",3,-0.158263148312855,-1002.90599163697
"52","PCFG",2,"construct","A",4,-0.336279887560969,-1000.17792840602
"53","PCFG",2,"construct","A",5,0.0622966176371365,-1005.56697497336
"54","PCFG",2,"construct","A",6,-0.324702068465663,-1000.32604560163
"55","PCFG",2,"construct","A",7,-0.352827623280604,-999.967920822668
"56","PCFG",2,"construct","A",8,1.13302901914769,-1010.64599495518
"57","PCFG",2,"construct","B",1,-1.30363841494797,-986.989179447129
"58","PCFG",2,"construct","B",2,-1.23924124146708,-980.732721833278
"59","PCFG",2,"construct","B",3,-1.55461501723953,-968.785447793924
"60","PCFG",2,"construct","B",4,-1.36132775461971,-975.047202434644
"61","PCFG",2,"construct","B",5,-1.42323034707376,-978.939365201627
"62","PCFG",2,"construct","B",6,-1.61351198809573,-970.781751234637
"63","PCFG",2,"construct","B",7,-1.73912957403263,-960.512441607277
"64","PCFG",2,"construct","B",8,-1.31716008467013,-983.240575964869
"65","PCFG",2,"decon","A",1,-1.60537920944056,-1190.82972234012
"66","PCFG",2,"decon","A",2,-1.48601579761816,-1184.65383626098
"67","PCFG",2,"decon","A",3,-1.64568792563993,-1177.14339403558
"68","PCFG",2,"decon","A",4,-1.4784817669998,-1183.52074127216
"69","PCFG",2,"decon","A",5,-1.5690509712577,-1188.44421695346
"70","PCFG",2,"decon","A",6,-1.8011943172869,-1176.44644078708
"71","PCFG",2,"decon","A",7,-1.71653322112313,-1174.42578345391
"72","PCFG",2,"decon","A",8,-1.89546271202003,-1164.67978684578
"73","PCFG",2,"decon","B",1,1.01244991727547,-1228.39569724694
"74","PCFG",2,"decon","B",2,-0.314293949894542,-1216.27563996126
"75","PCFG",2,"decon","B",3,0.543778475013721,-1226.53230215752
"76","PCFG",2,"decon","B",4,-0.297936525486764,-1216.5208190181
"77","PCFG",2,"decon","B",5,-0.12157330994668,-1219.76510849625
"78","PCFG",2,"decon","B",6,0.00280485624146713,-1221.75867039759
"79","PCFG",2,"decon","B",7,-0.279229506192176,-1217.06704870836
"80","PCFG",2,"decon","B",8,-0.0553655813073437,-1220.98774697954
"81","PCFG",2,"combine","A",1,1.48550368449386,-1030.88257296143
"82","PCFG",2,"combine","A",2,-0.171975808856573,-1022.67218327608
"83","PCFG",2,"combine","A",3,0.495694920303352,-1028.49293688678
"84","PCFG",2,"combine","A",4,-0.11250561471813,-1023.46008157092
"85","PCFG",2,"combine","A",5,-0.0869391851629354,-1023.70216482524
"86","PCFG",2,"combine","A",6,-0.0912062451887629,-1023.6761672622
"87","PCFG",2,"combine","A",7,-0.18443644776965,-1022.54305858868
"88","PCFG",2,"combine","A",8,0.870172328095914,-1029.95290747376
