"","model","expt","condition","phase","trial","params","LL"
"1","PCFG","exp_2","construct","A",1,2.29020724993089,-128.311701068551
"2","PCFG","exp_2","construct","A",2,2.21703088059873,-116.96221124895
"3","PCFG","exp_2","construct","A",3,2.13273838283089,-110.10894127885
"4","PCFG","exp_2","construct","A",4,2.33126250586802,-138.263914948952
"5","PCFG","exp_2","construct","A",5,2.26192666110709,-129.592886119957
"6","PCFG","exp_2","construct","A",6,2.16082879590556,-114.064593052204
"7","PCFG","exp_2","construct","A",7,2.27658035063333,-132.013837722231
"8","PCFG","exp_2","construct","A",8,2.23284871166532,-121.453073193617
"9","PCFG","exp_2","construct","B",1,2.47323002547413,-124.315935985412
"10","PCFG","exp_2","construct","B",2,2.40271441756465,-109.627719674798
"11","PCFG","exp_2","construct","B",3,2.43807523201478,-116.858587040654
"12","PCFG","exp_2","construct","B",4,2.33127729905308,-95.8544402906031
"13","PCFG","exp_2","construct","B",5,2.49656365453021,-129.412396060584
"14","PCFG","exp_2","construct","B",6,2.39087755083913,-107.268125602288
"15","PCFG","exp_2","construct","B",7,2.41452571914057,-112.012716821372
"16","PCFG","exp_2","construct","B",8,2.48490656267082,-126.85171863923
"17","PCFG","exp_2","decon","A",1,3.09952663067824,-152.348612831661
"18","PCFG","exp_2","decon","A",2,2.8064594908461,-170.963083865543
"19","PCFG","exp_2","decon","A",3,2.60676293182929,-159.024613226527
"20","PCFG","exp_2","decon","A",4,2.25331176801894,-132.910546556429
"21","PCFG","exp_2","decon","A",5,2.54332026896871,-154.645133955699
"22","PCFG","exp_2","decon","A",6,2.47339165155708,-143.571303274493
"23","PCFG","exp_2","decon","A",7,2.57817826312617,-156.843349372184
"24","PCFG","exp_2","decon","A",8,2.82813380589408,-172.710324605697
"25","PCFG","exp_2","decon","B",1,1.41377688846336,-145.799255227329
"26","PCFG","exp_2","decon","B",2,1.50232313565328,-154.129800043168
"27","PCFG","exp_2","decon","B",3,1.61395712142607,-166.96107431038
"28","PCFG","exp_2","decon","B",4,1.33628383421056,-139.776742820391
"29","PCFG","exp_2","decon","B",5,1.65417372190036,-172.24817086251
"30","PCFG","exp_2","decon","B",6,1.42885385151876,-147.106414838137
"31","PCFG","exp_2","decon","B",7,1.5166557269582,-155.629050496562
"32","PCFG","exp_2","decon","B",8,1.65417372190258,-172.248170862535
"33","PCFG","exp_2","combine","A",1,2.01769674544299,-119.293491062401
"34","PCFG","exp_2","combine","A",2,2.01771523548412,-119.2957600174
"35","PCFG","exp_2","combine","A",3,1.97184987805104,-117.723920987168
"36","PCFG","exp_2","combine","A",4,2.10822068970242,-133.252052927968
"37","PCFG","exp_2","combine","A",5,2.04481919675636,-126.850784336633
"38","PCFG","exp_2","combine","A",6,1.97529939009572,-118.133154104427
"39","PCFG","exp_2","combine","A",7,2.01853571453316,-123.451732602124
"40","PCFG","exp_2","combine","A",8,2.0535560969456,-125.354207251415
"41","PCFG","exp_2","combine","B",1,3.31767286335961,-151.339345213771
"42","PCFG","exp_2","combine","B",2,3.16141077579072,-119.683097085657
"43","PCFG","exp_2","combine","B",3,2.89503460169376,-109.644951281426
"44","PCFG","exp_2","combine","B",4,2.80916699241078,-63.3020504708832
"45","PCFG","exp_2","combine","B",5,2.93403782846817,-116.680797515554
"46","PCFG","exp_2","combine","B",6,2.90286423866696,-111.036197944667
"47","PCFG","exp_2","combine","B",7,2.83830882730682,-99.8827156987168
"48","PCFG","exp_2","combine","B",8,2.90270125745297,-111.007129412954
