"","model","exp_id","params","LL"
"1","PCFG",1,0.323258121344396,-6192.23806712039
"2","PCFG",2,0.174857239518349,-6734.03256593009
"3","PCFG",3,0.491545463958442,-4013.8631235663
"4","PCFG",4,0.375750393436501,-4367.37357214575
"5","AG",1,0.566156951532111,-6152.60225201556
"6","AG",2,0.447732944583927,-6535.57889169182
"7","AG",3,0.614072072979496,-4250.85316071292
"8","AG",4,0.522929781405744,-4553.33301401599
"9","ag_rj",1,0.240192405246966,-5906.00789855973
"10","ag_rj",2,0.11438715422082,-6347.35823944703
"11","ag_rj",3,0.296363538235302,-4002.47007255778
"12","ag_rj",4,0.183249921356898,-4391.71431701091
"13","PCFG_rj",1,0.323258121344451,-6192.23806712038
"14","PCFG_rj",2,0.174857239518349,-6734.03256593009
"15","PCFG_rj",3,0.491545463958442,-4013.86312356629
"16","PCFG_rj",4,0.375750393436501,-4367.37357214575
