"","model","exp_id","condition","phase","trial","params","LL"
"1","AG",1,"construct","A",1,2.40163188446693,-1677.84735088499
"2","AG",1,"construct","A",2,2.50747704194113,-1653.4990090719
"3","AG",1,"construct","A",3,2.38779525812823,-1679.92334606332
"4","AG",1,"construct","A",4,2.34637363440092,-1689.27745957011
"5","AG",1,"construct","A",5,2.47643550377787,-1660.63055567276
"6","AG",1,"construct","A",6,2.40998881130561,-1675.17808058661
"7","AG",1,"construct","A",7,2.34855379353387,-1689.35500920516
"8","AG",1,"construct","A",8,2.44334791703905,-1668.02119451476
"9","AG",1,"construct","B",1,2.68239287222355,-1609.55049715836
"10","AG",1,"construct","B",2,2.51349264918031,-1650.62909076381
"11","AG",1,"construct","B",3,2.67928645362,-1609.49472705392
"12","AG",1,"construct","B",4,2.67190602294726,-1612.12539558299
"13","AG",1,"construct","B",5,2.74969024240389,-1590.71712370966
"14","AG",1,"construct","B",6,2.70849507653643,-1601.63165966494
"15","AG",1,"construct","B",7,2.68105393856693,-1609.35695452906
"16","AG",1,"construct","B",8,2.73100124261659,-1596.18319698465
"17","AG",1,"decon","A",1,2.75782552597271,-1711.39344605547
"18","AG",1,"decon","A",2,3.11952648456374,-1681.83056697393
"19","AG",1,"decon","A",3,3.06747708643524,-1668.02851039762
"20","AG",1,"decon","A",4,2.92625465025506,-1688.00715574707
"21","AG",1,"decon","A",5,3.10312337266328,-1664.68775139719
"22","AG",1,"decon","A",6,3.08989453476624,-1663.37482437874
"23","AG",1,"decon","A",7,2.98940697598585,-1679.80828334331
"24","AG",1,"decon","A",8,2.8183372789081,-1708.10649995114
"25","AG",1,"decon","B",1,2.38590486716691,-1753.79006534246
"26","AG",1,"decon","B",2,2.73881355697749,-1729.04920190902
"27","AG",1,"decon","B",3,2.68330055007657,-1721.08506850861
"28","AG",1,"decon","B",4,2.49692901907677,-1741.93018841705
"29","AG",1,"decon","B",5,2.63367992137139,-1728.53533336949
"30","AG",1,"decon","B",6,2.58975627186441,-1731.43775457073
"31","AG",1,"decon","B",7,2.88180172295057,-1695.19786913419
"32","AG",1,"decon","B",8,2.65298543169929,-1728.41803000026
"33","AG",1,"combine","A",1,2.22349793295962,-1660.89158348704
"34","AG",1,"combine","A",2,2.32256653947674,-1641.246254633
"35","AG",1,"combine","A",3,2.20657680449082,-1662.73255863641
"36","AG",1,"combine","A",4,2.19407821030119,-1664.78608369599
"37","AG",1,"combine","A",5,2.23005617530094,-1658.3623230432
"38","AG",1,"combine","A",6,2.20686706741703,-1662.6204081623
"39","AG",1,"combine","A",7,2.12599988284115,-1677.41315748087
"40","AG",1,"combine","A",8,2.26118584758024,-1653.8710827172
"41","AG",1,"combine","B",1,2.87250042670547,-1501.63156719402
"42","AG",1,"combine","B",2,2.57253862294402,-1577.15649277475
"43","AG",1,"combine","B",3,2.76529735179136,-1529.36116084013
"44","AG",1,"combine","B",4,2.77797269322734,-1526.54040798113
"45","AG",1,"combine","B",5,2.77434057458742,-1526.59787962241
"46","AG",1,"combine","B",6,2.78779790208978,-1523.77654567625
"47","AG",1,"combine","B",7,2.73074858391799,-1537.45097898653
"48","AG",1,"combine","B",8,2.79474344470622,-1521.20077607702
"49","AG",2,"construct","A",1,2.14157338550243,-1575.40088389322
"50","AG",2,"construct","A",2,2.21382096017876,-1562.53656147528
"51","AG",2,"construct","A",3,2.03514873122422,-1591.73813294866
"52","AG",2,"construct","A",4,2.06159181638557,-1587.8785135004
"53","AG",2,"construct","A",5,2.16126558532361,-1571.15362927569
"54","AG",2,"construct","A",6,2.17482918153577,-1569.03588826147
"55","AG",2,"construct","A",7,2.07741849245901,-1585.8693386609
"56","AG",2,"construct","A",8,2.11508349078126,-1579.59118087543
"57","AG",2,"construct","B",1,2.54290797910178,-1496.19039242553
"58","AG",2,"construct","B",2,2.38969428442328,-1528.15396035042
"59","AG",2,"construct","B",3,2.49293086505503,-1506.36501513595
"60","AG",2,"construct","B",4,2.44826707373068,-1516.13385151673
"61","AG",2,"construct","B",5,2.55091334737442,-1493.82313070237
"62","AG",2,"construct","B",6,2.47023170344171,-1511.20145902717
"63","AG",2,"construct","B",7,2.45983430716257,-1513.63165617134
"64","AG",2,"construct","B",8,2.54271108495099,-1496.23362018876
"65","AG",2,"decon","A",1,2.39837466507135,-1937.95590905868
"66","AG",2,"decon","A",2,2.59636411783529,-1904.01457830052
"67","AG",2,"decon","A",3,2.65247653832876,-1893.0043624572
"68","AG",2,"decon","A",4,2.85412501568325,-1886.85259537085
"69","AG",2,"decon","A",5,2.59605444869332,-1903.83294269924
"70","AG",2,"decon","A",6,2.69120739157832,-1886.62940517191
"71","AG",2,"decon","A",7,2.6177057447444,-1899.85225954721
"72","AG",2,"decon","A",8,2.5813504511362,-1932.89726480852
"73","AG",2,"decon","B",1,2.28653125271661,-1955.07266834963
"74","AG",2,"decon","B",2,2.46655137732199,-1926.89535611907
"75","AG",2,"decon","B",3,2.55155461313201,-1911.72505191801
"76","AG",2,"decon","B",4,2.68964846357772,-1915.37588760152
"77","AG",2,"decon","B",5,2.47387240170988,-1925.44936269166
"78","AG",2,"decon","B",6,2.57530222958287,-1908.47228274275
"79","AG",2,"decon","B",7,2.65675595047405,-1892.44417681078
"80","AG",2,"decon","B",8,2.64331213770007,-1923.24695499474
"81","AG",2,"combine","A",1,1.84105603686186,-1654.15031315102
"82","AG",2,"combine","A",2,1.93323157702656,-1641.11852528305
"83","AG",2,"combine","A",3,1.82327251535721,-1655.86244552257
