"","model","exp_id","condition","phase","trial","params","LL"
"1","PCFG",1,"construct","A",1,-2.39806747789072,-913.819804539765
"2","PCFG",1,"construct","A",2,-2.48389309896124,-891.574424142071
"3","PCFG",1,"construct","A",3,-2.34257867053151,-917.511976716308
"4","PCFG",1,"construct","A",4,-2.31989377089778,-924.759197300643
"5","PCFG",1,"construct","A",5,-2.46463000098583,-896.507069901509
"6","PCFG",1,"construct","A",6,-2.40216234258835,-910.078212039274
"7","PCFG",1,"construct","A",7,-2.33403898051566,-926.085096144676
"8","PCFG",1,"construct","A",8,-2.43762328224826,-904.106991349584
"9","PCFG",1,"construct","B",1,-2.57671409582366,-847.676995445809
"10","PCFG",1,"construct","B",2,-2.3978952092118,-888.759850824296
"11","PCFG",1,"construct","B",3,-2.57671409582441,-847.676995445809
"12","PCFG",1,"construct","B",4,-2.56568507456632,-850.321859515351
"13","PCFG",1,"construct","B",5,-2.6535221661163,-828.876463091277
"14","PCFG",1,"construct","B",6,-2.60971097710271,-839.680972181835
"15","PCFG",1,"construct","B",7,-2.5767140958237,-847.676995445809
"16","PCFG",1,"construct","B",8,-2.63164067439458,-834.299152220782
"17","PCFG",1,"decon","A",1,-2.18830578696366,-1014.74258349272
"18","PCFG",1,"decon","A",2,-1.72096525427109,-1042.40251919318
"19","PCFG",1,"decon","A",3,-2.00711061181362,-1017.07406132575
"20","PCFG",1,"decon","A",4,-1.73009248857398,-1046.65943668312
"21","PCFG",1,"decon","A",5,-1.95508910990504,-1019.63753935984
"22","PCFG",1,"decon","A",6,-2.14110359837474,-1008.87553478804
"23","PCFG",1,"decon","A",7,-2.29017524039016,-1000.20987946992
"24","PCFG",1,"decon","A",8,-2.34598951703094,-992.961742383514
"25","PCFG",1,"decon","B",1,-1.887301690828,-965.589599759133
"26","PCFG",1,"decon","B",2,-1.83182629658768,-973.607282074145
"27","PCFG",1,"decon","B",3,-1.981272827369,-951.102465987643
"28","PCFG",1,"decon","B",4,-1.84582654632011,-971.620887124267
"29","PCFG",1,"decon","B",5,-2.00746792437626,-946.85847759885
"30","PCFG",1,"decon","B",6,-1.92803244613482,-959.451241148643
"31","PCFG",1,"decon","B",7,-1.887301690828,-965.589599759133
"32","PCFG",1,"decon","B",8,-2.03339749017745,-942.568539705993
"33","PCFG",1,"combine","A",1,-2.16589988179088,-923.666848529155
"34","PCFG",1,"combine","A",2,-2.24437510374762,-906.063501099905
"35","PCFG",1,"combine","A",3,-2.10852852013844,-927.210076343158
"36","PCFG",1,"combine","A",4,-2.12329568194543,-927.464198211398
"37","PCFG",1,"combine","A",5,-2.15167577466987,-921.911617886028
"38","PCFG",1,"combine","A",6,-2.14097070258752,-925.063348336868
"39","PCFG",1,"combine","A",7,-2.05003335717459,-941.438955110408
"40","PCFG",1,"combine","A",8,-2.19994354259463,-916.94547046794
"41","PCFG",1,"combine","B",1,-3.55632212248091,-665.799830470442
"42","PCFG",1,"combine","B",2,-3.19140821309401,-761.151029046082
"43","PCFG",1,"combine","B",3,-3.345434298243,-703.147676251058
"44","PCFG",1,"combine","B",4,-3.26007992716286,-721.889380027275
"45","PCFG",1,"combine","B",5,-3.34543847332296,-703.142874178372
"46","PCFG",1,"combine","B",6,-3.17642688594335,-740.082046805421
"47","PCFG",1,"combine","B",7,-3.38326902891535,-711.297688853157
"48","PCFG",1,"combine","B",8,-3.24804140491803,-724.512755180956
"49","PCFG",2,"construct","A",1,-2.12461813427166,-878.322038096655
"50","PCFG",2,"construct","A",2,-2.16153656066257,-868.11938219716
"51","PCFG",2,"construct","A",3,-1.97053802533021,-895.662028220348
"52","PCFG",2,"construct","A",4,-2.01718991379697,-890.667790861232
"53","PCFG",2,"construct","A",5,-2.12497727011853,-874.682775660132
"54","PCFG",2,"construct","A",6,-2.15745479841728,-871.314913686572
"55","PCFG",2,"construct","A",7,-2.04767029765975,-889.329532383153
"56","PCFG",2,"construct","A",8,-2.08979790664535,-882.567549343209
"57","PCFG",2,"construct","B",1,-2.43518315481232,-801.900183614725
"58","PCFG",2,"construct","B",2,-2.27125829606725,-833.680011312802
"59","PCFG",2,"construct","B",3,-2.38540062319315,-811.885477262479
"60","PCFG",2,"construct","B",4,-2.33506610814194,-821.687441865711
"61","PCFG",2,"construct","B",5,-2.4475508049277,-799.375353793996
"62","PCFG",2,"construct","B",6,-2.36030688751425,-816.809455278596
"63","PCFG",2,"construct","B",7,-2.34770545925799,-819.254208157458
"64","PCFG",2,"construct","B",8,-2.43518315481232,-801.900183614725
"65","PCFG",2,"decon","A",1,-2.21408450391404,-1145.25279046735
"66","PCFG",2,"decon","A",2,-1.80130860403397,-1171.31515690082
"67","PCFG",2,"decon","A",3,-2.09129563839234,-1139.14364278721
"68","PCFG",2,"decon","A",4,-2.05088776628417,-1155.24325535639
"69","PCFG",2,"decon","A",5,-1.98691912049425,-1147.49980667855
"70","PCFG",2,"decon","A",6,-2.12925391992687,-1139.31285140147
"71","PCFG",2,"decon","A",7,-2.41548183012041,-1114.10710722563
"72","PCFG",2,"decon","A",8,-2.40421854705058,-1114.70298917203
"73","PCFG",2,"decon","B",1,-1.04381169798265,-1183.64216541253
"74","PCFG",2,"decon","B",2,-0.940227350692935,-1190.18212858603
"75","PCFG",2,"decon","B",3,-1.2992826588052,-1163.41497581479
"76","PCFG",2,"decon","B",4,-1.04381169798265,-1183.64216541253
"77","PCFG",2,"decon","B",5,-1.34881308068701,-1158.73475094098
"78","PCFG",2,"decon","B",6,-1.17708371115476,-1173.86950105687
"79","PCFG",2,"decon","B",7,-1.15878061600274,-1175.30824778389
"80","PCFG",2,"decon","B",8,-1.34881308068701,-1158.73475094098
"81","PCFG",2,"combine","A",1,-1.70801842023506,-946.364781393833
"82","PCFG",2,"combine","A",2,-1.81132307510262,-933.477988529559
"83","PCFG",2,"combine","A",3,-1.6568410863391,-948.715048627541
"84","PCFG",2,"combine","A",4,-1.64901770728088,-950.895860369889
"85","PCFG",2,"combine","A",5,-1.75138407470919,-939.242539394882
"86","PCFG",2,"combine","A",6,-1.73290185301738,-942.080292383635
"87","PCFG",2,"combine","A",7,-1.70815574281487,-946.358082853609
"88","PCFG",2,"combine","A",8,-1.75728044323211,-940.486252867483
"89","PCFG",2,"combine","B",1,-2.95129382613514,-773.225432620568
"90","PCFG",2,"combine","B",2,-2.55166837132501,-860.497989429446
"91","PCFG",2,"combine","B",3,-2.70588632638781,-814.626646138881
"92","PCFG",2,"combine","B",4,-2.70585907465408,-814.644722713735
"93","PCFG",2,"combine","B",5,-2.77731677630809,-801.644801481269
"94","PCFG",2,"combine","B",6,-2.61020457340109,-831.503894591473
"95","PCFG",2,"combine","B",7,-2.83696993938905,-799.758027252315
"96","PCFG",2,"combine","B",8,-2.7058301025954,-814.662913143542
"97","PCFG",3,"combine","A",1,-2.26335996376313,-960.161979995378
"98","PCFG",3,"combine","A",2,-2.28392406490283,-950.086348359721
"99","PCFG",3,"combine","A",3,-2.19863404765152,-965.55419802365
"100","PCFG",3,"combine","A",4,-2.27648626916853,-953.357984052111
"101","PCFG",3,"combine","A",5,-2.32194226602569,-944.60729275351
"102","PCFG",3,"combine","A",6,-2.30803285124892,-948.352328841027
"103","PCFG",3,"combine","A",7,-2.14131920924623,-980.918127232494
"104","PCFG",3,"combine","A",8,-2.33354167812527,-945.995824184991
"105","PCFG",3,"combine","B",1,-3.57003616769478,-701.323040874621
"106","PCFG",3,"combine","B",2,-3.2462411163744,-790.733488089523
"107","PCFG",3,"combine","B",3,-3.33474593150477,-745.17318798459
"108","PCFG",3,"combine","B",4,-3.31151719117415,-750.562742198424
"109","PCFG",3,"combine","B",5,-3.31152123800742,-750.557951009858
"110","PCFG",3,"combine","B",6,-3.23126629646529,-769.095580242383
"111","PCFG",3,"combine","B",7,-3.44250486571881,-736.677868654713
"112","PCFG",3,"combine","B",8,-3.32312767909651,-747.856597606159
"113","PCFG",3,"flip","A",1,-3.59421755497412,-772.559679304959
"114","PCFG",3,"flip","A",2,-3.80800268455293,-694.887498612094
"115","PCFG",3,"flip","A",3,-3.724204570531,-723.49478767694
"116","PCFG",3,"flip","A",4,-3.79152077976019,-719.073470432976
"117","PCFG",3,"flip","A",5,-3.84321227970341,-701.03079850055
"118","PCFG",3,"flip","A",6,-3.85110162651573,-706.641844631086
"119","PCFG",3,"flip","A",7,-3.87481960513373,-702.538173834528
"120","PCFG",3,"flip","A",8,-3.83711647920398,-714.40058473388
"121","PCFG",3,"flip","B",1,-2.98656291308185,-928.985365199483
"122","PCFG",3,"flip","B",2,-2.74430294261541,-996.173137681457
"123","PCFG",3,"flip","B",3,-2.71833230490337,-982.28078150597
"124","PCFG",3,"flip","B",4,-2.80661982031331,-962.611492505375
"125","PCFG",3,"flip","B",5,-2.74776400691691,-975.79658523337
"126","PCFG",3,"flip","B",6,-2.76739247877128,-971.424239467829
"127","PCFG",3,"flip","B",7,-2.83952091062399,-970.509628899561
"128","PCFG",3,"flip","B",8,-2.85577655006284,-951.347952540185
"129","PCFG",4,"combine","A",1,-1.67944231579035,-1042.18265140516
"130","PCFG",4,"combine","A",2,-1.764785137066,-1028.28515047941
"131","PCFG",4,"combine","A",3,-1.6495490667065,-1042.51318473228
"132","PCFG",4,"combine","A",4,-1.67420930906265,-1041.19530720452
"133","PCFG",4,"combine","A",5,-1.72427405356577,-1034.78791396222
"134","PCFG",4,"combine","A",6,-1.70191259792442,-1037.87077458006
"135","PCFG",4,"combine","A",7,-1.71202432235849,-1038.44765913069
"136","PCFG",4,"combine","A",8,-1.72705693765677,-1036.26686584308
"137","PCFG",4,"combine","B",1,-2.73432022222651,-897.233488108165
"138","PCFG",4,"combine","B",2,-2.49595563195037,-950.96878099475
"139","PCFG",4,"combine","B",3,-2.6810642634729,-898.613140920491
"140","PCFG",4,"combine","B",4,-2.54988124619906,-923.356331742381
"141","PCFG",4,"combine","B",5,-2.67013298396796,-900.751571161757
"142","PCFG",4,"combine","B",6,-2.49476876384194,-933.291082093931
"143","PCFG",4,"combine","B",7,-2.75763764033862,-891.617098019237
"144","PCFG",4,"combine","B",8,-2.6045754604733,-913.273364359528
"145","PCFG",4,"flip","A",1,-3.5382677849661,-760.293782470799
"146","PCFG",4,"flip","A",2,-3.69589533136957,-693.491915258919
"147","PCFG",4,"flip","A",3,-3.61994419859071,-726.27051170699
"148","PCFG",4,"flip","A",4,-3.72213301220687,-711.570344435467
"149","PCFG",4,"flip","A",5,-3.78041027925852,-697.829314793361
"150","PCFG",4,"flip","A",6,-3.7709256545257,-704.615726446694
"151","PCFG",4,"flip","A",7,-3.70545957214266,-719.21032437127
"152","PCFG",4,"flip","A",8,-3.74862292878732,-704.142977149643
"153","PCFG",4,"flip","B",1,-2.45852124600283,-1049.43034082213
"154","PCFG",4,"flip","B",2,-2.20622002760499,-1102.82275147577
"155","PCFG",4,"flip","B",3,-2.19953371087534,-1089.33366157305
"156","PCFG",4,"flip","B",4,-2.36650333232017,-1060.81478236076
"157","PCFG",4,"flip","B",5,-2.25217856952924,-1080.73472031346
"158","PCFG",4,"flip","B",6,-2.24181256186884,-1082.42077034357
"159","PCFG",4,"flip","B",7,-2.34659150898846,-1074.32551426333
"160","PCFG",4,"flip","B",8,-2.35605361117463,-1062.75107374644
