"","model","exp_id","condition","phase","trial","params","LL"
"1","PCFG",1,"construct","A",1,2.53877000341439,-1678.2970865209
"2","PCFG",1,"construct","A",2,2.62801413706801,-1654.48077919113
"3","PCFG",1,"construct","A",3,2.48709553288211,-1680.66024520241
"4","PCFG",1,"construct","A",4,2.44681005727762,-1689.04713026807
"5","PCFG",1,"construct","A",5,2.57374522842893,-1661.92841207222
"6","PCFG",1,"construct","A",6,2.51151918507526,-1675.47533989289
"7","PCFG",1,"construct","A",7,2.4775509062613,-1690.83388934308
"8","PCFG",1,"construct","A",8,2.5686342324926,-1668.57448961054
"9","PCFG",1,"construct","B",1,2.64998637799002,-1610.47377387549
"10","PCFG",1,"construct","B",2,2.48490656267144,-1651.55662925398
"11","PCFG",1,"construct","B",3,2.64998637799002,-1610.47377387549
"12","PCFG",1,"construct","B",4,2.63974059862232,-1613.11863794503
"13","PCFG",1,"construct","B",5,2.72155723526109,-1591.67324152096
"14","PCFG",1,"construct","B",6,2.6806873447335,-1602.47775061152
"15","PCFG",1,"construct","B",7,2.64998637799002,-1610.47377387549
"16","PCFG",1,"construct","B",8,2.70112974737395,-1597.09593065046
"17","PCFG",1,"decon","A",1,2.97629949569144,-1773.73641937225
"18","PCFG",1,"decon","A",2,2.18244524053191,-1797.22152626666
"19","PCFG",1,"decon","A",3,2.43529995583421,-1776.17436063025
"20","PCFG",1,"decon","A",4,2.08397861556719,-1803.04778244612
"21","PCFG",1,"decon","A",5,2.41881509348185,-1777.05633656768
"22","PCFG",1,"decon","A",6,2.48243705441104,-1772.72811363925
"23","PCFG",1,"decon","A",7,2.59307011054314,-1768.74782135799
"24","PCFG",1,"decon","A",8,2.72922353952297,-1760.11580726452
"25","PCFG",1,"decon","B",1,2.02834971068923,-1714.76500714543
"26","PCFG",1,"decon","B",2,1.98035048821637,-1722.78268946044
"27","PCFG",1,"decon","B",3,2.11045157916314,-1700.27787337394
"28","PCFG",1,"decon","B",4,1.99243000913195,-1720.79629451056
"29","PCFG",1,"decon","B",5,2.13350855748501,-1696.03388498515
"30","PCFG",1,"decon","B",6,2.06381604026501,-1708.62664853494
"31","PCFG",1,"decon","B",7,2.02834971068923,-1714.76500714543
"32","PCFG",1,"decon","B",8,2.156402372581,-1691.74394709229
"33","PCFG",1,"combine","A",1,2.30924997353913,-1661.36902870121
"34","PCFG",1,"combine","A",2,2.39654789099778,-1642.20558194164
"35","PCFG",1,"combine","A",3,2.25824173302787,-1663.86740126993
"36","PCFG",1,"combine","A",4,2.24958655985073,-1665.37184724287
"37","PCFG",1,"combine","A",5,2.28312013480051,-1659.49221646132
"38","PCFG",1,"combine","A",6,2.26170762765372,-1663.26275722563
"39","PCFG",1,"combine","A",7,2.20090963343888,-1679.40717919888
"40","PCFG",1,"combine","A",8,2.33220625331282,-1654.80543556289
"41","PCFG",1,"combine","B",1,3.70983596276799,-1460.11308620669
"42","PCFG",1,"combine","B",2,3.29740525231865,-1558.27181139867
"43","PCFG",1,"combine","B",3,3.33088505320476,-1497.69792065288
"44","PCFG",1,"combine","B",4,3.28514049634962,-1509.23776470479
"45","PCFG",1,"combine","B",5,3.33091868316401,-1497.68935930356
"46","PCFG",1,"combine","B",6,3.23916917208494,-1520.6176470338
"47","PCFG",1,"combine","B",7,3.52136799894946,-1507.1202008828
"48","PCFG",1,"combine","B",8,3.27865068940003,-1510.85762422512
"49","PCFG",2,"construct","A",1,2.27267204763478,-1575.06168279759
"50","PCFG",2,"construct","A",2,2.32672346922745,-1563.16308137501
"51","PCFG",2,"construct","A",3,2.13125679486755,-1591.40879751822
"52","PCFG",2,"construct","A",4,2.15881304698333,-1587.25377545127
"53","PCFG",2,"construct","A",5,2.25787304285842,-1571.55340045477
"54","PCFG",2,"construct","A",6,2.27240352561569,-1569.14825460446
"55","PCFG",2,"construct","A",7,2.2005517752262,-1586.24242546782
"56","PCFG",2,"construct","A",8,2.23025062059425,-1579.58781987264
"57","PCFG",2,"construct","B",1,2.51913975506086,-1496.59010682747
"58","PCFG",2,"construct","B",2,2.36945717496957,-1528.36993452555
"59","PCFG",2,"construct","B",3,2.47345916944459,-1506.57540047523
"60","PCFG",2,"construct","B",4,2.4274666188074,-1516.37736507846
"61","PCFG",2,"construct","B",5,2.53051710100173,-1494.06527700674
"62","PCFG",2,"construct","B",6,2.45050511334526,-1511.49937849134
"63","PCFG",2,"construct","B",7,2.4389968310165,-1513.94413137021
"64","PCFG",2,"construct","B",8,2.51913975506086,-1496.59010682747
"65","PCFG",2,"decon","A",1,3.04626447188218,-2003.67632674832
"66","PCFG",2,"decon","A",2,2.24084990715457,-2024.04388725972
"67","PCFG",2,"decon","A",3,2.56659052943705,-1996.31110497555
"68","PCFG",2,"decon","A",4,2.42561589194609,-2013.39642854239
"69","PCFG",2,"decon","A",5,2.50204512179922,-2001.0115016663
"70","PCFG",2,"decon","A",6,2.53772279120893,-1998.63557416302
"71","PCFG",2,"decon","A",7,2.77732719115138,-1983.64247292991
"72","PCFG",2,"decon","A",8,2.79869510667614,-1982.00897660341
"73","PCFG",2,"decon","B",1,1.34547225982537,-2028.16717010146
"74","PCFG",2,"decon","B",2,1.26991867863807,-2034.70713327604
"75","PCFG",2,"decon","B",3,1.54044445126901,-2007.93998050481
"76","PCFG",2,"decon","B",4,1.34547225982574,-2028.16717010146
"77","PCFG",2,"decon","B",5,1.57956584193122,-2003.25975563101
"78","PCFG",2,"decon","B",6,1.44571764921303,-2018.39450574688
"79","PCFG",2,"decon","B",7,1.43175660990267,-2019.83325247389
"80","PCFG",2,"decon","B",8,1.57956584193122,-2003.25975563101
"81","PCFG",2,"combine","A",1,1.9270771297137,-1654.93697723437
"82","PCFG",2,"combine","A",2,2.0138430537576,-1641.85609911505
"83","PCFG",2,"combine","A",3,1.88256172583189,-1656.63345931133
"84","PCFG",2,"combine","A",4,1.85848768852899,-1659.53186183613
"85","PCFG",2,"combine","A",5,1.95279666062814,-1647.78860304681
"86","PCFG",2,"combine","A",6,1.92779096260949,-1651.00403757527
"87","PCFG",2,"combine","A",7,1.92709617371541,-1654.93463798518
"88","PCFG",2,"combine","A",8,1.9615118694066,-1649.1908565219
"89","PCFG",2,"combine","B",1,3.25282608503024,-1509.72320770658
"90","PCFG",2,"combine","B",2,2.72204485314022,-1602.54246127158
"91","PCFG",2,"combine","B",3,2.83411521594683,-1550.96729354691
"92","PCFG",2,"combine","B",4,2.83396226598748,-1550.99650200375
"93","PCFG",2,"combine","B",5,2.87809508517399,-1542.45772933389
"94","PCFG",2,"combine","B",6,2.77332237630519,-1562.35594102337
"95","PCFG",2,"combine","B",7,3.10659914003562,-1538.34442617213
"96","PCFG",2,"combine","B",8,2.83380919792794,-1551.02572022598
"97","PCFG",3,"combine","A",1,2.38414413964483,-1739.59990296877
"98","PCFG",3,"combine","A",2,2.4286243505872,-1727.0015133912
"99","PCFG",3,"combine","A",3,2.32496047114558,-1743.72507449062
"100","PCFG",3,"combine","A",4,2.38025912895997,-1732.84417031858
"101","PCFG",3,"combine","A",5,2.42235885198862,-1724.28744430556
"102","PCFG",3,"combine","A",6,2.40215505963502,-1728.42268038642
"103","PCFG",3,"combine","A",7,2.27108761303501,-1760.54582157548
"104","PCFG",3,"combine","A",8,2.43964404753298,-1725.65617044931
"105","PCFG",3,"combine","B",1,3.69761335606662,-1544.55656120997
"106","PCFG",3,"combine","B",2,3.33563053833963,-1636.02869393201
"107","PCFG",3,"combine","B",3,3.32001347847494,-1583.81849403889
"108","PCFG",3,"combine","B",4,3.3076617446631,-1587.11529792157
"109","PCFG",3,"combine","B",5,3.30769367544645,-1587.10679626482
