"","model","expt","condition","phase","trial","params","LL"
"1","multinom","exp_1","construct","A",1,1.08353831933175,-149.475560992135
"2","multinom","exp_1","construct","A",2,3.47621554608253,-160.33968780655
"3","multinom","exp_1","construct","A",3,3.19425851153136,-160.844278263107
"4","multinom","exp_1","construct","A",4,2.84562379416105,-155.250722023712
"5","multinom","exp_1","construct","A",5,3.03763623293344,-158.588754828504
"6","multinom","exp_1","construct","A",6,3.08167436112939,-158.835212422722
"7","multinom","exp_1","construct","A",7,3.18137462732359,-161.540818206781
"8","multinom","exp_1","construct","A",8,3.17817178947181,-161.753119284957
"9","multinom","exp_1","construct","B",1,1.94295149400311,-137.63188993963
"10","multinom","exp_1","construct","B",2,1.66349635728004,-108.342438280453
"11","multinom","exp_1","construct","B",3,2.1431075417227,-152.975225463939
"12","multinom","exp_1","construct","B",4,2.16234544067025,-155.269703177484
"13","multinom","exp_1","construct","B",5,2.12291183675411,-161.165789105567
"14","multinom","exp_1","construct","B",6,1.97739609713906,-130.650096908569
"15","multinom","exp_1","construct","B",7,2.15367948701958,-164.627000511031
"16","multinom","exp_1","construct","B",8,2.22091442240039,-162.97094649976
"17","multinom","exp_1","decon","A",1,1.01732839032566,-155.825991640354
"18","multinom","exp_1","decon","A",2,1.01731578453282,-155.825459531489
"19","multinom","exp_1","decon","A",3,0.858227460556291,-148.899788709865
"20","multinom","exp_1","decon","A",4,0.915082953624178,-150.695547298519
"21","multinom","exp_1","decon","A",5,0.792761215468627,-147.715437174839
"22","multinom","exp_1","decon","A",6,1.03631335734565,-154.162923120809
"23","multinom","exp_1","decon","A",7,1.16797478528361,-160.228424528108
"24","multinom","exp_1","decon","A",8,1.19280758637215,-161.602493019703
"25","multinom","exp_1","decon","B",1,1.28824730329748,-137.137632282353
"26","multinom","exp_1","decon","B",2,1.24441203528062,-133.846100015436
"27","multinom","exp_1","decon","B",3,1.57861892186695,-150.86356914373
"28","multinom","exp_1","decon","B",4,1.68499012695535,-159.722236987156
"29","multinom","exp_1","decon","B",5,1.63903972560377,-161.073646781131
"30","multinom","exp_1","decon","B",6,1.41428914150124,-139.619480711914
"31","multinom","exp_1","decon","B",7,1.66034322417856,-162.442642129521
"32","multinom","exp_1","decon","B",8,1.75380035975031,-165.938161617392
"33","multinom","exp_1","combine","A",1,2.03456441820502,-135.440339664031
"34","multinom","exp_1","combine","A",2,3.46958397538817,-141.983441487837
"35","multinom","exp_1","combine","A",3,3.67504309707449,-152.418172712295
"36","multinom","exp_1","combine","A",4,3.77508760503523,-154.76336877801
"37","multinom","exp_1","combine","A",5,3.58451231843021,-151.166535580305
"38","multinom","exp_1","combine","A",6,3.87264718145887,-157.230034567449
"39","multinom","exp_1","combine","A",7,3.83031909255969,-157.568340503279
"40","multinom","exp_1","combine","A",8,3.75180395177205,-155.939432865673
"41","multinom","exp_1","combine","B",1,1.9900710605147,-170.053674488771
"42","multinom","exp_1","combine","B",2,1.31476924332488,-103.169009535719
"43","multinom","exp_1","combine","B",3,1.89643816524695,-155.242253051559
"44","multinom","exp_1","combine","B",4,1.78455773372995,-140.042142004928
"45","multinom","exp_1","combine","B",5,1.97691354073285,-167.854824912827
"46","multinom","exp_1","combine","B",6,1.66639974468773,-126.825433737393
"47","multinom","exp_1","combine","B",7,1.85630189335494,-156.026858208119
"48","multinom","exp_1","combine","B",8,1.74105138436224,-134.84423974804
