"","model","iter","fit","param"
"1","AG",100,21367.2524380375,0.476808966306301
"2","AG",200,21390.5852527171,0.489961408355603
"3","AG",300,21415.4065489499,0.51430898321709
"4","AG",400,21422.3997386944,0.519692212045676
"5","AG",500,21411.748587504,0.512643987604865
"6","AG",600,21411.7153633647,0.51193601362721
"7","AG",700,21420.9556936598,0.517962487092252
"8","AG",800,21418.5690629683,0.51487334830016
"9","AG",900,21420.0484183139,0.517329831530047
"10","AG",1000,21424.8016175882,0.520357576696286
"11","AG",1100,21425.7924649765,0.522516794085555
"12","AG",1200,21417.403195386,0.518119811824019
"13","AG",1300,21425.0980238396,0.521436424197228
"14","AG",1400,21427.5642240561,0.525662836459328
"15","AG",1500,21425.0806416368,0.52495463256961
"16","AG",2000,21427.3646293601,0.524114101248964
"17","AG",2500,21434.5036722,0.528956851617222
"18","AG",3000,21425.5057731214,0.524128998176643
"19","AG",3500,21428.5292095827,0.526056282631517
"20","AG",4000,21435.0063542562,0.529574610433705
"21","AG",4500,21421.4812046668,0.522383617030737
"22","AG",5000,21430.356284734,0.527993115870701
"23","PCFG",10,24434.0066125394,1.23135337357982
"24","PCFG",50,22840.3558704723,-0.248543151145918
"25","PCFG",100,21734.9602428906,-0.731613209912261
"26","PCFG",200,21808.5769448542,-0.172270955804684
"27","PCFG",400,21627.0565704946,-0.238603481069685
"28","PCFG",600,21676.6600873173,-0.241256260678499
"29","PCFG",800,21838.1415683578,0.662889872414912
"30","PCFG",1000,22400.2818339031,0.15248326329194
"31","PCFG",2000,22190.0111885642,0.0939857389163045
"32","PCFG",4000,21763.4459321879,0.639800208788063
"33","PCFG",6000,21651.6620604405,0.564242068606556
"34","PCFG",8000,21649.6946072928,0.581178287472428
"35","PCFG",10000,22312.3480701534,0.51963299581394
"36","PCFG",20000,22347.0162746411,0.52422439395321
"37","PCFG",40000,21253.6180096235,0.354645529097414
"38","PCFG",60000,21234.6958499599,0.358046337461458
"39","PCFG",80000,21206.8636070616,0.345362980533869
"40","PCFG",100000,21287.4561591249,0.37112355397751
"41","AGR",100,20958.3285759177,0.333770456493874
"42","AGR",200,20984.670199014,0.346833686068559
"43","AGR",300,21014.4198539747,0.374828139807879
"44","AGR",400,21023.3312321282,0.381282401200549
"45","AGR",500,21009.978122092,0.372947836353087
"46","AGR",600,21011.3879689691,0.372915959714541
"47","AGR",700,21020.8050697483,0.379255824339173
"48","AGR",800,21017.2592833118,0.375320128386418
"49","AGR",900,21019.510272501,0.377972140556579
"50","AGR",1000,21025.0519180137,0.381688903506236
"51","AGR",1100,21025.574917666,0.383291807473423
"52","AGR",1200,21015.4998761475,0.37818882245764
"53","AGR",1300,21023.4649651096,0.381636421773385
"54","AGR",1400,21028.1086406657,0.387225845394933
"55","AGR",1500,21025.1679493983,0.386221605280966
"56","AGR",2000,21027.2638508408,0.385196431864764
"57","AGR",2500,21035.5657632327,0.390566017904285
"58","AGR",3000,21025.4363003679,0.385238217412368
"59","AGR",3500,21029.2560048402,0.387668467127764
"60","AGR",4000,21036.9346294874,0.391737028332301
"61","AGR",4500,21021.3614063427,0.383613936903087
"62","AGR",5000,21032.1068182215,0.390151372574963
