"","model","iter","fit","param"
"1","AG",100,21367.2524380375,0.476808966306301
"2","AGR",100,20673.1091420193,0.164739546451704
"3","AG",200,21390.5852527171,0.489961408355603
"4","AGR",200,20679.7732805817,0.166281467176038
"5","AG",300,21415.4065489499,0.51430898321709
"6","AGR",300,20716.3364581937,0.196978049965914
"7","AG",400,21422.3997386944,0.519692212045676
"8","AGR",400,20727.5437642496,0.2042680124658
"9","AG",500,21411.748587504,0.512643987604865
"10","AGR",500,20716.8704574075,0.197841889664751
"11","AG",600,21411.7153633647,0.51193601362721
"12","AGR",600,20714.2600746745,0.196069714432676
"13","AG",700,21420.9556936598,0.517962487092252
"14","AGR",700,20724.5480992372,0.202214523334868
"15","AG",800,21418.5690629683,0.51487334830016
"16","AGR",800,20719.4415213872,0.197626653261005
"17","AG",900,21420.0484183139,0.517329831530047
"18","AGR",900,20724.639765409,0.202052623997859
"19","AG",1000,21424.8016175882,0.520357576696286
"20","AGR",1000,20731.7452002655,0.206474841717916
"21","AG",1100,21425.7924649765,0.522516794085555
"22","AGR",1100,20733.7760827444,0.208982331580126
"23","AG",1200,21417.403195386,0.518119811824019
"24","AGR",1200,20724.0835407764,0.204438563531422
"25","AG",1300,21425.0980238396,0.521436424197228
"26","AGR",1300,20729.725070291,0.206507137591999
"27","AG",1400,21427.5642240561,0.525662836459328
"28","AGR",1400,20732.416845772,0.210789956430632
"29","AG",1500,21425.0806416368,0.52495463256961
"30","AGR",1500,20731.796107579,0.21120888127
"31","AG",2000,21427.3646293601,0.524114101248964
"32","AGR",2000,20733.8787347513,0.210184085066793
"33","AG",2500,21434.5036722,0.528956851617222
"34","AGR",2500,20743.4990992301,0.215969170595495
"35","AG",3000,21425.5057731214,0.524128998176643
"36","AGR",3000,20732.630111932,0.210680611668556
"37","AG",3500,21428.5292095827,0.526056282631517
"38","AGR",3500,20734.4374007176,0.21168956361469
"39","AG",4000,21435.0063542562,0.529574610433705
"40","AGR",4000,20742.108984767,0.215807651335172
"41","AG",4500,21421.4812046668,0.522383617030737
"42","AGR",4500,20727.0948577145,0.208247932620336
"43","AG",5000,21430.356284734,0.527993115870701
"44","AGR",5000,20737.2196478286,0.214305615886518
"45","PCFG",10,24434.0066125394,1.23135337357982
"46","PCFG",50,22840.3558704723,-0.248543151145918
"47","PCFG",100,21734.9602428906,-0.731613209912261
"48","PCFG",200,21808.5769448542,-0.172270955804684
"49","PCFG",400,21627.0565704946,-0.238603481069685
"50","PCFG",600,21676.6600873173,-0.241256260678499
"51","PCFG",800,21838.1415683578,0.662889872414912
"52","PCFG",1000,22400.2818339031,0.15248326329194
"53","PCFG",2000,22190.0111885642,0.0939857389163045
"54","PCFG",4000,21763.4459321879,0.639800208788063
"55","PCFG",6000,21651.6620604405,0.564242068606556
"56","PCFG",8000,21649.6946072928,0.581178287472428
"57","PCFG",10000,22312.3480701534,0.51963299581394
"58","PCFG",20000,22347.0162746411,0.52422439395321
"59","PCFG",40000,21253.6180096235,0.354645529097414
"60","PCFG",60000,21234.6958499599,0.358046337461458
"61","PCFG",80000,21206.8636070616,0.345362980533869
"62","PCFG",100000,21287.4561591249,0.37112355397751
"63","AG",10,21430.356284734,0.527993115870701
"64","AG",50,21430.356284734,0.527993115870701
"65","AG",6000,21430.356284734,0.527993115870701
"66","AG",8000,21430.356284734,0.527993115870701
"67","AG",10000,21430.356284734,0.527993115870701
"68","AG",20000,21430.356284734,0.527993115870701
"69","AG",40000,21430.356284734,0.527993115870701
"70","AG",60000,21430.356284734,0.527993115870701
"71","AG",80000,21430.356284734,0.527993115870701
"72","AG",100000,21430.356284734,0.527993115870701
"73","AGR",10,20737.2196478286,0.214305615886518
"74","AGR",50,20737.2196478286,0.214305615886518
"75","AGR",6000,20737.2196478286,0.214305615886518
"76","AGR",8000,20737.2196478286,0.214305615886518
"77","AGR",10000,20737.2196478286,0.214305615886518
"78","AGR",20000,20737.2196478286,0.214305615886518
"79","AGR",40000,20737.2196478286,0.214305615886518
"80","AGR",60000,20737.2196478286,0.214305615886518
"81","AGR",80000,20737.2196478286,0.214305615886518
"82","AGR",100000,20737.2196478286,0.214305615886518
