"","model","expt","condition","phase","trial","params","LL"
"1","similarity","exp_2","construct","A",1,"-7.60938507169929, 5.45026816483949, 5.28594562021276, 1.10219265890775",-116.389359581933
"2","similarity","exp_2","construct","A",2,"-14.5539720856955, 8.07878899028327, 8.00932862539396, 2.05553547937769",-147.934764781482
"3","similarity","exp_2","construct","A",3,"-12.5331820094313, 7.84909318956127, 8.05000684058113, 1.89564735464119",-140.481310082151
"4","similarity","exp_2","construct","A",4,"3.13938916937562, 7.60854932932499, 7.54968057245842, 1.94913308893036",-141.474274723262
"5","similarity","exp_2","construct","A",5,"-8.56576281122798, 7.71238217646748, 7.64300883090235, 1.92602501363638",-140.138189434427
"6","similarity","exp_2","construct","A",6,"-7.0906803747614, 7.26098082976181, 7.03432141774002, 1.94697449912293",-143.247295787142
"7","similarity","exp_2","construct","A",7,"-23.9469084055695, 7.60694784887539, 7.46124352379047, 1.71526710210194",-131.144695611069
"8","similarity","exp_2","construct","A",8,"-18.9334217120136, 7.73043539856764, 7.66427551955028, 2.06718699679797",-148.690563138747
"9","similarity","exp_2","construct","B",1,"0.303509831783889, 6.8022325775117, -47.0014592211842, 3.02376592983325",-106.066131636532
"10","similarity","exp_2","construct","B",2,"0.0426949901296399, 5.74060927830058, 5.51838962826442, 5.6668568088345",-160.750967795032
"11","similarity","exp_2","construct","B",3,"0.0538457272323048, 6.48526931261923, 6.35474104342874, 5.12255944447971",-130.356135837258
"12","similarity","exp_2","construct","B",4,"0.0275175157665544, 6.74447868395777, 6.99717201619984, 5.41041771019825",-139.896090996989
"13","similarity","exp_2","construct","B",5,"0.702709194837303, 2.07953019921884, -24.9659921668124, 3.12029842459038",-138.804854119031
"14","similarity","exp_2","construct","B",6,"0.14595434469888, 6.78591643582048, 6.28849710298489, 4.55975232623534",-124.307361554374
"15","similarity","exp_2","construct","B",7,"0.0557226816161529, 6.21076160750768, 6.01270497444569, 5.09464116287677",-111.26161386258
"16","similarity","exp_2","construct","B",8,"0.0526375251132975, 18.4705193210804, 18.2659199175581, 5.45503765101375",-147.612623238091
"17","similarity","exp_2","decon","A",1,"0.107736490461403, -0.2196923078107, -0.224843396604803, 2.32417721445237",-175.392661647437
"18","similarity","exp_2","decon","A",2,"0.308190933159485, 15.6736229395977, -2.14211313131287, 1.64051437384978",-167.173474379304
"19","similarity","exp_2","decon","A",3,"-1.02605368871567, 6.7517200345949, 6.0169901359175, 1.78347519460432",-157.993937828425
"20","similarity","exp_2","decon","A",4,"0.252847592139526, 0.646825240850089, 0.875875365514302, 2.10760361197639",-147.094170487089
"21","similarity","exp_2","decon","A",5,"0.143809823604277, 11.5668217987059, 10.7199592572854, 1.9223134691029",-164.143276342275
"22","similarity","exp_2","decon","A",6,"-8.90976985313909, 25.3028452039658, 2.36817862015495, 1.50219126032257",-151.125587163078
"23","similarity","exp_2","decon","A",7,"-0.0312237609833835, 1.64691155407228, 1.31887669022944, 2.2101187799505",-166.168875336695
"24","similarity","exp_2","decon","A",8,"-0.60005069489651, 5.07556797145871, 4.21261909995856, 1.98041902933873",-169.278394451503
"25","similarity","exp_2","decon","B",1,"-0.0727976283443703, 0.0767780759821385, 0.0853673667966326, 5.26727108231655",-116.108022951143
"26","similarity","exp_2","decon","B",2,"-0.0159207429816664, 6.40801966222911, 6.29744240717436, 5.88170653143393",-175.835002103608
"27","similarity","exp_2","decon","B",3,"-0.0187038140741956, 1.27901887733147, 1.33770861815531, 5.50829710220357",-140.413679071458
"28","similarity","exp_2","decon","B",4,"-0.0364484524208469, 0.738344176069828, 0.927501478416262, 6.06860806192146",-153.109364390433
"29","similarity","exp_2","decon","B",5,"0.0367479063501492, 1.35196772510246, 1.23334443160706, 5.54656181068101",-145.569044618409
"30","similarity","exp_2","decon","B",6,"0.0200574967946021, 5.73191651479291, 5.61527931335416, 5.1950076423861",-137.653709662897
"31","similarity","exp_2","decon","B",7,"0.0228460974349075, 5.8933380657386, 5.90980755722116, 5.8285288296287",-149.342612478579
"32","similarity","exp_2","decon","B",8,"-0.00194947671691591, 0.992952583996874, 0.924984686629775, 6.04364539827861",-162.865586925362
"33","similarity","exp_2","combine","A",1,"-7.60980962799023, 6.46894225069923, 7.09815206107783, 1.53202725649816",-100.849369485202
"34","similarity","exp_2","combine","A",2,"9.3396030717885, 8.290280273039, 8.67156095337755, 2.34653728206138",-143.07374475867
"35","similarity","exp_2","combine","A",3,"-5.30385029492029, 8.81513560891644, 9.13734489361892, 2.17450205783426",-131.184528721368
"36","similarity","exp_2","combine","A",4,"-1.86426719864732, 7.25900282344395, 7.61720740073276, 2.30652235713487",-139.553652394366
"37","similarity","exp_2","combine","A",5,"-3.58965152168035, 8.12900646972616, 8.55794318202791, 2.1544206271923",-129.699422918281
"38","similarity","exp_2","combine","A",6,"6.13454862501063, 7.66563776547254, 8.09290263537521, 2.16855404987213",-131.971304504315
"39","similarity","exp_2","combine","A",7,"-11.3902258893312, 7.60120267685971, 7.77497237644912, 2.07848161935383",-124.65694202566
"40","similarity","exp_2","combine","A",8,"-2.74343211915785, 7.64353185312216, 8.10217038833654, 2.29170973226691",-140.130723932751
"41","similarity","exp_2","combine","B",1,"0.450635448681538, -0.0986153568911625, -0.127230239697596, 6.31999698030419",-58.6063111142991
"42","similarity","exp_2","combine","B",2,"0.409638471157777, 0.106058729413341, -0.0920915333323461, 9.26904567954221",-207.363957875315
"43","similarity","exp_2","combine","B",3,"0.418561187530113, -0.540291072785878, -0.558370387685074, 6.57917117503758",-150.748157650717
"44","similarity","exp_2","combine","B",4,"0.281965271713445, -0.829328037330926, 0.0279592623402237, 6.782672508844",-152.805313133593
"45","similarity","exp_2","combine","B",5,"0.43377195702, -0.335638808909829, -0.269761815064563, 6.46622664601471",-115.700449518315
"46","similarity","exp_2","combine","B",6,"0.553531822276237, -0.26691658466911, -0.26903205827964, 5.92549541280669",-103.935263335169
"47","similarity","exp_2","combine","B",7,"0.432560819868287, -0.268940699006492, -0.282698368916221, 6.19857913200085",-88.6458528281962
"48","similarity","exp_2","combine","B",8,"0.416756884461141, -0.251517531685408, -0.256680972014228, 6.79158218281238",-120.272787843858
