"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"1",195,"58f34afdc8b7eb0001878fb6","comp_mult","If the magic egg has more than 1 spot it always adds 2 segments to the line","The stripes take away the corresponding amount of segments but if there is more than one 1 they still add 2","no",1
"2",196,"5aa3ac046475f90001a04a8d","comp_mult_reverse","If the number of spots and stripes are the same it doesnt change the stick","No stripes adds blocks ","Noe",0
"3",197,"5696348cb3cad10006e4394b","comp_const","The number of dots determines how many blocks there are on the stick. For example 1 dot on the egg adds 1 block to the stick. Therefore I think the number of dots determines how much the stick grows by.","The stripes take away the number of blocks in the stick. I thought of this initially but didnt stick with that prediction but it looks like my initial prediction of the stripes reducing the number of blocks was correct. And the dots add blocks to the stick","very interesting study. Glad to be a part of it. ",1
"4",198,"572897d52865c40008423b21","comp_mult_reverse","If there are more stripes than dots the stick is reduced in length. If there are equal stripes and dots then the stick stays the same. If there are more dots than stripes the stick increases in length. ","The magic egg multiplies the number of segments by the number of dots on the egg. ","I found this quite challenging I thought I had the correct answer initially but then this was disproved in the next step. Id love to know the right answer!",7
"5",199,"59576452036feb000199b059","comp_mult_reverse","1 dot vanish by amount of stripes 3 dots grow by amount of stripes. 2 dots stay the same?(not sure)","if stripes present:  1 dot- vanish by amount of stripes 2 dots stay same 3 dots- add number of stripes 4 dots not sure  if only dots- multiple number of dots equals stick length.","No",3
"6",200,"5c869309a3413000155866c0","comp_const","at least two dots in the egg to increase stick length by two segments maximum increase in stick length is two segments with dots in the egg only. one dot in the egg has no impact on the stick. ","at least two dots in the egg increase stick length by two. for each line in the egg the stick length is reduced by one. this is combined with the number of dots in the egg e.g. if the stick length is 3 the egg has two dots and two lines in it afterwards the stick length will be 3. ","na",4
"7",201,"5fad1135a1e0a638232ddbb2","comp_mult_reverse","I dont see a correlation","the number of dots is multiplied by the number of segments in the stick","no",4
"8",202,"602b8ec24634b22e31267dc8","comp_const","more eggs more chance of exteding stipes. no effect on first one","the lines appear to decrease the blocks where the eggs seemed to increase","no commenent ",2
"9",203,"5ec50215293dfe41a309745d","comp_const","Im not sure but perhaps odd numbers result in 3 segments whereas even numbers either double or result in 4 segments","the number of lines decreases the length of the stick by one segment per line","na",3
"10",204,"5d49999aadb3e10001910cce","comp_mult","The number of stick segments increases when it is multiplied by the number or spots on the egg.   So for the first egg there was only 1 spot and 3 stick segments - 1x3=3 sticks second egg 2 spots and 2 segments - 2x2=4 stick segments  third egg - 3 spots and 1 segment - 3x1=3 segments","So the spots still multiply the original stick segments. e.g. 1 spot x 2 stick segments= 2 stick segments  However the stripes on the eggs deducts.  First you multiply the sticks by the spots on the egg. Then take away the the same number of stick segments to the same number of stripes on the egg.   For example   in exampletest 6 there is 1 stripe 3 spots and 1 stick segment therefore:  3 (spots) x 1(segment) = 3 segments  3 (segments) - 1 (stripe) = 2 segments  ","It was a really fun study. Thank you ",11
"11",205,"5e1f71259138e029ceed05e2","comp_mult","The number of stick segments are multiplied by the number of dots on the egg. eg in the first 1 dot x 3 = 3 segments 2 dots x 2 = 4 segments and finally 3 dots x 1 = 3 segments","First the segments are multiplied by the number of dots then the number of stripes are subtracted. Eg 3 segments x 1 = 3 the subtract 3 stripes = 0.","I enjoyed doing this many thanks",10
"12",206,"5e8e35ae9950ef0c39fb9e79","comp_const","If it has one dot it has no effect.  If it had two dots the number of sticks doubled.  If it had 3 dots the number of sticks increased by 2.  At no point did he stick length increase with 1-3 dots in the eggs.","The number of stripes tells you how many sticks will be removed.  one stripe removed one stick 2 stripes removed 2 sticks and 3 stripes removed 3 sticks.","I would like to know the answers!!",6
"13",207,"5c352f5629a7ee0001c19558","comp_mult_reverse","If there are an unequal amount of spots and striped in the egg the stick decreases in length.","Im unsure I cant see a pattern.","NA",2
"14",208,"5ab786890527ba0001c18177","comp_mult_reverse","I think that the balance of stripes to dots indicates the state change with equal being no change stripes > dots decrease and dots > stripes increase. I think the magnitude is indicated by the stripes. I also wish I was paying attention to the instruction page test as I can remember the initial stick length....","Well that changes things. I am now at a loss for what the relationship is. my best guess would be that dots increase and strips decrease. with dots being a increase of dots2 rounded. and stripes. wait. possibly different rules for odd and even?","Im sure Im more intelligent usually -()-",2
"15",209,"5b36c94fb6b441000160ed8c","comp_mult","Number of dots matter. 1 dot.....x1 ie length stays the same 2 dots...x2 ie length doubles 3 dots...x3 ie length triples","Depends where dots are in relation to stripes","interesting to do.",5
"16",210,"5fdbc8ea46910909fe048099","comp_mult","one dot= no change two dots= double or +2 three dots= turns to 3","I truly dont have any idea","These types of tests make me feel really stupid. I feel like like I am terrible at recognizing patterns. ",1
"17",211,"5eaf314f7655c461c68edb56","comp_mult","I spot stay the same  2 spots double  3 spots increase to 3","Lines remove number of lines based on spot guesses","No ",1
"18",212,"5ea65b17b166de671b9e6585","comp_const","The amount of dots the egg has multiples the number of segments the stick has. So 2 dots multiples the segments by 2","The dots on the egg do nothing. however each line removes one segment from the stick. So 2 lines will remove 2 segments 4 lines would remove 4.","Nah",4
