"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"1",28,"5dadd3c286daf200165076c6","comp_mult_reverse","I believe that that spots touching the lines does not matter though the amount of lines on the egg matter. With 1 line it makes all sticks disappear whereas with 2 lines they stay the same and with 3 they add one.","The amount of lines means you double the sticks by the amount there is to increase the amount of lines.","None that I can think of",3
"2",29,"5f0649c1be64611a6cdd7980","comp_mult_reverse","When the black balls are larger than the amount of the orange sticks the amount of segments that equal to the number of black balls on the eggs disappear.   When the balls equal the number of orange sticks nothing happens.   When the amount of orange sticks is larger than the black balls the amount of black balls becomes the amount of segments that is added to the segment count. ","If there are no balls present and the amount of sticks either equal or are larger than the amount of segments then we will add two segments.   Everything from before is true with the addition of this statement. ","This was fun ",1
"3",30,"5c2a1d9a0bd9fd0001f322a1","comp_mult_reverse","If there are more dots than sticks it removes segments. If there are more sticks than dots it adds segments. If there are the same number of sticks and dots the number of segments stays the same. ","Well now Im just confused. Im going to stick with my previous guess - more dots = remove segments more sticks = add segments UNLESS its just one dotsegment in which case nothing changes. But I genuinely have no idea Im sorry!","Please tell me I get to find out what the pattern is if not the lack of closure will drive me insane!",3
"4",31,"599744029039240001432213","comp_mult","One stripe does nothing two stripes doubles the stick and three stripes triples the stick. ","The stripes increase the stick by the same number (3 stripes triple 4 stripes quadrupleetc) but the dots decrease the stick by taking away how many segments there are dots. ","It was fun to figure out the relationship. I felt confident after a few minutes.  ",12
"5",32,"5cbf563b2ceae00018916393","comp_mult","the number of lines in the egg multiplies the segments in the stick e.g. 2 line egg multiplies the segments of the stick by 2","3 dots is remove all segments. 2 dots is stay the same. 1 dot is halfminus 1","None",3
"6",33,"5d39b2d8bef6e600169d3861","comp_mult","The number of stick segments is multiplied by the number of egg stripes","New stick segment number = original stick segment number multiplied by number of egg stripes then minus the number of egg spots","The attention check questions were a little confusing but i got there eventually!",10
"7",34,"5dbae2122a1dd60f179ddca8","comp_const","the number of stripes in the egg indicates how many times you multiply the number of stick segments by e.g. 1) egg=1 stick =3 --> 1x3=3 so stick length stays the same  2) egg=2 stick=2 --> 2x2=4 so stick length is now 4   3) egg=3 stick=1 --> 3x1=3 so stick length now 3 ","so as said above the lines indicate how much you multiply the number of stick segments by and now i know that the dots indicate the number of segments to deduct e.g. 4) lines=1 spots=1 stick=3 --> 3x1-1=2","no",13
"8",35,"5eb3dc89ec54901c1b1fa542","comp_const","adds 2 segments to the stick only if there are 2 or more stripes on the egg","for each dot on an egg a segment of the stick is removed","no",2
"9",36,"601da1e1dc8ed915bfea84f0","comp_mult_reverse","the reverse is happening for whatever reason. when the lines and dots are equal nothing changes. hte last option thorugh me off with adding the square. ","the more lines that there are above one adds on two blocks but the dots remove one ","na  ",3
"10",37,"5c5d5fed13005e0001ab6e70","comp_const","The number of squares in the stick multiplied by the number of lines in the egg equals the new length of the stick","The number of squares in the stick multiplied by the number of lines in the egg minus the number of dots in the egg equals the new length of the stick","I found it pretty interesting and think that I came up with the correct idea as it seemed to work on each of the tests but I would love it if we get feedback on how we did",9
"11",38,"5f53baa0462e520a7571b901
","comp_const","Eggs with 1 stripe have no effect on the length (number of segments). 2 or more stripes on the egg increase the length by 2 segments.","The dots take away a segment of length per dot.","none",2
"12",39,"5d21c97b1eae150018e77606","comp_mult","The number of lines multiplies the length of the stick. So 1 line stays the same 2 lines doubles the stick length 3 lines triples the stick length","The lines multiply the length of the stick and then take away a length of stick for each dot there is.","I enjoyed it. I enjoyed working out the patterns as I like maths problems.",10
"13",40,"5f045b6fc017076b9360eef5","comp_mult","one stripe does not change the stick in any way 2 or 3 stripes both added 2 sticks. ","the dots take away a stick so he first example shows that one line makes no difference however the 3 dots then take away 3 sticks. example 5 ad 6 both add 2 sticks but take away 2 or 1 stick because of the dots ","quite interesting to try and figure out so therefore it is engaging",2
"14",41,"5d402ba19b264e001690ec88","comp_mult_reverse","The egg with 3 dots and 1 stripe makes the stick disappear.  The egg with 2 stripes and 2 dots didnt alter the stick. The egg with 3 stripes and 1 dot increased the size of the stick by 1.   As the stripes increase after 2 on the egg the stick should grow.","egg with 1 line will not multiply the stick size. egg with 2 lines will multiply by 2. egg with 3 lines will multiply by 3.","NA",3
"15",42,"5fbadc5fb1a235b6e97f0859","comp_mult","1 stripe does nothing 2 stripes adds two blocks and 3 stripes adds 1 block","3 dots removes 3 blocks 2 dots does nothing 1 dot does nothing","no",2
"16",43,"5c7c6a0e28933500015ec7da","comp_const","The length of the sticks is multiplied by the number of lines on the egg.","The length is multiplied by the number of lines and then the number of dots is subtracted.","It was annoying that in the first half of the task I didnt actually have enough information to answer the question.",11
"17",44,"5f4c936f6cc10e89ebf276b4","comp_mult","a single strip means the stick will not change the double strip egg means it will add 2 bars and the triple strip egg means it will change the bar to 3","strips and black dots on the magical eggs must add or subtract something about the bar i am not really sure ","I was very confused ",5
