"","run","iter","condition","cfit"
"1","D1",1,"construct",-3812.21394819066
"2","D1",1,"combine",-8011.79601014383
"3","D1",1,"decon",-4354.02296944236
"4","D1",1,"flip",-3764.39095239266
"5","D1",2,"construct",-3618.12458533109
"6","D1",2,"combine",-7848.66354043221
"7","D1",2,"decon",-4342.53835436886
"8","D1",2,"flip",-4097.01283439161
"9","D1",3,"construct",-3740.61109875383
"10","D1",3,"combine",-8053.01679052097
"11","D1",3,"decon",-4348.90172564655
"12","D1",3,"flip",-3948.27661388265
"13","D1",4,"construct",-3811.25245007523
"14","D1",4,"combine",-8118.31857556273
"15","D1",4,"decon",-4356.67170435997
"16","D1",4,"flip",-4026.14357712041
"17","D1",5,"construct",-3738.29746867407
"18","D1",5,"combine",-8430.51258229162
"19","D1",5,"decon",-4331.29939380989
"20","D1",5,"flip",-4000.62988176744
"21","D1",6,"construct",-3747.07569472104
"22","D1",6,"combine",-8145.54295613929
"23","D1",6,"decon",-4349.82157202385
"24","D1",6,"flip",-4034.60860281805
"25","D1",7,"construct",-3738.68326815656
"26","D1",7,"combine",-8249.61509940073
"27","D1",7,"decon",-4354.746274674
"28","D1",7,"flip",-4032.1124770389
"29","D1",8,"construct",-3777.69866843675
"30","D1",8,"combine",-8233.06329438571
"31","D1",8,"decon",-4373.55823313173
"32","D1",8,"flip",-4100.419979053
"33","D1",9,"construct",-3831.90772413227
"34","D1",9,"combine",-8110.53175887123
"35","D1",9,"decon",-4358.44658946731
"36","D1",9,"flip",-3989.21355499995
"37","D1",10,"construct",-3817.63313807973
"38","D1",10,"combine",-7941.98143814033
"39","D1",10,"decon",-4357.72743718856
"40","D1",10,"flip",-4041.92658482682
"41","D1",16,"construct",-3752.40928426072
"42","D1",16,"combine",-8309.7873233556
"43","D1",16,"decon",-4368.1688298004
"44","D1",16,"flip",-4062.53595924759
"45","D1",32,"construct",-3818.16442090104
"46","D1",32,"combine",-8277.17573797543
"47","D1",32,"decon",-4375.13598695462
"48","D1",32,"flip",-4101.07570219607
"49","D1",64,"construct",-3819.8376940077
"50","D1",64,"combine",-8277.66629950846
"51","D1",64,"decon",-4373.97479861109
"52","D1",64,"flip",-4083.53765825132
"53","D1",128,"construct",-3829.33767015401
"54","D1",128,"combine",-8232.49218604129
"55","D1",128,"decon",-4383.52761387364
"56","D1",128,"flip",-4125.35790984107
"57","D1",256,"construct",-3823.96540664732
"58","D1",256,"combine",-8209.72181141851
"59","D1",256,"decon",-4382.0908340375
"60","D1",256,"flip",-4110.50584072516
"61","D1",512,"construct",-3826.48062244581
"62","D1",512,"combine",-8261.68382456049
"63","D1",512,"decon",-4388.38350258252
"64","D1",512,"flip",-4116.26120883748
"65","D1",1024,"construct",-3824.29350062849
"66","D1",1024,"combine",-8272.69488022216
"67","D1",1024,"decon",-4389.92845915422
"68","D1",1024,"flip",-4119.41045129358
"69","ALLFRAMES",1,"construct",-3694.12222175009
"70","ALLFRAMES",1,"combine",-7867.90636245593
"71","ALLFRAMES",1,"decon",-4327.01508700468
"72","ALLFRAMES",1,"flip",-4157.94246867806
"73","ALLFRAMES",2,"construct",-3735.48788755021
"74","ALLFRAMES",2,"combine",-7577.04169272348
"75","ALLFRAMES",2,"decon",-4305.69162920196
"76","ALLFRAMES",2,"flip",-3904.12552059332
"77","ALLFRAMES",3,"construct",-3723.38804716952
"78","ALLFRAMES",3,"combine",-7995.11220398403
"79","ALLFRAMES",3,"decon",-4333.09700578499
"80","ALLFRAMES",3,"flip",-4020.60815942893
"81","ALLFRAMES",4,"construct",-3775.29586741123
"82","ALLFRAMES",4,"combine",-7972.48802304038
"83","ALLFRAMES",4,"decon",-4350.5255756201
"84","ALLFRAMES",4,"flip",-3996.80201273335
"85","ALLFRAMES",5,"construct",-3788.24807352362
"86","ALLFRAMES",5,"combine",-8253.4350009229
"87","ALLFRAMES",5,"decon",-4353.05347904335
"88","ALLFRAMES",5,"flip",-4122.03592871237
"89","ALLFRAMES",6,"construct",-3783.99335801772
"90","ALLFRAMES",6,"combine",-8253.75925478979
"91","ALLFRAMES",6,"decon",-4353.20956621685
"92","ALLFRAMES",6,"flip",-4101.50536603458
"93","ALLFRAMES",7,"construct",-3770.83910310231
"94","ALLFRAMES",7,"combine",-8249.18997125743
"95","ALLFRAMES",7,"decon",-4355.59757638426
"96","ALLFRAMES",7,"flip",-4115.57214501002
"97","ALLFRAMES",8,"construct",-3759.28459927811
"98","ALLFRAMES",8,"combine",-8149.94783271376
"99","ALLFRAMES",8,"decon",-4350.41109115505
"100","ALLFRAMES",8,"flip",-4026.23381321701
"101","ALLFRAMES",9,"construct",-3828.95088314813
"102","ALLFRAMES",9,"combine",-8163.70355604265
"103","ALLFRAMES",9,"decon",-4364.22307310068
"104","ALLFRAMES",9,"flip",-4040.65339039162
"105","ALLFRAMES",10,"construct",-3794.39488982303
"106","ALLFRAMES",10,"combine",-8259.00308838648
"107","ALLFRAMES",10,"decon",-4352.19920825544
"108","ALLFRAMES",10,"flip",-4030.24061272173
"109","ALLFRAMES",16,"construct",-3789.59385156756
"110","ALLFRAMES",16,"combine",-8360.89365025837
"111","ALLFRAMES",16,"decon",-4361.02510148609
"112","ALLFRAMES",16,"flip",-4022.07262937763
"113","ALLFRAMES",32,"construct",-3796.96668181005
"114","ALLFRAMES",32,"combine",-8192.13016030401
"115","ALLFRAMES",32,"decon",-4374.93955602541
"116","ALLFRAMES",32,"flip",-4091.84845599825
"117","ALLFRAMES",64,"construct",-3831.08296215678
"118","ALLFRAMES",64,"combine",-8411.67042832347
"119","ALLFRAMES",64,"decon",-4369.86035621892
"120","ALLFRAMES",64,"flip",-4040.73455218488
"121","ALLFRAMES",128,"construct",-3831.56360123638
"122","ALLFRAMES",128,"combine",-8282.93134779445
"123","ALLFRAMES",128,"decon",-4390.34858923749
"124","ALLFRAMES",128,"flip",-4136.67989959374
"125","ALLFRAMES",256,"construct",-3834.07323928933
"126","ALLFRAMES",256,"combine",-8289.65181375195
"127","ALLFRAMES",256,"decon",-4392.22501167583
"128","ALLFRAMES",256,"flip",-4145.09156643457
"129","ALLFRAMES",512,"construct",-3837.39410475016
"130","ALLFRAMES",512,"combine",-8292.51189694349
"131","ALLFRAMES",512,"decon",-4393.56802588437
"132","ALLFRAMES",512,"flip",-4152.21719375895
"133","D2",1,"construct",-3912.4898490387
"134","D2",1,"combine",-7977.80850730136
"135","D2",1,"decon",-4193.82061800883
"136","D2",1,"flip",-3851.27049421546
"137","D2",2,"construct",-3860.12456566858
"138","D2",2,"combine",-8074.0557212671
"139","D2",2,"decon",-4754.23805332922
"140","D2",2,"flip",-3871.28787016613
"141","D2",3,"construct",-3848.93320588308
"142","D2",3,"combine",-8386.9259694341
"143","D2",3,"decon",-4875.43844525825
"144","D2",3,"flip",-4201.60949876118
"145","D2",4,"construct",-3851.06733140645
"146","D2",4,"combine",-7870.21314278834
"147","D2",4,"decon",-4964.45839885862
"148","D2",4,"flip",-4057.07122628117
"149","D2",5,"construct",-3940.77443073944
"150","D2",5,"combine",-7887.1157306293
"151","D2",5,"decon",-4845.36078935526
"152","D2",5,"flip",-4173.35050757486
"153","D2",6,"construct",-3768.85288819129
"154","D2",6,"combine",-7996.28404296714
"155","D2",6,"decon",-4909.3823803784
"156","D2",6,"flip",-4116.48658145171
"157","D2",7,"construct",-3721.2900891631
"158","D2",7,"combine",-8033.37865681197
"159","D2",7,"decon",-5062.14237294865
"160","D2",7,"flip",-4023.37075595784
"161","D2",8,"construct",-3736.93011065245
"162","D2",8,"combine",-7936.30403095094
"163","D2",8,"decon",-4650.16190122513
"164","D2",8,"flip",-4091.9031614952
"165","D2",9,"construct",-3807.8278057363
"166","D2",9,"combine",-8084.92417785753
"167","D2",9,"decon",-4855.53743216676
"168","D2",9,"flip",-4079.65037866094
"169","D2",10,"construct",-3800.41518206472
"170","D2",10,"combine",-8082.33048436775
"171","D2",10,"decon",-4727.53872186093
"172","D2",10,"flip",-4199.89876579628
"173","D2",16,"construct",-3816.59688192765
"174","D2",16,"combine",-8003.25395381599
"175","D2",16,"decon",-4803.051495313
"176","D2",16,"flip",-4056.46519953311
"177","D2",32,"construct",-3785.40529431306
"178","D2",32,"combine",-7826.61441927086
"179","D2",32,"decon",-4917.31264912328
"180","D2",32,"flip",-4036.9431528006
"181","D2",64,"construct",-3682.81042098979
"182","D2",64,"combine",-7713.740507558
"183","D2",64,"decon",-4700.34973867038
"184","D2",64,"flip",-3952.27591543367
"185","D2",128,"construct",-3849.90399432509
"186","D2",128,"combine",-7722.05935356148
"187","D2",128,"decon",-4920.31945868933
"188","D2",128,"flip",-3968.18356020852
"189","D2",256,"construct",-3830.60285495802
"190","D2",256,"combine",-8038.85392907315
"191","D2",256,"decon",-4948.36824644621
"192","D2",256,"flip",-4082.00011560622
"193","D2",512,"construct",-3763.20535924674
"194","D2",512,"combine",-7904.79275133452
"195","D2",512,"decon",-4838.8204750464
"196","D2",512,"flip",-4042.41021861665
"197","D2",1024,"construct",-3825.55876055948
"198","D2",1024,"combine",-7836.45628022409
"199","D2",1024,"decon",-4929.64076099856
"200","D2",1024,"flip",-4011.42400637676
