"","run","iter","condition","cfit"
"1","D1",1,"construct",-3784.90813516058
"2","D1",1,"combine",-8359.03502174354
"3","D1",1,"decon",-4465.70012112245
"4","D1",1,"flip",-4029.7978458745
"5","D1",2,"construct",-3821.43423928024
"6","D1",2,"combine",-7793.19880417305
"7","D1",2,"decon",-4464.55220824161
"8","D1",2,"flip",-4438.03382144839
"9","D1",3,"construct",-3839.42972450107
"10","D1",3,"combine",-8223.94983054326
"11","D1",3,"decon",-4473.53677982251
"12","D1",3,"flip",-4283.0180271092
"13","D1",4,"construct",-3901.63480432142
"14","D1",4,"combine",-8289.93320634913
"15","D1",4,"decon",-4488.78085749001
"16","D1",4,"flip",-4352.97197085716
"17","D1",5,"construct",-3781.88461318868
"18","D1",5,"combine",-8537.97177119828
"19","D1",5,"decon",-4481.83235702999
"20","D1",5,"flip",-4356.18881465697
"21","D1",6,"construct",-3836.39521469835
"22","D1",6,"combine",-8405.42307849983
"23","D1",6,"decon",-4485.8155421974
"24","D1",6,"flip",-4342.73730100601
"25","D1",7,"construct",-3860.69989826284
"26","D1",7,"combine",-8434.19099331407
"27","D1",7,"decon",-4492.73781282153
"28","D1",7,"flip",-4348.42540853696
"29","D1",8,"construct",-3922.20485862811
"30","D1",8,"combine",-8435.2413341516
"31","D1",8,"decon",-4509.74546357512
"32","D1",8,"flip",-4430.34160433722
"33","D1",9,"construct",-3931.03218898053
"34","D1",9,"combine",-8381.07459881137
"35","D1",9,"decon",-4493.35663261624
"36","D1",9,"flip",-4309.11322968963
"37","D1",10,"construct",-3940.89587435496
"38","D1",10,"combine",-8241.09263814001
"39","D1",10,"decon",-4494.05017580185
"40","D1",10,"flip",-4392.0799053702
"41","D1",16,"construct",-3884.03492934645
"42","D1",16,"combine",-8535.35157466384
"43","D1",16,"decon",-4508.01263758983
"44","D1",16,"flip",-4366.39894360733
"45","D1",32,"construct",-3927.5926173509
"46","D1",32,"combine",-8493.48528057377
"47","D1",32,"decon",-4519.33026447655
"48","D1",32,"flip",-4417.43300171737
"49","D1",64,"construct",-3938.81208576963
"50","D1",64,"combine",-8490.40984925731
"51","D1",64,"decon",-4517.30128958584
"52","D1",64,"flip",-4398.44527261766
"53","D1",128,"construct",-3944.07472912064
"54","D1",128,"combine",-8456.74843874529
"55","D1",128,"decon",-4523.50480186597
"56","D1",128,"flip",-4446.54189322906
"57","D1",256,"construct",-3950.26918459375
"58","D1",256,"combine",-8443.77487267493
"59","D1",256,"decon",-4522.42142855063
"60","D1",256,"flip",-4434.22010360351
"61","D1",512,"construct",-3952.40593005345
"62","D1",512,"combine",-8489.55889910766
"63","D1",512,"decon",-4528.3893425187
"64","D1",512,"flip",-4437.16260330694
"65","D1",1024,"construct",-3951.2051730943
"66","D1",1024,"combine",-8497.99590619525
"67","D1",1024,"decon",-4529.70137083697
"68","D1",1024,"flip",-4438.9604956585
"69","ALLFRAMES",1,"construct",-3765.0324324873
"70","ALLFRAMES",1,"combine",-7970.29210629907
"71","ALLFRAMES",1,"decon",-4463.75984592351
"72","ALLFRAMES",1,"flip",-4545.30172731309
