"","run","iter","fit","param"
"1","D1",2,20497.6421976716,-0.328084484033343
"2","D1",4,20995.5252620063,0.133516984251655
"3","D1",8,21237.1775288077,0.279098266064594
"4","D1",16,21184.4024445818,0.268112356488617
"5","D1",32,21284.3910717684,0.335731494346239
"6","D1",64,21270.0340023459,0.323995537389341
"7","D1",128,21319.7581066454,0.359946887146314
"8","D1",256,21300.301101025,0.354256246617174
"9","D1",512,21344.621954445,0.387982504404409
"10","D1",1024,21351.9804083315,0.395142833224008
"11","D1",1100,21367.4952316056,0.40571707378884
"12","D1",1200,21359.9113818858,0.40116272355788
"13","D1",1300,21365.8463458282,0.403104721623139
"14","D1",1400,21370.9128472274,0.406043418801895
"15","D1",1500,21366.6105883745,0.405178937866262
"16","D1",2000,21281.5858693474,0.310048425491907
"17","D1",2500,21374.5600191939,0.411418807316142
"18","D1",3000,21289.6314490357,0.313641197418505
"19","D1",3500,21374.7908709171,0.409981458605487
"20","D1",4000,21384.7248615859,0.415453411002507
"21","D1",4500,21281.9660710026,0.311855545139149
"22","D1",5000,21377.5716481751,0.412898999306531
