"","ix","exp","condition","input_a","rule_a","input_b","rule_b"
"1","29","exp_1","decon","When the black balls are larger than the amount of the orange sticks the amount of segments that equal to the number of black balls on the eggs disappear.   When the balls equal the number of orange sticks nothing happens.   When the amount of orange sticks is larger than the black balls the amount of black balls becomes the amount of segments that is added to the segment count.","complex","If there are no balls present and the amount of sticks either equal or are larger than the amount of segments then we will add two segments.   Everything from before is true with the addition of this statement.","complex"
"2","33","exp_1","construct","The number of stick segments is multiplied by the number of egg stripes","mult","New stick segment number = original stick segment number multiplied by number of egg stripes then minus the number of egg spots","ground_truth"
"3","39","exp_1","construct","The number of lines multiplies the length of the stick. So 1 line stays the same 2 lines doubles the stick length 3 lines triples the stick length","mult","The lines multiply the length of the stick and then take away a length of stick for each dot there is.","ground_truth"
"4","45","exp_1","construct","i think the number of stripes on a magic egg causes the number of stick segments to multiply by the number of stripes on the magic egg","mult","i think the number of stripes on a magic egg causes the stick segments to multiply by that number and then reduce by 1 segment for every dot on the magic egg","ground_truth"
"5","53","exp_1","combine","The number if stripes is multiplise by the number of sticks","mult","The number of stripes is multiplied by the number of sticks and the each dot removes one stick","ground_truth"
"6","54","exp_1","combine","The number of stripes on the magic egg multiplies with the number of segments on the stick to increase the number.","mult","The stripes multiply with the segments whereas the spots on the magic egg indicate minus 1.","ground_truth"
"7","65","exp_1","decon","If there are more spots than stripes the stick will get shorter","complex","Multiply the stripes by the sticks and that gives the end length of the stick","mult"
"8","73","exp_1","combine","I think it’s a multiplication system - 1 stripe means it is multiplying the 3 blocks by 1 therefore leaving it with three. 2 stripes is multiplying the blocks by 2 = 4. 3 stripe multiplying 1 block = 3.","mult","The magic eggs with one stick - the black dots are subtractor the amount eggs is subtracted from the blocks","subtraction"
"9","80","exp_1","construct","end length = original length x number of lines on egg","mult","balls touching the lines cancel them out","complex"
"10","85","exp_1","combine","If the number of stripes on the egg is less than the existing number of segments on the stick it touches it adds the difference","complex","I believe now that the dots are subtract and that the stripes are multipliers.  So I believe it multiplies by number of stripes and then subtracts the dots","ground_truth"
"11","86","exp_1","combine","The number of stripes on the egg is multiplied with the number of segments on the stick to make the answer which is expressed with the final number of segments on the stick.","mult","The stripes are multiplied by the number of segments on the stick then the number of dots are subtracted from the total to give the final answer which is expressed by the number of segments on the stick.","ground_truth"
"12","92","exp_1","combine","The eggs with multiple stripes (i.e. more than 1) increase the length of the stick by the multiple of the stripes so for 2 stripes...the original length is doubled for 3 stripes the original length is tripled.","mult","How ever many dots there are...dictates the amount of length taken from the stick. So 1 dot steals 1 length of stick 2 dots 2 lengths","subtraction"
"13","95","exp_1","decon","Three dots and one stripe does not increase the pieces what matters is the dots more than the sticks","complex","The number of sticks increase the boxes","complex"
"14","98","exp_1","decon","The dots tell you how many blocks in the stick there will be","uncertain","no idea my previous guess was incorrect","uncertain"
"15","107","exp_1","construct","Two lines in the magic egg means that the stick grows two more sections.","add_2","when there are 3 lines patterns on the egg one extra block is added to the stick.","uncertain"
"16","109","exp_1","construct","The number of lines are a multiplier for the number of sticks.  1 line will not change number of sticks 2 lines will double number of sticks and 3 lines will triple number of sticks.","mult","(Number of lines x number of sticks) - number of dots","ground_truth"
"17","116","exp_1","construct","The number of stripes on the egg determines the number the stick will multiply by. For example 3 stripes mean the stick will multiply thrice its size","mult","Stripes multiple the stick by the amount of stripes in the egg. Dots deduct the length of the stick by the amount of dots in the egg","ground_truth"
