"","model","condition","batch","trial","nll"
"1","AG","construct","A",1,-256.498584898788
"2","AG","construct","A",2,-291.783527239857
"3","AG","construct","A",3,-236.170071607344
"4","AG","construct","A",4,-232.003177169454
"5","AG","construct","A",5,-277.617310654828
"6","AG","construct","A",6,-265.806236161613
"7","AG","construct","A",7,-234.210786450942
"8","AG","construct","A",8,-260.833883488936
"9","AG","construct","B",1,-250.187093483478
"10","AG","construct","B",2,-179.023142471048
"11","AG","construct","B",3,-239.752750682547
"12","AG","construct","B",4,-226.912914509215
"13","AG","construct","B",5,-271.49090068827
"14","AG","construct","B",6,-242.053560988233
"15","AG","construct","B",7,-232.113172216864
"16","AG","construct","B",8,-263.400484113854
"17","AG","combine","A",1,-540.738459513604
"18","AG","combine","A",2,-603.039789836546
"19","AG","combine","A",3,-533.168687253957
"20","AG","combine","A",4,-537.625793337341
"21","AG","combine","A",5,-574.138711200742
"22","AG","combine","A",6,-557.776009205174
"23","AG","combine","A",7,-512.110524239928
"24","AG","combine","A",8,-572.082121403915
"25","AG","combine","B",1,-582.154625971118
"26","AG","combine","B",2,-333.162375193409
"27","AG","combine","B",3,-507.091730144215
"28","AG","combine","B",4,-504.552805394734
"29","AG","combine","B",5,-529.579126098185
"30","AG","combine","B",6,-514.541358856793
"31","AG","combine","B",7,-504.648556374295
"32","AG","combine","B",8,-532.315351523882
"33","AG","decon","A",1,-218.729550163752
"34","AG","decon","A",2,-276.022031417158
"35","AG","decon","A",3,-314.624316237062
"36","AG","decon","A",4,-284.024169628982
"37","AG","decon","A",5,-317.255220009917
"38","AG","decon","A",6,-340.505964762475
"39","AG","decon","A",7,-287.828631550184
"40","AG","decon","A",8,-233.020715678199
"41","AG","decon","B",1,-227.406942959091
"42","AG","decon","B",2,-278.738429561932
"43","AG","decon","B",3,-312.632853130347
"44","AG","decon","B",4,-276.058433117953
"45","AG","decon","B",5,-286.704416893791
"46","AG","decon","B",6,-303.321198140566
"47","AG","decon","B",7,-362.092017486113
"48","AG","decon","B",8,-291.252743274203
"49","AG","flip","A",1,-114.652927927173
"50","AG","flip","A",2,-282.943021747514
"51","AG","flip","A",3,-199.786953526744
"52","AG","flip","A",4,-213.571166532831
"53","AG","flip","A",5,-243.332259051285
"54","AG","flip","A",6,-227.58926379499
"55","AG","flip","A",7,-216.53637284622
"56","AG","flip","A",8,-220.393924176695
"57","AG","flip","B",1,-340.282441909995
"58","AG","flip","B",2,-264.136912322981
"59","AG","flip","B",3,-323.050316887215
"60","AG","flip","B",4,-371.070407976715
"61","AG","flip","B",5,-326.617525266278
"62","AG","flip","B",6,-332.440936867794
"63","AG","flip","B",7,-296.51358145548
"64","AG","flip","B",8,-356.071429169157
"65","RR","construct","A",1,-256.625608741826
"66","RR","construct","A",2,-289.648350477143
"67","RR","construct","A",3,-234.979608180288
"68","RR","construct","A",4,-233.460499223398
"69","RR","construct","A",5,-276.968817079458
"70","RR","construct","A",6,-267.58206665454
"71","RR","construct","A",7,-233.520737042788
"72","RR","construct","A",8,-261.344403835342
"73","RR","construct","B",1,-250.094904581506
"74","RR","construct","B",2,-179.0822982787
"75","RR","construct","B",3,-239.742363384805
"76","RR","construct","B",4,-227.027361867317
"77","RR","construct","B",5,-271.44691964974
"78","RR","construct","B",6,-242.318239696193
"79","RR","construct","B",7,-232.083891003205
"80","RR","construct","B",8,-263.365887340252
"81","RR","combine","A",1,-541.10598840809
"82","RR","combine","A",2,-598.19866761181
"83","RR","combine","A",3,-530.412510263784
"84","RR","combine","A",4,-539.720657485354
"85","RR","combine","A",5,-572.824641311107
"86","RR","combine","A",6,-559.838909405547
"87","RR","combine","A",7,-510.64467255207
"88","RR","combine","A",8,-573.419240220368
"89","RR","combine","B",1,-618.319467381598
"90","RR","combine","B",2,-291.206820905119
"91","RR","combine","B",3,-492.692057649247
"92","RR","combine","B",4,-442.806807380809
"93","RR","combine","B",5,-499.935938445969
"94","RR","combine","B",6,-382.039110318191
"95","RR","combine","B",7,-517.873243042906
"96","RR","combine","B",8,-454.328587071754
"97","RR","decon","A",1,-305.027612665094
"98","RR","decon","A",2,-276.059991388075
"99","RR","decon","A",3,-315.864032951623
"100","RR","decon","A",4,-275.718364661109
"101","RR","decon","A",5,-314.15024888951
"102","RR","decon","A",6,-326.196286485196
"103","RR","decon","A",7,-349.535308450295
"104","RR","decon","A",8,-359.025039913988
"105","RR","decon","B",1,-289.160374007582
"106","RR","decon","B",2,-275.142075808931
"107","RR","decon","B",3,-326.241233193119
"108","RR","decon","B",4,-284.367718748276
"109","RR","decon","B",5,-335.920636339746
"110","RR","decon","B",6,-306.087740016788
"111","RR","decon","B",7,-299.158746882562
"112","RR","decon","B",8,-339.879067828594
"113","RR","flip","A",1,-107.259111802475
"114","RR","flip","A",2,-262.389362015225
"115","RR","flip","A",3,-188.849830837275
"116","RR","flip","A",4,-205.013614028162
"117","RR","flip","A",5,-238.91271038905
"118","RR","flip","A",6,-225.412297059433
"119","RR","flip","A",7,-214.193283266134
"120","RR","flip","A",8,-215.320063908563
"121","RR","flip","B",1,-359.544741174598
"122","RR","flip","B",2,-237.082721452355
"123","RR","flip","B",3,-265.134485205546
"124","RR","flip","B",4,-314.049335600862
"125","RR","flip","B",5,-280.08800229806
"126","RR","flip","B",6,-282.037027922983
"127","RR","flip","B",7,-291.531994510511
"128","RR","flip","B",8,-322.260166337503
"129","AGR","construct","A",1,-256.495888721338
"130","AGR","construct","A",2,-293.318575613447
"131","AGR","construct","A",3,-236.715745205804
"132","AGR","construct","A",4,-232.081403379922
"133","AGR","construct","A",5,-277.503511325619
"134","AGR","construct","A",6,-264.959773561281
"135","AGR","construct","A",7,-234.225528761843
"136","AGR","construct","A",8,-260.931090423304
"137","AGR","construct","B",1,-159.411212243228
"138","AGR","construct","B",2,-144.16126690781
"139","AGR","construct","B",3,-227.17351150374
"140","AGR","construct","B",4,-224.629893013402
"141","AGR","construct","B",5,-229.667912952971
"142","AGR","construct","B",6,-250.965541151977
"143","AGR","construct","B",7,-243.617373221787
"144","AGR","construct","B",8,-243.142486198722
"145","AGR","combine","A",1,-540.714143526369
"146","AGR","combine","A",2,-602.413060752144
"147","AGR","combine","A",3,-531.890549156149
"148","AGR","combine","A",4,-537.314391435451
"149","AGR","combine","A",5,-574.196754531578
"150","AGR","combine","A",6,-556.92786366951
"151","AGR","combine","A",7,-511.966891378854
"152","AGR","combine","A",8,-572.081342108995
"153","AGR","combine","B",1,-619.269587775052
"154","AGR","combine","B",2,-290.362625340528
"155","AGR","combine","B",3,-484.39761582828
"156","AGR","combine","B",4,-437.233212516623
"157","AGR","combine","B",5,-493.96585028289
"158","AGR","combine","B",6,-388.57949731688
"159","AGR","combine","B",7,-518.234889890134
"160","AGR","combine","B",8,-453.251256564059
"161","AGR","decon","A",1,-218.729550163752
"162","AGR","decon","A",2,-276.022031417158
"163","AGR","decon","A",3,-314.624316237062
"164","AGR","decon","A",4,-284.024169628982
"165","AGR","decon","A",5,-317.255220009917
"166","AGR","decon","A",6,-340.505964762475
"167","AGR","decon","A",7,-287.828631550184
"168","AGR","decon","A",8,-233.020715678199
"169","AGR","decon","B",1,-187.640695333596
"170","AGR","decon","B",2,-226.853583613635
"171","AGR","decon","B",3,-297.941309183441
"172","AGR","decon","B",4,-278.852791954402
"173","AGR","decon","B",5,-282.671034315916
"174","AGR","decon","B",6,-314.872531335662
"175","AGR","decon","B",7,-318.237538384048
"176","AGR","decon","B",8,-291.429742584616
"177","AGR","flip","A",1,-115.48024476933
"178","AGR","flip","A",2,-286.984167666304
"179","AGR","flip","A",3,-200.840892421258
"180","AGR","flip","A",4,-213.448254736696
"181","AGR","flip","A",5,-242.609520733404
"182","AGR","flip","A",6,-227.495583260242
"183","AGR","flip","A",7,-216.578884634482
"184","AGR","flip","A",8,-220.585093547855
"185","AGR","flip","B",1,-360.019034366951
"186","AGR","flip","B",2,-236.594417830039
"187","AGR","flip","B",3,-265.206089609977
"188","AGR","flip","B",4,-310.132718683667
"189","AGR","flip","B",5,-281.027987641226
"190","AGR","flip","B",6,-281.414560899145
"191","AGR","flip","B",7,-291.592848703076
"192","AGR","flip","B",8,-320.436347662268
"193","RRR","construct","A",1,-256.625608741826
"194","RRR","construct","A",2,-289.648350477143
"195","RRR","construct","A",3,-234.979608180288
"196","RRR","construct","A",4,-233.460499223398
"197","RRR","construct","A",5,-276.968817079458
"198","RRR","construct","A",6,-267.58206665454
"199","RRR","construct","A",7,-233.520737042788
"200","RRR","construct","A",8,-261.344403835342
"201","RRR","construct","B",1,-250.094904581506
"202","RRR","construct","B",2,-179.0822982787
"203","RRR","construct","B",3,-239.742363384805
"204","RRR","construct","B",4,-227.027361867317
"205","RRR","construct","B",5,-271.44691964974
"206","RRR","construct","B",6,-242.318239696193
"207","RRR","construct","B",7,-232.083891003205
"208","RRR","construct","B",8,-263.365887340252
"209","RRR","combine","A",1,-541.10598840809
"210","RRR","combine","A",2,-598.19866761181
"211","RRR","combine","A",3,-530.412510263784
"212","RRR","combine","A",4,-539.720657485354
"213","RRR","combine","A",5,-572.824641311107
"214","RRR","combine","A",6,-559.838909405547
"215","RRR","combine","A",7,-510.64467255207
"216","RRR","combine","A",8,-573.419240220368
"217","RRR","combine","B",1,-618.319467381598
"218","RRR","combine","B",2,-291.206820905119
"219","RRR","combine","B",3,-492.692057649247
"220","RRR","combine","B",4,-442.806807380809
"221","RRR","combine","B",5,-499.935938445969
"222","RRR","combine","B",6,-382.039110318191
"223","RRR","combine","B",7,-517.873243042906
"224","RRR","combine","B",8,-454.328587071754
"225","RRR","decon","A",1,-305.027612665094
"226","RRR","decon","A",2,-276.059991388075
"227","RRR","decon","A",3,-315.864032951623
"228","RRR","decon","A",4,-275.718364661109
"229","RRR","decon","A",5,-314.15024888951
"230","RRR","decon","A",6,-326.196286485196
"231","RRR","decon","A",7,-349.535308450295
"232","RRR","decon","A",8,-359.025039913988
"233","RRR","decon","B",1,-289.160374007582
"234","RRR","decon","B",2,-275.142075808931
"235","RRR","decon","B",3,-326.241233193119
"236","RRR","decon","B",4,-284.367718748276
"237","RRR","decon","B",5,-335.920636339746
"238","RRR","decon","B",6,-306.087740016788
"239","RRR","decon","B",7,-299.158746882562
"240","RRR","decon","B",8,-339.879067828594
"241","RRR","flip","A",1,-107.259111802475
"242","RRR","flip","A",2,-262.389362015225
"243","RRR","flip","A",3,-188.849830837275
"244","RRR","flip","A",4,-205.013614028162
"245","RRR","flip","A",5,-238.91271038905
"246","RRR","flip","A",6,-225.412297059433
"247","RRR","flip","A",7,-214.193283266134
"248","RRR","flip","A",8,-215.320063908563
"249","RRR","flip","B",1,-359.544741174598
"250","RRR","flip","B",2,-237.082721452355
"251","RRR","flip","B",3,-265.134485205546
"252","RRR","flip","B",4,-314.049335600862
"253","RRR","flip","B",5,-280.08800229806
"254","RRR","flip","B",6,-282.037027922983
"255","RRR","flip","B",7,-291.531994510511
"256","RRR","flip","B",8,-322.260166337503
