ix,condition,a_input,a_code,a_rule,b_input,b_code,b_rule
273,comp_mult,The number of spots on the egg is the multiplier for the stick length. For example 1 spot changes nothing 2 spots doubles the length 3 spots triple the length etc.,mult,mult,The number of spots is a multiplier and the number of stripes is a subtractor. If l is the length of the stick p is  of spots and t is  of stripes the new length of the stick = lp-t,gt,ground_truth
270,comp_mult,So the dots equal numbers and the segments are numbers and the circles dots are multiplies by the first about of segmentsnumbers which results in the lengthening or shortening. Basically multiply the amount of dots by the amount of segments.,mult,mult,The dots are multiplies by the amount of segments then minused by the amount of stripes,gt,ground_truth
204,comp_mult,The number of stick segments increases when it is multiplied by the number or spots on the egg.   So for the first egg there was only 1 spot and 3 stick segments - 1x3=3 sticks second egg 2 spots and 2 segments - 2x2=4 stick segments  third egg - 3 spots and 1 segment - 3x1=3 segments,mult,mult,So the spots still multiply the original stick segments. e.g. 1 spot x 2 stick segments= 2 stick segments  However the stripes on the eggs deducts.  First you multiply the sticks by the spots on the egg. Then take away the the same number of stick segments to the same number of stripes on the egg.   For example   in exampletest 6 there is 1 stripe 3 spots and 1 stick segment therefore:  3 (spots) x 1(segment) = 3 segments  3 (segments) - 1 (stripe) = 2 segments  ,gt,ground_truth
222,comp_mult,multiply number of dots by number of stick segments.  so if 2 stick segments meet 3 dots becomes 6 stick segments,mult,mult,Again number of dots multiplies number of stick segments.  But number of lines within the egg decreases numerically number of stick segments,gt,ground_truth
224,comp_mult,new number of stripes = number of dots * number of stripes,mult,mult,new line stripes = number of line stripes * number of dots in ball - number of stripes in ball,gt,ground_truth
316,comp_mult,My guess is that depending on the number of spots within the egg its the number of spots multiplied by the number of sticks. So if one egg has two spots and there are two sticks its 2 spots x 2 sticks = 4 sticks. ,mult,mult,The spots in the egg are multiplied by the number of sticks. However if there is a stick within the egg then the total number that was multiplied is subtracted by the amount of sticks within the egg. ,gt,ground_truth
217,comp_const,The length of the stick is multiplied by the number of dots i.e. 2 dots and the stick doubles in length 3 dots and the stick triples in length.,mult,mult,Dots multiple the length of the stick by the number of dots i.e. 1 dot = 1 times 2 dots doubles the length of the stick etc. The stripes minus a block form the stick i.e. 3 stripes minus three blocks from the length of the stick. Calculate effect of dots first then the stripes.,gt,ground_truth
255,comp_const,That the number of segments before the test is multiplied by the number of dots on the egg. ,mult,mult,I think the number of segments before are multiplied by the number of dots on the egg. I think the number of lines on the egg is then subtracted. ,gt,ground_truth
350,comp_mult,The number of dots multiplies the number of stick segments. For test 1: 1 x 3= 3 so stick does not change. test 2: 2 x 2= 4 so stick becomes 4 segments long. test 3: 3 x 1= 3 so stick becomes 3 segments long.,mult,mult,The number of dots multiplied by the segments of the original stick = new stick length. Then minus the number of lines on the magic egg. test 4: (1 x 3)-3=0. test 5: (2x2)-2=2. test 6: (3x1)-1=2.,gt,ground_truth
355,comp_mult,I think that its a multiplication sum. So the number of dots in the egg is multiplied by the number of blocks in the stick so when the egg hits the stick the number of dots gets multiplied by the number of blocks on the stick and then blocks are added to made the sum correct. For example in test 3 theres 3 dots and one block so when the egg with 3 dots hits the block it calculates (3 x 1) = 3 hence the stick grows to become 3 blocks long,mult,mult,So i think the same rule applies as before but the lines on the eggs is a subtract 1. So in test 6 the 3 dots would have been multiplied by the 1 block to make the stick 3 blocks long but the line on the egg subtracts 1 block leaving the stick only 2 blocks long,gt,ground_truth
