ix,condition,a_input,a_coded,a_rule,b_input,b_coded,b_rule
383,sub,The number of dots on the egg indicate how many segments the stick will lose.,subtract,subtraction,The number of segments on the stick is multiplied by the number of stripes on the egg.,mult,mult
402,mult,The number of stripes is what multiplies the number of segments of the stick e.g. 2 stripes would double the segments.,mult,mult,The number of stripes is what multiplies the length of the stick and then the number of dots is the number of segments subtracted from the length of the stick at the end.,gt,model
385,sub,The amount of dots in an egg take away the same amount of stick length. ,subtract,subtraction,Dont know,uncertain,uncertain
386,sub,each dot decreases the number of sticks by 1,subtract,subtraction,the number of stripes affects the amounts decreasing,uncertain,decrease
480,mult,The magical eggs multiply the original number of stick segments by the number of stripes on each magical egg. Eg. a magical egg with 3 stripes on will multiply a stick with 1 segment by 3 (3*1=3 segmented-stick).,mult,mult,The original number of segments is multiplied by the number of stripes on each egg then the number of dots on each egg is subtracted from the answer to the multiplication giving the number of segments. ,gt,model
388,mult,If more than 2 red lines in the egg it adds 2 blocks,add_2,add_2,2 red lines in an egg add 2 blocks a further number of blocks added per black dot. If 1 red line no change if a red line and 1 dot - 1 block removed 2 dots - 2 blocks removed etc.,add_2,add_2
389,mult,The magic eggs will cause an increase dependent on the sticks through multiplication of that number of sticks.,mult,mult,As mentioned in my previous guess the sticks will be the multiplier. In addition to this each circle in the egg will be a subtraction. This is proven to be true in each of the tests.,gt,model
390,mult,The amount of sticks determined the sections in the egg.  e.g. 2 sticks in an egg will give 4 sections as 2 sections are added due to 2 sticks. they do this with the magic that they have.,add_2,add_2,The amount of magic eggs indicates how many sections there will be. more eggs the less sections. ,complex,decrease
391,sub,the spots  on the eggs indicate how many sticks will disappear,subtract,subtraction,The number of stripes on the egg is how much the stick multiple by,mult,mult
392,mult,Multiple lines add two segments to the stick length. A single line does nothing.,add_2,add_2,A segment of the stick is removed for each dot there is on the egg. As per previous tests a single line does nothing.,subtract,subtraction
393,sub,The number of spots in the egg shows how many segments the stick will decrease by.,subtract,subtraction,The number of stripes indicates how many times you need to multiply the blocks.,mult,mult
394,sub,Based on the number of dots it decreases the length of the stick. It does not matter where the dots are located or how far apart the dots are from one another. ,subtract,subtraction,It seems based on where the lines are located it changes the length of the stick. The middle line is like a zero while the outer lines or the lines closer to the outside circle mean how many bars or how much longer the stick needs to be. ,complex,position
395,mult,one stripe make no difference  more stipes makes the stick lengthen by 2 segments,add_2,add_2,the sticks length reduces by the number of dots used accordingly,subtract,subtraction
396,mult,Having more than line adds 2 blocks to the sequence,add_2,add_2,That the number of blocks are removed according to the number of spots on the egg. Ie 1 dot 1 blocked removed 2 block 2 removed etc,subtract,subtraction
461,sub,reduces the number of segments based on the number of dots,complex,subtraction,the dots subtract from the segments by their number. and the number of lines is multiplied by the amount of segments,alt,model
398,mult,These magic eggs without the spots only stripes can increase the size of the stick. They have a multiplication effect. If an egg has to strips then it multiplies by 2 if it has 3 it multiplies by 3 etc. ,mult,mult,These eggs with the dots on them cause a subtraction effect. If an egg has 1 dot then it decreases the length of the stick by 1 if 2 it decreases by 2 etc. ,subtract,subtraction
399,mult,for any eggs with more than one stripe inside it increased the number of sticks by two regardless of the number of stripes,add_2,add_2,the number of sticks decreased by the number of dots on the magic eggs e.g. if 3 dots then 3 sticks were removed,subtract,subtraction
400,sub,1 dot = -1 stick,subtract,subtraction,1 stripe doesnt affect the sticks 2 and 3 stripes add 2 sticks,add_2,add_2
401,mult,I think the stripes represent the number and as well as the blocks,uncertain,uncertain,Stipes is the number times the blocks subtracted by the number of circles,gt,subtraction
397,mult,Each line is how much the sticks will multiply. First egg had 1 line and stick length didnt change. Second egg had two lines and stick doubled. Third egg had three lines and stick length tripled. ,mult,mult,Ok so the lines are multipliers and the dots are -1. ,comp,model
403,mult,The number of stripes times the number of green squares results in amount of green squares,mult,mult,Red stripes = times green squares minus the number of black spots,gt,subtraction
404,mult,That the stripes are the multipliers to the amount of segments. So the egg with 1 stripe multiplied by the 3 segments yields 3 segments. The egg with 2 stripes multiplied by 2 segments yields 4 segments. ,mult,mult,The stripe is the multiplier while the dots correspond to the amount of segments substracted.,comp,comp
405,sub,Each dot will make a line segment disappear. ,subtract,subtraction,Each additional line adds an extra segment,complex,increase
406,mult,An increase in the amount of sticks greater than 1 but less than or equal to 3 increases the sticks length by 2.,add_2,add_2,An increase in the amount of dots decreases the stick length by the amount of dots present the line has no impact on the stick length.,complex,subtraction
407,sub,It appears that the more dots present on the eggs the shorter the stick length is.,complex,decrease,When no dots are present and more stripes are added the length is increased by 2.,complex,add_2
408,sub,The dots are co-related to the missing sticks. Each dot removes 1 stick. But the effect from the stripe on the egg is unknown at this time. Is the stripe and the dots required for missing sticks?,subtract,subtraction,1 dot (and any number of sticks) = -1 stick 1 stripe = x1 stick (no change) 2 stripes = x2 sticks 3 stripes = x3 sticks But what about 1 dot without any sticks?,comp,comp
409,sub,The more dots on the magic eggs the shorter the stick gets ,complex,decrease,The more lines on the magic egg the longer the stick gets ,complex,increase
410,sub,The number of spots an egg has is the number of segments that decrease the length of the stick,subtract,subtraction,If the number of stripes on an egg has more than one it decreases two segments of length from the sticks ,add_2,add_2
411,sub,the dots indicate the number of sticks that are minused,subtract,subtraction,the lines either add remove or keep the number of sticks the same,complex,mix
441,mult,The lines inside the circle represent the multiple of the length of the stick,mult,mult,Inside the egg the number of lines multiples the length of the stick then you subtract the number of eggs from the stick,gt,model
413,sub,I think that the number of dots in the magic egg reduces the number of segments by an equal amount. The stick remains the same in all three cases and doesnt seem to have an effect.,subtract,subtraction,Dots reduce the number of segments and lines increase them. Two lines double the number of segments and three treble it etc.,comp,mult
414,sub,The black dots on the egg indicate how many segments of the stick will be taken away. For example 1 black dot on an egg equals 1 segment taken away from the stick.,subtract,subtraction,If there are two lines on an egg then it adds two segments to the stick. If there is a large diagonal line in the centre of the egg it means at least three segments are present on the stick plus whatever other lines are there. ,complex,mix
415,mult,the number of stripes multiplies the number of segments. 1x3=3 so the number of segments didnt change 2x2=4 so the segments beame 4 and lastly 3x1=3.,mult,mult,my guess is that for each black dot on the egg it removes one segment.,subtract,subtraction
416,sub,The number of spots on the egg and perhaps the positions of the spots vis-a-vis the stripe(s) seems to affect how much the sticks are shortened and do so proportionally too - i.e. three spots on the egg shorten the stick by three units.,subtract,subtraction,Each extra stripe on the eggs after the first increases the length of the sticks by that factor - i.e. two stripes doubles the stick length; three stripes triples the stick length. Each spot reduces the stick length by one unit.,gt,alt
417,sub,Presuming the eggs can both add AND subtract segments from sticks:  - Dots determine the amount of change. - Sticks determine the direction of change with one stick resulting in subtractionshortening.  No information of stick numbers other than 1 so information is highly limited.,complex,subtraction,Lines multiply the original amount of segments in the stick after which the quantity of dots is subtracted. This may happen in the reverse order as well but given the length options in the guessing set this seems unlikely.,gt,alt
418,sub,I believe the single stripe is not playing a part (the stripe is neutral) and the black dots indicate the number of segments it will remove (the stripes addno nothing nothing in this case and the dots remove),subtract,subtraction,the middle line is neutral. ,uncertain,position
419,mult,I think magic eggs with no dots  only 1 stripe causes no change of length to sticks. Any magic eggs with no dots  2+ stripes causes an increase of 2 segments to the sticks. This is only based on the tests shown so far.,add_2,add_2,I think that the dots with 1 stripe only of magic eggs influence the decrease the segments of the sticks. For example when 1 dot appears with 1 line 1 segment decreases. When 2 dots appear with 1 line 2 segments decrease. When 3 dots appear with 1 line 3 segments decrease. However I think the stripes on their own with no eggs have different properties vs eggs with dots so any dots matter for different effects.,complex,mix
420,mult,The eggs act as a multiplier so however many red stripes are in the egg multiply the green stripes by that amount.,mult,mult,The eggs are made of two parts red stripeslines and dots. The red stripes act as a multiplication tool and the dots act as a subtraction tool.,comp,comp
421,sub,The number of magic eggs removes the same amount of lines.,subtract,subtraction,The length of the lines has to do with the number of blocks you add or remove,uncertain,uncertain
422,sub,I think how many black dots each egg has will cause the stick to go down by that much. The first egg has 1 dot and the stick shrinks by 1. The second egg has 2 dots and the stick shrinks by 2. The third egg has 3 dots and the stick shrinks by 3.,subtract,subtraction,The black dots on the first 3 magic eggs caused lines to subtract from the stick but the orange lines cause the stick to multiply. The fourth egg only had 1 line so 1 times 3 equals 3. The fifth egg had 2 lines so 2 times 2 equals 4. The sixth egg had 3 lines so 3 times 1 equals 3. ,alt,comp
423,mult,I believe that the lines within the eggs are in indication of what the line shall be x by a line length of 1 and a magic egg with 3 lines equal 1 x 3 = 3 as the new length ,mult,mult,I believe that the line accounts still for x eg. egg with 1 line will be ? x 1 however the number of dots within the egg have to be subtracted. ,gt,comp
424,mult,The stripes inside the magic eggs determine the shape and length of the rectangle. When there are two stripes inside the eggs the rectangles become four and when the stripes the eggs are three the rectangles become three. ,complex,description,The number of the dots in the eggs determine the number of the bricks and the length. When the dot inside the egg is 1 the bricks reduced by 1 brick and when the dots are 2 the brick reduced by 2. And when the dots are 3 the bricks reduced by 3 also. ,subtract,subtraction
