nat,condition,a_input,a_coded,a_rule,b_input,b_coded,b_rule
596,mult,That the number of spots on the egg multiplies the number of segments upon the stick that it touches. Ergo one spot changes nothing. Two spots multiplies segments by two...etc,mult,mult,The spots multiply the number of segments by the corresponding figure (one spot equals x1 two spots equal x2 and so on) and the stripes subtract the corresponding figure from the stick segments (two stripes equals minus two segments on the stick),gt,ground_truth
547,mult,The number of dots is multiplied against the number of sticks. Son oen dot one stick three dots three sticks,mult,mult,Dots multiply the lines and lines inside the egg reduce the lines by one per line inside the egg,gt,ground_truth
584,sub,Each stripe on the egg reduces the stick length by 1. Hence 2 stripes means the stick reduces in length by 2.,subtract,subtraction,Ok so the number of dots also matters. You need to multiply the stick length by the number of dots and THEN subtract the number of stripes.,gt,ground_truth
541,mult,the length of stick is multiplied by the number of dots.,mult,mult,The dot multiplies the length of stick by the number of dots. The amount of lines are then subtracted from the total.,gt,ground_truth
553,mult,The eggs multiply the length of the stick by the number of dots on the egg.,mult,mult,The length of the stick is multiplied by the number of dots on the egg. The length of the stick is decreased by the number of stripes on the egg. Since we have only seen eggs with no stripes and eggs with one dot and some stripes it is impossible to tell whether the multiplication or subtraction is performed first.,comp,ground_truth
598,mult,The number of dots on the egg multiplied by the current number of segments in the stick equals the resulting number of segments in the stick when the egg is applied.,mult,mult,The dots indicate that you first multiply the number of dots by the segments in the stick. Then you subtract the number of lines from the current length of the stick to get the final length of the stick.,gt,ground_truth
621,mult,the magic eggs multiply the number of stick segments by the number of dots on the egg. number of segments after contact (n) = number of dots (d) x number of segments before contact (sg),mult,mult,the number of segments after contact (n) = (the number of dots on the egg (d) x the number of segments before contact (sg)) - the number of red lines on the egg (l). n=(d x sg)-l The stick is multiplied by the number of dots on the egg and then loses a segment for each red line on the egg.,gt,ground_truth
581,mult,The number of dots is a multiplier.  Starting length of stick * Number of dots = Final length of stick,mult,mult,Both stripes and dots matter. The number of dots is a multiplier. The number of stripes is subtracted.  Either: (Starting length of stick * Number of dots) - Number of stripes = New length of stick OR (Starting length of stick - Number of stripes) * Number of dots = New length of stick,comp,ground_truth
626,mult,You multiply the dots by the sticks ie. 1) 1 x 3 which = 3 so the stick stays the same. 2) 2 x 2 =4 so the stick increases in size. 3) 3 x 1 = 3 so the stick stays the same.,mult,mult,The dots multiply and the stripes subtract ie. 4)1 x 3 = 3 then subtract 1 and you are left with 2 blocks. 5) 1 x 3 =3 then subtract 2 and you are left with 1 block. 6)1 x 3 = 3 then subtract 3 and you are left with 0 blocks.,gt,ground_truth
628,mult,I think the number of spots are multiplied by the number of rows on the stick so 1x3 is no change. 2x2 increases to 4 3 x1 increases the stick to 3.,mult,mult,The spots are multiplied so one spot multiples the blocks by one therefore no change. 2 spots multiples by two so for example 2 spots hitting two blocks lengthens it to four. The lines need to be subtracted. So for example two spots hits two blocks making four but if there is one stripe it gets taken away so the final line is three blocks long.,gt,ground_truth
538,mult,The dots are a multiplier to the number of sticks. So if there is one dot the sticks will be multiplied by one and two dots will multiply the sticks by two etc. The placement of the dots makes no difference.,mult,mult,The dots multiply the number of sticks and then the red stripes remove sticks equal to the number of stripes.  So one dot and three stripes multiplies the sticks by one and then removes 3.,gt,ground_truth
564,mult,The stick multiplies in length by the amount of dots that are on the egg. ,mult,mult,I believe that the length of stick is multiplied by the amount of dots in the egg first and then the number of lines in the egg is taken off the length of the stick. ,gt,ground_truth
627,mult,The number of dots indicates the multiplication factor of the segments so if there are 2 dots the segments are increased by a factor of 2.,mult,mult,If the dots are on there own (so no stripes present) then the segments are increased by multiplying by the amount of dots.  If stripes are present then the number of segments decrease by the amount of stripes that are present. When there are stripes and more than 1 dot I would predict that you multiply the number of segments by the dots but then reduce by the amount by the amount of stripes.,gt,ground_truth
556,sub,the number of stripes on the egg indicates how many blocks it will take off of the stick length,subtract,subtraction,the spots indicate how many times the blocks are multiplied by- eg x2 or x3 etc,mult,mult
569,sub,The number of stripes determines how many blocks the length of the stick shortens by. So 1 stripe = 1 block reduction 2 stripes = 2 block reduction and so on,subtract,subtraction,The length of the stick multiplies by the number of dots on the egg so 1 spot has no impact 2 spots double the length 3 spots treble the length and so on,mult,mult
603,sub,The number of stripes in the eggs corresponds to how many segments are removed from the stick,subtract,subtraction,The number dots in the egg is the multiplication factor of the segments in the original stick,mult,mult
617,sub,An increase of the stripes by one on the eggs results in a decrease in the size of the stick by one bar.,subtract,subtraction,The number of dots on the eggs multiplied by the number of bars making up the original stick equals the number of bars making up the stick after the egg touches it.,mult,mult
557,sub,The number of stripes on the egg is the same as the number of segments that are removed.,subtract,subtraction,You times the segments by the number of spots present on the egg.,mult,mult
561,mult,Number of dots is a multiplier e.g. for 3 dots multiple no of segments by 3,mult,mult,The number of lines are subtracted from the number of segments e.g. for 3 lines 3 segments will be subtracted,subtract,subtraction
562,sub,The number of stripes on the eggs indicate how many sectors of length from the sticks will be consumed.,subtract,subtraction,The number of spots indicate the multiple of sectors whereas the sticks eliminate the sectors of stick. These coincide for example: if there is 3 sections of stick originally and this comes into contact with the egg with 1 spot that is 1x3. However if there is a line on the egg this indicates how many sections will be eliminated. Going back to the aforementioned example if there was 2 lines it would consume 2 sections and there would be 1 section of the stick length left,gt,mult
587,mult,The dots on the eggs are multiplied by how many segments are on the stick. The answer is then reflected on the sticks. For example one dot on the first egg multiplied by three segments on the stick (1x3) and the answer is three. The segments remain the same as there were already three.  However three dots on the third egg multiplied by one segment on the stick (3x1) the answer is still three though the stick changes to three segments because the answer to the equation is reflected on the stick segments.,mult,mult,The lines in the eggs represent how many pieces of the segment they will subtract. So in the last example there were three lines and three parts of the segment were taken away.,subtract,subtraction
593,mult,Dots on the egg when linked with a stick add new segments to the stick.  The number of new segments added depends on the number of spots in multiples of 2.  (i.e 4 dots would increase the length by 4 3 by 2 2 by 2 and 1 by 0).,add_2,mult,Lines on the egg take away a segment of the stick when they touch.  Dots will increase the length of the stick but the addition corresponds with multiples of 2 so 3 dots will only lead to an increase of 2 segments 4 by 4 etc).   ,add_2,ground_truth
522,sub,I think for every stripe on the egg it reduces the stick by 1 block. I dont think the spots matter as it was only ever the amount of stripes changing on each egg.,subtract,subtraction,I think the spots multiply with the number of blocks already there. So 3 spots and 1 block turns into 3 blocks or 2 blocks and 2 spots turns into 4 blocks. ,alt,mult
540,mult,The number of dots on the eggs are like times tables. eg. 2 dots means stick times 2 dots. so 3 dot eggs are like 3 dot eggs x 1 stick. ,mult,mult,each strip acts like a -1 number to the number of stick segments. This is my quess. ,subtract,subtraction
542,sub,With only one spot the number of lines removed are equal to the stripes on the magic egg. The position of the spot does not matter,subtract,subtraction,stripes act as a deductor. in the absence of stripes. spots are a multiplier of the original . e.g 4 1 spot x 3 bars 5 2 spots x 2 bars 6 3 x 1,comp,mult
597,mult,1. 1 ball = times the sticks by 1 2. 2 balls = times the sticks by 2 3. 3 balls = times the sticks by 3,mult,mult,from checks 4-6 the balls do not matter for the effect the number of orange sticks in the egg determines the removal of length in stick. i.e three orange sticks in the egg means removing 3 off the stick. ,subtract,subtraction
602,sub,I think that the number of sticks in the egg will reduce the number of segments by the same number . I do not think that the dots have any effect at all.,subtract,subtraction,I think that the number of dots is the amount that you multiply the number of segments by 1 dot so multiply by 1,mult,mult
604,sub,Known impact - the higher the number of sticks in the egg causes a three length stick to reduce its size. i.e more sticks in circle = less length in the stick.  I am not sure about the position of the circle in the egg or the impact to a longer  shorter stick. ,complex,decrease,the number of circles in the egg multiples the lenghth of the stick i.e. 1 circle * the existing length = the existing length 2 circles * the existing length = twice the size of the stick etc ...,alt,mult
525,sub,The number of diagonal lines on the egg represent how much the sticks shrink. 2 lines on the egg = stick shrunken by 2 etc,subtract,subtraction,The dots have a multiplying effect on the sticks. for every dot the stick length multiplied by that amount. 1 dot = length multiplied by 1 (ie the same length). 2 dots = stick length is multiplied by 2 etc,mult,mult
532,sub,A magic egg reduces the sticks length by the number of stripoes it has.,subtract,subtraction,The number of dots on the egg increases the stick length by mutiplication. So dot will increase the length by a multiple of 1,mult,mult
559,mult,The amount of spots that are on the egg is times the amount of sticks after they meet so 1 spot with three sticks (1x3) stays as 3 2 spots with 2 sticks (2x2) changes to 4 sticks and 3 spots with 1 stick (1x3) changes to 3 sticks,mult,mult,The amount of sticks on the egg is the amount of blocks taken away when they meet,subtract,subtraction
526,sub,the three lines in the egg indicates how many segments will be removed from the stick ,subtract,subtraction,you multiply the squares by the dots ,mult,mult
534,sub,The number of sticks determines the number of tiles that disappear. So if an egg is with one stick one tile disappears etc.,subtract,subtraction,The number of eggs multiplies the number of tiles. For example two  eggs on two tiles means will have 4 tiles as the eggs have multiplied the tiles by the number of eggs (2x2=4),mult,mult
552,sub,The number of stripes equates to the pieces of stick removed.  Though as the number of spots was identical on all 3 this is hard to summise.,subtract,subtraction,Number of dots multiplies the number of sections of the stick.,mult,mult
