"","rule_cat_a","rule_cat_b"
"1","mult","ground_truth"
"2","add_2","subtract"
"3","mult","ground_truth"
"4","add_2","subtract"
"5","mult","ground_truth"
"6","add_2","subtract"
"7","complex","subtract"
"8","uncertain","subtract"
"9","mult","ground_truth"
"10","mult","ground_truth"
"11","complex","complex"
"12","complex","complex"
"13","mult","subtract"
"14","mult","subtract"
"15","mult","subtract"
"16","add_2","complex"
"17","mult","ground_truth"
"18","add_2","subtract"
"19","mult","ground_truth"
"20","add_2","subtract"
"21","complex","ground_truth"
"22","mult","ground_truth"
"23","mult","subtract"
"24","add_2","subtract"
"25","mult","subtract"
"26","mult","subtract"
"27","mult","subtract"
"28","mult","ground_truth"
"29","add_2","add_2"
"30","complex","complex"
"31","add_2","complex"
"32","mult","ground_truth"
"33","complex","complex"
"34","mult","ground_truth"
"35","mult","ground_truth"
"36","add_2","uncertain"
"37","add_2","subtract"
"38","uncertain","complex"
"39","mult","subtract"
"40","mult","complex"
"41","mult","uncertain"
"42","add_2","complex"
"43","mult","subtract"
"44","add_2","complex"
"45","mult","ground_truth"
"46","complex","subtract"
"47","mult","complex"
"48","mult","alt"
"49","uncertain","subtract"
"50","complex","complex"
"51","mult","subtract"
"52","mult","ground_truth"
"53","complex","subtract"
"54","complex","subtract"
"55","uncertain","complex"
"56","add_2","add_2"
"57","complex","complex"
"58","complex","subtract"
"59","complex","subtract"
"60","mult","subtract"
"61","mult","ground_truth"
"62","mult","ground_truth"
"63","mult","ground_truth"
"64","add_2","subtract"
"65","mult","ground_truth"
"66","mult","subtract"
"67","complex","ground_truth"
"68","complex","complex"
"69","mult","comp"
"70","add_2","complex"
"71","mult","comp"
"72","add_2","complex"
"73","mult","ground_truth"
"74","add_2","subtract"
"75","add_2","add_2"
"76","add_2","add_2"
"77","add_2","subtract"
"78","complex","complex"
"79","complex","complex"
"80","uncertain","subtract"
"81","mult","ground_truth"
"82","add_2","subtract"
"83","complex","complex"
"84","mult","ground_truth"
"85","complex","complex"
"86","complex","subtract"
"87","add_2","complex"
"88","add_2","complex"
"89","complex","complex"
"90","uncertain","subtract"
"91","mult","subtract"
"92","complex","subtract"
"93","mult","subtract"
"94","mult","comp"
"95","add_2","subtract"
"96","mult","ground_truth"
"97","complex","subtract"
"98","mult","ground_truth"
"99","add_2","subtract"
"100","mult","ground_truth"
"101","complex","subtract"
"102","add_2","subtract"
"103","complex","complex"
"104","uncertain","complex"
"105","complex","uncertain"
"106","uncertain","subtract"
"107","mult","ground_truth"
"108","mult","ground_truth"
"109","add_2","add_2"
"110","mult","ground_truth"
"111","add_2","complex"
"112","add_2","subtract"
"113","add_2","subtract"
"114","add_2","subtract"
"115","mult","comp"
"116","mult","subtract"
"117","add_2","subtract"
"118","uncertain","ground_truth"
"119","mult","ground_truth"
"120","mult","ground_truth"
"121","mult","comp"
"122","add_2","complex"
"123","mult","ground_truth"
"124","mult","subtract"
"125","add_2","complex"
"126","mult","comp"
"127","mult","ground_truth"
"128","complex","subtract"
"129","complex","complex"
"130","mult","comp"
"131","complex","complex"
"132","mult","ground_truth"
"133","add_2","ground_truth"
"134","mult","ground_truth"
"135","uncertain","complex"
"136","mult","comp"
"137","mult","ground_truth"
"138","mult","ground_truth"
"139","mult","ground_truth"
"140","uncertain","subtract"
"141","add_2","subtract"
"142","add_2","subtract"
"143","complex","complex"
"144","mult","comp"
"145","complex","complex"
"146","mult","subtract"
"147","mult","complex"
"148","mult","ground_truth"
"149","add_2","complex"
"150","add_2","subtract"
"151","mult","subtract"
"152","add_2","complex"
"153","complex","subtract"
"154","complex","subtract"
"155","mult","ground_truth"
"156","mult","subtract"
"157","complex","subtract"
"158","complex","subtract"
"159","mult","ground_truth"
"160","add_2","complex"
"161","mult","ground_truth"
"162","complex","subtract"
"163","mult","ground_truth"
"164","add_2","subtract"
"165","complex","subtract"
"166","complex","subtract"
"167","complex","subtract"
"168","add_2","subtract"
"169","complex","subtract"
"170","complex","subtract"
"171","complex","uncertain"
"172","add_2","subtract"
"173","complex","complex"
"174","complex","complex"
"175","mult","ground_truth"
"176","add_2","add_2"
"177","mult","subtract"
"178","mult","ground_truth"
"179","complex","complex"
"180","mult","ground_truth"
"181","complex","subtract"
"182","add_2","subtract"
"183","mult","comp"
"184","complex","subtract"
"185","mult","subtract"
"186","mult","subtract"
"187","complex","complex"
"188","mult","ground_truth"
"189","complex","complex"
"190","uncertain","subtract"
"191","complex","complex"
"192","uncertain","uncertain"
"193","mult","comp"
"194","complex","complex"
"195","mult","subtract"
"196","complex","complex"
"197","add_2","add_2"
"198","complex","complex"
"199","mult","ground_truth"
"200","mult","subtract"
"201","mult","ground_truth"
"202","complex","complex"
"203","complex","complex"
"204","complex","complex"
"205","add_2","complex"
"206","complex","complex"
"207","add_2","subtract"
"208","complex","subtract"
"209","mult","ground_truth"
"210","add_2","subtract"
"211","complex","complex"
"212","complex","complex"
"213","uncertain","subtract"
"214","mult","ground_truth"
"215","mult","ground_truth"
"216","mult","ground_truth"
"217","complex","subtract"
"218","complex","subtract"
"219","complex","complex"
"220","uncertain","uncertain"
