"","rule_cat_a","rule_cat_b"
"1","mult","ground_truth"
"2","add_2","subtract"
"3","mult","ground_truth"
"4","add_2","subtract"
"5","mult","ground_truth"
"6","add_2","subtract"
"7","complex","subtract"
"8","uncertain","subtract"
"9","mult","ground_truth"
"10","mult","ground_truth"
"11","complex","complex"
"12","complex","complex"
"13","mult","subtract"
"14","mult","subtract"
"15","mult","subtract"
"16","add_2","complex"
"17","mult","ground_truth"
"18","add_2","subtract"
"19","mult","ground_truth"
"20","add_2","subtract"
"21","complex","ground_truth"
"22","mult","ground_truth"
"23","mult","subtract"
"24","add_2","subtract"
"25","mult","subtract"
"26","mult","subtract"
"27","mult","subtract"
"28","mult","ground_truth"
"29","add_2","add_2"
"30","complex","complex"
"31","add_2","complex"
"32","mult","ground_truth"
"33","complex","complex"
"34","mult","ground_truth"
"35","mult","ground_truth"
"36","add_2","uncertain"
"37","add_2","subtract"
"38","uncertain","complex"
"39","mult","subtract"
"40","mult","complex"
"41","mult","uncertain"
"42","add_2","complex"
"43","mult","subtract"
"44","add_2","complex"
"45","mult","ground_truth"
"46","complex","subtract"
"47","mult","complex"
"48","mult","alt"
"49","uncertain","subtract"
"50","complex","complex"
"51","mult","subtract"
"52","mult","ground_truth"
"53","complex","subtract"
"54","complex","subtract"
"55","uncertain","complex"
"56","add_2","add_2"
"57","complex","complex"
"58","complex","subtract"
"59","complex","subtract"
"60","mult","subtract"
"61","mult","ground_truth"
"62","mult","ground_truth"
"63","mult","ground_truth"
"64","add_2","subtract"
"65","mult","ground_truth"
"66","mult","subtract"
"67","complex","ground_truth"
"68","complex","complex"
"69","mult","comp"
"70","add_2","complex"
"71","mult","comp"
"72","add_2","complex"
"73","mult","ground_truth"
"74","add_2","subtract"
"75","add_2","add_2"
"76","add_2","add_2"
"77","add_2","subtract"
"78","complex","complex"
"79","complex","complex"
"80","uncertain","subtract"
"81","mult","ground_truth"
"82","add_2","subtract"
"83","complex","complex"
"84","mult","ground_truth"
"85","complex","complex"
"86","complex","subtract"
"87","add_2","complex"
"88","add_2","complex"
"89","complex","complex"
"90","uncertain","subtract"
"91","mult","subtract"
"92","complex","subtract"
"93","mult","subtract"
"94","mult","comp"
"95","add_2","subtract"
"96","mult","ground_truth"
"97","complex","subtract"
"98","mult","ground_truth"
"99","add_2","subtract"
"100","mult","ground_truth"
"101","complex","subtract"
"102","add_2","subtract"
"103","complex","complex"
"104","uncertain","complex"
"105","complex","uncertain"
"106","uncertain","subtract"
