"","rule_cat_a","rule_cat_b"
"1","subtract","mult"
"2","subtract","uncertain"
"3","subtract","uncertain"
"4","subtract","mult"
"5","subtract","mult"
"6","subtract","complex"
"7","subtract","add_2"
"8","subtract","complex"
"9","complex","complex"
"10","subtract","comp"
"11","complex","complex"
"12","subtract","add_2"
"13","subtract","complex"
"14","subtract","comp"
"15","subtract","complex"
"16","subtract","ground_truth"
"17","complex","ground_truth"
"18","subtract","uncertain"
"19","subtract","uncertain"
"20","subtract","alt"
"21","subtract","complex"
"22","complex","complex"
"23","subtract","add_2"
"24","subtract","mult"
"25","subtract","complex"
"26","subtract","add_2"
"27","subtract","add_2"
"28","subtract","complex"
"29","subtract","ground_truth"
"30","subtract","mult"
"31","subtract","complex"
"32","subtract","mult"
"33","subtract","mult"
"34","subtract","ground_truth"
"35","subtract","uncertain"
"36","subtract","mult"
"37","subtract","add_2"
"38","subtract","ground_truth"
"39","uncertain","complex"
"40","subtract","mult"
"41","subtract","ground_truth"
"42","subtract","mult"
"43","subtract","complex"
"44","complex","complex"
"45","complex","alt"
"46","uncertain","complex"
"47","subtract","ground_truth"
"48","uncertain","complex"
"49","subtract","complex"
"50","subtract","complex"
"51","subtract","ground_truth"
"52","subtract","mult"
"53","subtract","complex"
"54","uncertain","uncertain"
"55","complex","uncertain"
"56","subtract","add_2"
"57","complex","uncertain"
"58","subtract","mult"
"59","complex","mult"
"60","complex","mult"
"61","subtract","mult"
"62","subtract","alt"
"63","subtract","ground_truth"
"64","subtract","add_2"
"65","uncertain","comp"
"66","subtract","complex"
"67","complex","complex"
"68","uncertain","uncertain"
"69","subtract","alt"
"70","complex","complex"
"71","subtract","mult"
"72","subtract","mult"
"73","complex","complex"
"74","subtract","complex"
"75","subtract","uncertain"
"76","subtract","mult"
"77","subtract","mult"
"78","complex","complex"
"79","subtract","comp"
"80","subtract","complex"
"81","complex","mult"
"82","uncertain","uncertain"
"83","uncertain","mult"
"84","subtract","mult"
"85","complex","complex"
"86","subtract","mult"
"87","subtract","mult"
"88","complex","uncertain"
"89","subtract","uncertain"
"90","subtract","ground_truth"
"91","subtract","mult"
"92","subtract","complex"
"93","subtract","add_2"
"94","subtract","mult"
"95","subtract","mult"
"96","subtract","add_2"
"97","uncertain","uncertain"
"98","complex","uncertain"
"99","subtract","complex"
"100","subtract","uncertain"
"101","complex","complex"
"102","complex","mult"
"103","complex","complex"
"104","subtract","ground_truth"
"105","subtract","complex"
"106","subtract","add_2"
"107","complex","complex"
"108","subtract","complex"
"109","complex","complex"
"110","uncertain","add_2"
"111","subtract","complex"
"112","subtract","mult"
"113","subtract","complex"
"114","subtract","mult"
"115","subtract","mult"
"116","complex","alt"
"117","uncertain","add_2"
"118","subtract","mult"
"119","subtract","mult"
"120","complex","mult"
"121","complex","uncertain"
"122","subtract","mult"
"123","subtract","complex"
"124","subtract","add_2"
"125","subtract","mult"
"126","complex","complex"
