"","rule_cat_a","rule_cat_b"
"1","subtraction","mult"
"2","subtraction","uncertain"
"3","subtraction","complex"
"4","subtraction","mult"
"5","subtraction","mult"
"6","subtraction","complex"
"7","subtraction","add_2"
"8","subtraction","complex"
"9","complex","add_2"
"10","subtraction","comp"
"11","complex","complex"
"12","subtraction","add_2"
"13","subtraction","complex"
"14","subtraction","mult"
"15","subtraction","complex"
"16","subtraction","ground_truth"
"17","subtraction","ground_truth"
"18","subtraction","complex"
"19","subtraction","uncertain"
"20","subtraction","comp"
"21","subtraction","complex"
"22","subtraction","complex"
"23","subtraction","add_2"
"24","subtraction","mult"
"25","subtraction","complex"
"26","subtraction","add_2"
"27","subtraction","add_2"
"28","subtraction","complex"
"29","subtraction","ground_truth"
"30","subtraction","comp"
"31","subtraction","complex"
"32","subtraction","mult"
"33","subtraction","mult"
"34","subtraction","ground_truth"
"35","subtraction","uncertain"
"36","subtraction","mult"
"37","subtraction","add_2"
"38","subtraction","comp"
"39","uncertain","complex"
"40","subtraction","mult"
"41","subtraction","ground_truth"
"42","subtraction","mult"
"43","complex","uncertain"
"44","complex","complex"
"45","subtraction","alt"
"46","uncertain","complex"
"47","subtraction","ground_truth"
"48","uncertain","complex"
"49","subtraction","complex"
"50","subtraction","complex"
"51","subtraction","ground_truth"
"52","subtraction","mult"
"53","subtraction","add_2"
"54","uncertain","complex"
"55","complex","uncertain"
"56","subtraction","add_2"
"57","uncertain","complex"
"58","subtraction","mult"
"59","complex","comp"
"60","subtraction","mult"
"61","subtraction","mult"
"62","subtraction","comp"
"63","subtraction","ground_truth"
"64","subtraction","complex"
"65","uncertain","uncertain"
"66","subtraction","complex"
"67","complex","complex"
"68","uncertain","uncertain"
"69","subtraction","mult"
"70","complex","add_2"
"71","subtraction","mult"
"72","subtraction","mult"
"73","complex","complex"
"74","subtraction","complex"
"75","subtraction","uncertain"
"76","subtraction","mult"
"77","subtraction","mult"
"78","complex","complex"
"79","subtraction","mult"
"80","subtraction","complex"
"81","complex","mult"
"82","uncertain","uncertain"
"83","uncertain","mult"
"84","subtraction","mult"
"85","subtraction","complex"
"86","subtraction","mult"
"87","subtraction","mult"
"88","complex","uncertain"
"89","subtraction","uncertain"
"90","subtraction","mult"
"91","subtraction","mult"
"92","subtraction","complex"
"93","subtraction","add_2"
"94","subtraction","mult"
"95","subtraction","mult"
"96","subtraction","add_2"
"97","uncertain","uncertain"
"98","complex","complex"
"99","subtraction","complex"
"100","subtraction","complex"
"101","complex","complex"
"102","complex","mult"
"103","subtraction","complex"
"104","subtraction","ground_truth"
"105","subtraction","complex"
"106","subtraction","add_2"
"107","complex","complex"
"108","subtraction","complex"
"109","complex","complex"
"110","complex","add_2"
"111","subtraction","complex"
"112","subtraction","mult"
"113","complex","complex"
"114","subtraction","mult"
"115","subtraction","mult"
"116","complex","mult"
"117","subtraction","add_2"
"118","subtraction","mult"
"119","complex","mult"
"120","complex","mult"
"121","uncertain","uncertain"
"122","subtraction","mult"
"123","subtraction","add_2"
"124","subtraction","add_2"
"125","subtraction","mult"
"126","complex","complex"
