"","ix","condition","input_a","label_a","input_b","label_b","feedback"
"1",28,"decon","I believe that that spots touching the lines does not matter though the amount of lines on the egg matter. With 1 line it makes all sticks disappear whereas with 2 lines they stay the same and with 3 they add one.","complex","The amount of lines means you double the sticks by the amount there is to increase the amount of lines.","uncertain","None that I can think of"
"2",29,"decon","When the black balls are larger than the amount of the orange sticks the amount of segments that equal to the number of black balls on the eggs disappear.   When the balls equal the number of orange sticks nothing happens.   When the amount of orange sticks is larger than the black balls the amount of black balls becomes the amount of segments that is added to the segment count.","complex","If there are no balls present and the amount of sticks either equal or are larger than the amount of segments then we will add two segments.   Everything from before is true with the addition of this statement.","complex","This was fun"
"3",30,"decon","If there are more dots than sticks it removes segments. If there are more sticks than dots it adds segments. If there are the same number of sticks and dots the number of segments stays the same.","complex","Well now Im just confused. Im going to stick with my previous guess - more dots = remove segments more sticks = add segments UNLESS its just one dotsegment in which case nothing changes. But I genuinely have no idea Im sorry!","complex","Please tell me I get to find out what the pattern is if not the lack of closure will drive me insane!"
"4",31,"construct","One stripe does nothing two stripes doubles the stick and three stripes triples the stick.","mult","The stripes increase the stick by the same number (3 stripes triple 4 stripes quadrupleetc) but the dots decrease the stick by taking away how many segments there are dots.","ground_truth","It was fun to figure out the relationship. I felt confident after a few minutes."
"5",32,"construct","the number of lines in the egg multiplies the segments in the stick e.g. 2 line egg multiplies the segments of the stick by 2","mult","3 dots is remove all segments. 2 dots is stay the same. 1 dot is half/minus 1","complex","None"
"6",33,"construct","The number of stick segments is multiplied by the number of egg stripes","mult","New stick segment number = original stick segment number multiplied by number of egg stripes then minus the number of egg spots","ground_truth","The attention check questions were a little confusing but i got there eventually!"
"7",34,"combine","the number of stripes in the egg indicates how many times you multiply the number of stick segments by e.g. 1) egg=1 stick =3 --> 1x3=3 so stick length stays the same  2) egg=2 stick=2 --> 2x2=4 so stick length is now 4   3) egg=3 stick=1 --> 3x1=3 so stick length now 3","mult","so as said above the lines indicate how much you multiply the number of stick segments by and now i know that the dots indicate the number of segments to deduct e.g. 4) lines=1 spots=1 stick=3 --> 3x1-1=2","ground_truth","no"
"8",35,"combine","adds 2 segments to the stick only if there are 2 or more stripes on the egg","add_2","for each dot on an egg a segment of the stick is removed","subtraction","no"
"9",36,"decon","the reverse is happening for whatever reason. when the lines and dots are equal nothing changes. hte last option thorugh me off with adding the square.","complex","the more lines that there are above one adds on two blocks but the dots remove one","add_2","na"
"10",37,"combine","The number of squares in the stick multiplied by the number of lines in the egg equals the new length of the stick","mult","The number of squares in the stick multiplied by the number of lines in the egg minus the number of dots in the egg equals the new length of the stick","ground_truth","I found it pretty interesting and think that I came up with the correct idea as it seemed to work on each of the tests but I would love it if we get feedback on how we did"
"11",38,"combine","Eggs with 1 stripe have no effect on the length (number of segments). 2 or more stripes on the egg increase the length by 2 segments.","add_2","The dots take away a segment of length per dot.","subtraction","none"
"12",39,"construct","The number of lines multiplies the length of the stick. So 1 line stays the same 2 lines doubles the stick length 3 lines triples the stick length","mult","The lines multiply the length of the stick and then take away a length of stick for each dot there is.","ground_truth","I enjoyed it. I enjoyed working out the patterns as I like maths problems."
