"","model","condition","nll"
"1","RR","construct",-3954.73221235404
"2","RR","combine",-8183.13227076676
"3","RR","decon",-5075.75977980326
"4","RR","flip",-4166.3973315559
"5","AG","construct",-3955.09896569543
"6","AG","combine",-8455.3253468793
"7","AG","decon",-4579.23361229197
"8","AG","flip",-4462.36229471182
"9","AGR","construct",-3806.5782933879
"10","AGR","combine",-8210.30964232998
"11","AGR","decon",-4435.93770507252
"12","AGR","flip",-4149.42461580681
"13","RRR","construct",-3954.73221235404
"14","RRR","combine",-8183.13227076676
"15","RRR","decon",-5075.75977980326
"16","RRR","flip",-4166.3973315559
"17","LinReg","construct",-4758.07777139344
"18","LinReg","combine",-9652.41935513416
"19","LinReg","decon",-5105.71856436074
"20","LinReg","flip",-5833.66595560892
"21","Multinom","construct",-4760.69882854197
"22","Multinom","combine",-9864.46878677897
"23","Multinom","decon",-5244.29277855386
"24","Multinom","flip",-5255.33762917391
"25","GpReg","construct",-4770.08707429774
"26","GpReg","combine",-9385.59325203948
"27","GpReg","decon",-4840.4534542503
"28","GpReg","flip",-4677.68913444354
"29","Similarity","construct",-4615.80663289616
"30","Similarity","combine",-9363.63230358513
"31","Similarity","decon",-4959.10810144113
"32","Similarity","flip",-4961.97495238434
