"","run","iter","depth","condition","cfit"
"1",0,1,2,"construct",-3985.38115372832
"2",0,1,2,"combine",-8469.04827400187
"3",0,1,2,"decon",-4186.95339222866
"4",0,1,2,"flip",-4330.21310249395
"5",0,1,1,"construct",-3712.44487722104
"6",0,1,1,"combine",-8461.81996767517
"7",0,1,1,"decon",-4337.4406462197
"8",0,1,1,"flip",-4319.66932333975
"9",0,2,2,"construct",-3644.47652900654
"10",0,2,2,"combine",-7933.23311773657
"11",0,2,2,"decon",-4674.6304247153
"12",0,2,2,"flip",-4017.741959492
"13",0,2,1,"construct",-3627.49594396543
"14",0,2,1,"combine",-7761.87742973373
"15",0,2,1,"decon",-4350.43444992322
"16",0,2,1,"flip",-4118.01382940731
"17",0,3,2,"construct",-3902.10370700565
"18",0,3,2,"combine",-7639.12188581796
"19",0,3,2,"decon",-4692.40776330852
"20",0,3,2,"flip",-3819.69161396897
"21",0,3,1,"construct",-3628.25064967528
"22",0,3,1,"combine",-7618.6769798921
"23",0,3,1,"decon",-4348.98851060718
"24",0,3,1,"flip",-3999.46348360679
"25",0,4,2,"construct",-3693.31824642605
"26",0,4,2,"combine",-7564.75312460736
"27",0,4,2,"decon",-4537.76460213682
"28",0,4,2,"flip",-4044.04500938152
"29",0,4,1,"construct",-3630.29178073531
"30",0,4,1,"combine",-7763.94259233482
"31",0,4,1,"decon",-4350.31857682413
"32",0,4,1,"flip",-4104.63584113566
"33",0,5,2,"construct",-3706.1897246249
"34",0,5,2,"combine",-7595.28880268178
"35",0,5,2,"decon",-4636.37216524046
"36",0,5,2,"flip",-4010.78910100357
"37",0,5,1,"construct",-3736.85430993168
"38",0,5,1,"combine",-7720.49428928333
"39",0,5,1,"decon",-4347.29096189292
"40",0,5,1,"flip",-4036.93231856296
"41",0,6,2,"construct",-3822.46455953962
"42",0,6,2,"combine",-7713.63265716336
"43",0,6,2,"decon",-4794.05030585091
"44",0,6,2,"flip",-3905.07796977166
"45",0,6,1,"construct",-3687.04709736288
"46",0,6,1,"combine",-7999.86771582552
"47",0,6,1,"decon",-4348.46324138983
"48",0,6,1,"flip",-4014.34020442651
"49",0,7,2,"construct",-3842.44496759944
"50",0,7,2,"combine",-7660.13400141477
"51",0,7,2,"decon",-4733.81983107258
"52",0,7,2,"flip",-3817.59286426746
"53",0,7,1,"construct",-3715.36640603631
"54",0,7,1,"combine",-7882.91248438682
"55",0,7,1,"decon",-4343.36865953013
"56",0,7,1,"flip",-4079.25701363665
"57",0,8,2,"construct",-3885.33564476109
"58",0,8,2,"combine",-8052.84422394889
"59",0,8,2,"decon",-4707.05135070577
"60",0,8,2,"flip",-4080.24431213785
"61",0,8,1,"construct",-3703.95116043186
"62",0,8,1,"combine",-7907.34621022688
"63",0,8,1,"decon",-4349.13227435362
"64",0,8,1,"flip",-4087.59046386635
"65",0,9,2,"construct",-3818.95826092388
"66",0,9,2,"combine",-8012.03115245847
"67",0,9,2,"decon",-4754.29802627154
"68",0,9,2,"flip",-4058.63616979685
"69",0,9,1,"construct",-3757.38033122837
"70",0,9,1,"combine",-7977.74676742984
"71",0,9,1,"decon",-4348.73008814751
"72",0,9,1,"flip",-4011.33695636135
"73",0,10,2,"construct",-3812.72296965706
"74",0,10,2,"combine",-8350.95422555309
