"","run","iter","depth","condition","cfit"
"1",0,1,2,"construct",-4042.91203101569
"2",0,1,2,"combine",-8490.70689755285
"3",0,1,2,"decon",-4243.72571714533
"4",0,1,2,"flip",-4570.61074386739
"5",0,1,1,"construct",-3708.33627451407
"6",0,1,1,"combine",-8882.12406587349
"7",0,1,1,"decon",-4472.05761227809
"8",0,1,1,"flip",-4527.71554551479
"9",0,2,2,"construct",-3651.64692351728
"10",0,2,2,"combine",-7814.62636110315
"11",0,2,2,"decon",-4778.35847327707
"12",0,2,2,"flip",-4333.07315039895
"13",0,2,1,"construct",-3743.16787232867
"14",0,2,1,"combine",-8169.94602420483
"15",0,2,1,"decon",-4474.47118749896
"16",0,2,1,"flip",-4430.39207456091
"17",0,3,2,"construct",-3890.4570646249
"18",0,3,2,"combine",-8102.84684584619
"19",0,3,2,"decon",-4632.2988528572
"20",0,3,2,"flip",-4070.66900154381
"21",0,3,1,"construct",-3750.31238536756
"22",0,3,1,"combine",-7932.11520193721
"23",0,3,1,"decon",-4466.1307389194
"24",0,3,1,"flip",-4327.94491812175
"25",0,4,2,"construct",-3649.38459232558
"26",0,4,2,"combine",-7327.34525760389
"27",0,4,2,"decon",-4650.1549643294
"28",0,4,2,"flip",-4330.92669527804
"29",0,4,1,"construct",-3752.32007030419
"30",0,4,1,"combine",-8152.98977903329
"31",0,4,1,"decon",-4475.60153379875
"32",0,4,1,"flip",-4429.25281292388
"33",0,5,2,"construct",-3719.73784295536
"34",0,5,2,"combine",-7939.30755161295
"35",0,5,2,"decon",-4557.4667657392
"36",0,5,2,"flip",-4431.94759053798
"37",0,5,1,"construct",-3851.94824483853
"38",0,5,1,"combine",-7951.36077607712
"39",0,5,1,"decon",-4466.41705143339
"40",0,5,1,"flip",-4369.35561616709
"41",0,6,2,"construct",-3768.23132010518
"42",0,6,2,"combine",-8153.5597040264
"43",0,6,2,"decon",-4859.25163041504
"44",0,6,2,"flip",-4189.64638472724
"45",0,6,1,"construct",-3827.52449881626
"46",0,6,1,"combine",-8262.30081855324
"47",0,6,1,"decon",-4479.28321127684
"48",0,6,1,"flip",-4351.69341846246
"49",0,7,2,"construct",-3857.48892883388
"50",0,7,2,"combine",-7999.6905627654
"51",0,7,2,"decon",-5004.15998835521
"52",0,7,2,"flip",-4091.26373957569
"53",0,7,1,"construct",-3842.29972307025
"54",0,7,1,"combine",-8137.82103842112
"55",0,7,1,"decon",-4480.93757109769
"56",0,7,1,"flip",-4447.89737559898
"57",0,8,2,"construct",-3796.4139177148
"58",0,8,2,"combine",-7871.46086447175
"59",0,8,2,"decon",-4790.22888907082
"60",0,8,2,"flip",-4295.76841650806
"61",0,8,1,"construct",-3856.46099790028
"62",0,8,1,"combine",-8157.18309934799
"63",0,8,1,"decon",-4485.91356033832
"64",0,8,1,"flip",-4441.41554356076
"65",0,9,2,"construct",-3773.53509789024
"66",0,9,2,"combine",-7786.61479115204
"67",0,9,2,"decon",-4777.5390383304
"68",0,9,2,"flip",-4358.17056157467
"69",0,9,1,"construct",-3868.81351880037
"70",0,9,1,"combine",-8245.36718337158
"71",0,9,1,"decon",-4480.37496462385
"72",0,9,1,"flip",-4323.84274283779
"73",0,10,2,"construct",-3821.89354079622
"74",0,10,2,"combine",-7891.12957786609
"75",0,10,2,"decon",-5019.91073622624
"76",0,10,2,"flip",-4366.22792577272
"77",0,10,1,"construct",-3941.92389647621
"78",0,10,1,"combine",-8336.24207281436
"79",0,10,1,"decon",-4487.27316877245
"80",0,10,1,"flip",-4347.6632813374
"81",0,16,2,"construct",-3893.30694638697
"82",0,16,2,"combine",-7929.7819270936
"83",0,16,2,"decon",-4771.49650336154
"84",0,16,2,"flip",-4017.14692846468
"85",0,16,1,"construct",-3849.15997069071
"86",0,16,1,"combine",-8634.07075533889
"87",0,16,1,"decon",-4494.74096069555
"88",0,16,1,"flip",-4352.32902048769
"89",0,32,2,"construct",-3705.61164922785
"90",0,32,2,"combine",-7899.66302882084
"91",0,32,2,"decon",-4976.53775077792
"92",0,32,2,"flip",-4007.2416770073
"93",0,32,1,"construct",-3936.40715016501
"94",0,32,1,"combine",-8471.27626273905
"95",0,32,1,"decon",-4511.39753724909
"96",0,32,1,"flip",-4407.77229805239
"97",0,64,2,"construct",-3827.69731223803
"98",0,64,2,"combine",-7655.61147067227
"99",0,64,2,"decon",-4907.57784486684
"100",0,64,2,"flip",-4040.21108786398
"101",0,64,1,"construct",-3938.17514515493
"102",0,64,1,"combine",-8511.70282445736
"103",0,64,1,"decon",-4522.47520645488
"104",0,64,1,"flip",-4421.18207114934
"105",0,128,2,"construct",-3740.55606230881
"106",0,128,2,"combine",-7849.39714405664
"107",0,128,2,"decon",-4950.42148119
"108",0,128,2,"flip",-4137.35135383232
"109",0,128,1,"construct",-3949.0002698905
"110",0,128,1,"combine",-8471.76787973484
"111",0,128,1,"decon",-4526.3813684305
"112",0,128,1,"flip",-4451.35413089661
"113",0,256,2,"construct",-3785.19238868078
"114",0,256,2,"combine",-7830.46401853633
"115",0,256,2,"decon",-4952.67122123701
"116",0,256,2,"flip",-4280.45098269345
"117",0,256,1,"construct",-3959.77481843567
"118",0,256,1,"combine",-8479.53659095159
"119",0,256,1,"decon",-4532.73836357005
"120",0,256,1,"flip",-4478.43610513481
"121",0,512,2,"construct",-3786.39402862519
"122",0,512,2,"combine",-7817.43624583347
"123",0,512,2,"decon",-4971.53344037617
"124",0,512,2,"flip",-4253.24687831912
"125",0,512,1,"construct",-3961.10355591732
"126",0,512,1,"combine",-8490.86348033308
"127",0,512,1,"decon",-4532.61868801113
"128",0,512,1,"flip",-4466.77574861633
"129",0,1024,2,"construct",-3831.36165601613
"130",0,1024,2,"combine",-7834.78818661874
"131",0,1024,2,"decon",-4930.7219631758
"132",0,1024,2,"flip",-4164.76188600202
"133",0,1024,1,"construct",-3958.35071869396
"134",0,1024,1,"combine",-8510.79510165464
"135",0,1024,1,"decon",-4535.7860338146
