,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SB,[B,addnn,[S,[K,subnn,0],getDot]],[BB,[addnn,0],[CS,[BK,mulnn,getStripe],[B,I,I]]]]",egg_num,num,program,0.0,4.0,-22.862562951859438
25,"[SS,[BB,mulnn,[SS,[KK,subnn,4],[KB,I,I]]],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,6.0,-21.540807111877115
26,"[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,addnn,[B,I,I]],0]]],[CK,[B,subnn,getDot],0]]",egg_num,num,program,0.0,4.0,-23.55571013241938
27,"[SB,[B,addnn,[S,[B,addnn,getDot],getDot]],[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[S,[B,subnn,getStripe],getDot]]]",egg_num,num,program,0.0,3.0,-23.738031689213337
28,"[SB,[B,mulnn,[B,[addnn,0],getStripe]],[SC,[BB,subnn,[KB,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-18.07507120907739
29,"[SC,[BB,addnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,1.0,-21.476268590739547
30,"[SC,[BB,subnn,[SB,[B,mulnn,[B,[addnn,0],getStripe]],[SC,[BB,subnn,[KB,I,I]],getDot]]],[C,[K,mulnn,0],1]]",egg_num,num,program,0.0,1.0,-29.729496236321317
31,"[SC,[BB,subnn,[SB,[B,mulnn,[B,[addnn,0],getStripe]],[SC,[BB,subnn,[KB,I,I]],getDot]]],[C,[K,mulnn,0],2]]",egg_num,num,program,0.0,2.0,-29.729496236321317
32,"[SC,[BB,subnn,[SB,[B,mulnn,[B,[addnn,0],getStripe]],[SC,[BB,subnn,[KB,I,I]],getDot]]],[C,[K,mulnn,0],4]]",egg_num,num,program,0.0,2.0,-29.729496236321317
33,"[SB,[B,mulnn,[B,[mulnn,1],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,15.0,-16.6887768479575
