,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BS,[B,mulnn,[B,[subnn,3],[B,I,I]]],[BC,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,3.0,-16.911920399271708
25,"[SC,[BK,mulnn,[C,[B,subnn,getStripe],1]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-12.124428656489663
26,"[SK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],getDot]",egg_num,num,program,0.0,3.0,-9.821843563495618
27,"[SB,[B,mulnn,[C,[B,subnn,getStripe],1]],[KB,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.911920399271708
28,"[CS,[BK,mulnn,[S,[K,subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,6.0,-12.124428656489663
29,"[CB,[B,mulnn,getDot],[S,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,7.0,-11.431281475929719
30,"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,8.0,-10.738134295369772
31,"[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]",egg_num,num,program,0.0,9.0,-11.431281475929719
32,"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],getDot]",egg_num,num,program,0.0,23.0,-10.738134295369772
33,"[SC,[BK,mulnn,[B,[mulnn,1],getDot]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-15.525626038151819
34,"[BS,[B,mulnn,[B,I,I]],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,6.0,-12.124428656489663
35,"[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-15.525626038151819
36,"[CB,[B,mulnn,[B,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,6.0,-11.431281475929719
37,"[SC,[BK,mulnn,getDot],[C,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,7.0,-11.431281475929717
