,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-18.07507120907739
25,"[SS,[BK,addnn,[K,getDot,Egg(S1,O0)]],[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]]",egg_num,num,program,0.0,4.0,-27.937736767093263
26,"[BB,[addnn,0],[SB,[K,addnn,0],[SS,[BK,addnn,[K,getDot,Egg(S1,O0)]],[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]]]]",egg_num,num,program,0.0,11.0,-39.592161794337194
27,"[BS,[B,subnn,[B,I,I]],[SB,[B,subnn,getDot],[CS,[BB,mulnn,[SK,[K,subnn,4],getStripe]],[B,[subnn,3],[B,I,I]]]]]",egg_num,num,program,0.0,13.0,-28.81320550444716
28,"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,16.0,-18.07507120907739
29,"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,2.0,-18.075071209077393
30,"[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]",egg_num,num,program,0.0,5.0,-16.060168188535126
31,"[SC,[BB,addnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[K,[subnn,1],1]]",egg_num,num,program,0.0,5.0,-27.02144603521911
32,"[SS,[KB,addnn,[K,[addnn,0],0]],[SC,[BB,addnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[K,[subnn,1],1]]]",egg_num,num,program,0.0,6.0,-37.9827238819031
