,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BC,[K,subnn,2],[S,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,5.0,-10.738134295369774
25,"[BC,[K,subnn,3],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,5.0,-11.654425027243928
26,"[BC,[K,subnn,4],[S,[K,addnn,1],getDot]]",egg_num,num,program,0.0,4.0,-11.654425027243928
27,"[BK,[addnn,0],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,16.0,-10.268130666124039
28,"[BK,[addnn,3],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,15.0,-10.268130666124039
29,"[SK,[B,addnn,[B,getStripe,I]],[B,[subnn,2],getDot]]",egg_num,num,program,0.0,5.0,-10.738134295369772
30,"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,171.0,-6.1737861039019375
31,"[SC,[BK,addnn,[B,[subnn,2],getDot]],[B,getStripe,I]]",egg_num,num,program,0.0,2.0,-11.431281475929719
32,"[SK,[B,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,29.0,-9.862665558015873
33,"[CB,[B,mulnn,[B,[subnn,3],getDot]],[K,[subnn,3],2]]",egg_num,num,program,0.0,1.0,-15.055622408906082
34,"[CB,[B,mulnn,[B,[subnn,3],getDot]],[K,[subnn,4],3]]",egg_num,num,program,0.0,2.0,-15.055622408906082
35,"[SB,[B,subnn,[C,[K,subnn,3],0]],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-15.8133081106036
36,"[BB,[addnn,2],[BK,[subnn,1],getDot]]",egg_num,num,program,0.0,5.0,-11.654425027243928
37,"[SC,[BK,subnn,[S,[K,subnn,4],getDot]],getStripe]",egg_num,num,program,0.0,2.0,-11.431281475929717
38,"[SC,[BK,subnn,[S,[K,subnn,4],getStripe]],getDot]",egg_num,num,program,0.0,2.0,-11.431281475929717
39,"[BC,[B,subnn,[K,[mulnn,3],1]],getDot]",egg_num,num,program,0.0,9.0,-10.961277846683984
40,"[SC,[KK,subnn,3],getDot]",egg_num,num,program,0.0,33.0,-7.560080465021828
