terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[CS,[BB,addnn,[SB,[K,mulnn,1],[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BB,getDot,[BK,I,I]]]]],[K,[mulnn,3],0]]",egg_num,num,program,0.0,6.0,-33.888379319680986
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,47.0,-18.07507120907739
"[SS,[BB,mulnn,[BK,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,16.0,-13.980726646855288
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,223.0,-12.5944322857354
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,216.0,-12.5944322857354
"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,38.0,-13.287579466295345
"[SB,[B,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,53.0,-15.995629667397557
"[SC,[BB,subnn,[CS,[BB,mulnn,[BK,getStripe,I]],[B,I,I]]],[S,[B,mulnn,getStripe],getDot]]",egg_num,num,program,0.0,25.0,-18.545074838323124
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,112.0,-13.287579466295345
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]",egg_num,num,program,0.0,44.0,-13.287579466295345
"[SC,[BB,subnn,[SC,[BK,mulnn,[B,[subnn,4],getStripe]],getStripe]],getDot]",egg_num,num,program,0.0,18.0,-16.6887768479575
"[SB,[K,addnn,0],[SS,[BK,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,29.0,-19.46136557019728
"[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,getDot,I]]",egg_num,num,program,0.0,21.0,-13.980726646855288
"[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,71.0,-12.594432285735396
"[SB,[B,addnn,[B,[subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,26.0,-16.6887768479575
"[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,60.0,-11.901285105175454
"[SS,[KB,addnn,[K,getDot,Egg(S3,O0)]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,5.0,-23.150245024311214
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,30.0,-13.980726646855288
"[BB,[addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,34.0,-18.07507120907739
"[SB,[B,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,[B,[addnn,0],getStripe]],[C,[B,addnn,[B,I,I]],0]]]",egg_num,num,program,0.0,16.0,-24.8774659724017
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[S,[B,mulnn,getDot],getStripe]]",egg_num,num,program,0.0,34.0,-16.46563329664329
"[SB,[B,addnn,[C,[K,subnn,0],0]],[SC,[BB,addnn,[CS,[BB,mulnn,[BK,getStripe,I]],[B,I,I]]],[B,[subnn,0],getDot]]]",egg_num,num,program,0.0,9.0,-29.72949623632132
"[SB,[B,addnn,[S,[K,subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,44.0,-16.6887768479575
"[SC,[BB,subnn,[SB,[K,addnn,0],[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]]],getDot]",egg_num,num,program,0.0,10.0,-23.555710132419385
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[S,[K,addnn,0],[B,I,I]]]],getDot]",egg_num,num,program,0.0,35.0,-17.381924028517446
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]",egg_num,num,program,0.0,55.0,-13.98072664685529
"[SS,[BB,addnn,[BS,[K,mulnn,1],[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]]],[SK,[K,subnn,0],getDot]]",egg_num,num,program,0.0,40.0,-25.635151674099216
"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[SC,[BK,mulnn,getDot],getStripe]]",egg_num,num,program,0.0,8.0,-18.545074838323124
"[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[SB,[B,mulnn,getStripe],[KB,I,I]]]",egg_num,num,program,0.0,17.0,-18.768218389637333
"[SC,[BB,subnn,[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],getStripe]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,18.0,-21.476268590739547
"[BS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,8.0,-16.6887768479575
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,9.0,-16.6887768479575
"[SC,[BB,subnn,[SC,[BK,mulnn,[B,getStripe,I]],[S,[K,subnn,4],getStripe]]],getDot]",egg_num,num,program,0.0,6.0,-18.075071209077397
"[SC,[BB,addnn,[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,getStripe,I]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,17.0,-22.16941577129949
"[SC,[BB,subnn,[BB,[mulnn,1],[CS,[BK,mulnn,getStripe],[B,I,I]]]],getDot]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[SC,[BB,subnn,[CS,[BB,mulnn,[SK,[K,mulnn,1],getStripe]],[B,I,I]]],getDot]",egg_num,num,program,0.0,4.0,-19.46136557019728
"[SC,[BB,subnn,[SS,[KK,mulnn,1],[CB,[B,mulnn,getStripe],[C,[B,addnn,[B,I,I]],0]]]],getDot]",egg_num,num,program,0.0,14.0,-24.24885731297933
"[BS,[K,addnn,0],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,18.0,-18.768218389637333
"[CC,[BB,addnn,[SS,[KB,mulnn,[K,getStripe,Egg(S1,O1)]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]],0]",egg_num,num,program,0.0,9.0,-29.324031128213157
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,95.0,-13.287579466295345
"[BB,[addnn,0],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]]",egg_num,num,program,0.0,3.0,-18.768218389637337
