terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]",egg_num,num,program,0.0,45.0,-7.336936913707618
"[CB,[B,mulnn,[C,[B,addnn,getStripe],0]],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,6.0,-15.52562603815182
"[CB,[B,mulnn,[B,[mulnn,1],getStripe]],[B,I,I]]",egg_num,num,program,0.0,20.0,-10.738134295369772
"[SB,[B,mulnn,getStripe],[SK,[K,subnn,4],getStripe]]",egg_num,num,program,0.0,3.0,-12.124428656489664
"[SS,[BB,mulnn,[KB,[subnn,4],[B,I,I]]],[KC,[B,subnn,[B,I,I]],0]]",egg_num,num,program,0.0,2.0,-19.68450912151149
"[CB,[B,mulnn,[C,[B,subnn,getStripe],0]],[S,[K,mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,3.0,-16.218773218711764
"[CC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],0]",egg_num,num,program,0.0,5.0,-13.510723017609552
"[SC,[BK,mulnn,[B,[subnn,4],getStripe]],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,6.0,-14.609335306277664
"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],[B,getStripe,I]]",egg_num,num,program,0.0,10.0,-11.43128147592972
"[KS,[B,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]",egg_num,num,program,0.0,25.0,-11.43128147592972
"[SS,[BK,mulnn,[S,[K,addnn,0],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-18.07507120907739
"[CS,[BK,mulnn,[B,getStripe,I]],[B,I,I]]",egg_num,num,program,0.0,21.0,-8.030084094267561
"[SB,[B,addnn,getDot],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,3.0,-11.901285105175454
"[SS,[KB,mulnn,[B,I,I]],[BB,getStripe,[BK,I,I]]]",egg_num,num,program,0.0,5.0,-11.49581999706729
"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-14.609335306277664
"[CB,[B,mulnn,[S,[B,addnn,getDot],getStripe]],[B,I,I]]",egg_num,num,program,0.0,19.0,-10.514990744055565
"[KS,[B,mulnn,[B,[addnn,0],[B,I,I]]],[B,[subnn,4],[B,I,I]]]",egg_num,num,program,0.0,10.0,-15.52562603815182
"[BB,[addnn,0],[SC,[BB,mulnn,[KB,I,I]],[B,getStripe,I]]]",egg_num,num,program,0.0,3.0,-14.897017378729444
"[BS,[B,addnn,[K,getDot,Egg(S3,O0)]],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.506455291163544
"[SC,[KB,mulnn,[S,[K,mulnn,1],[B,I,I]]],[B,[mulnn,1],getStripe]]",egg_num,num,program,0.0,3.0,-16.218773218711764
"[CB,[B,mulnn,[B,[addnn,0],getStripe]],[B,[addnn,0],[B,I,I]]]",egg_num,num,program,0.0,8.0,-14.832478857591871
"[SC,[BB,mulnn,[KS,[K,addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,1.0,-13.510723017609552
"[CB,[B,mulnn,[S,[B,addnn,getStripe],getDot]],[B,I,I]]",egg_num,num,program,0.0,8.0,-10.514990744055565
"[CS,[KB,mulnn,[B,I,I]],[S,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,8.0,-12.817575837049608
"[SK,[B,mulnn,getStripe],[S,[K,subnn,4],getStripe]]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[CS,[BB,mulnn,[SK,[B,addnn,getStripe],getDot]],[B,I,I]]",egg_num,num,program,0.0,3.0,-12.594432285735396
"[SC,[KB,mulnn,[B,[addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,11.0,-11.43128147592972
"[SK,[B,mulnn,[B,[subnn,0],getStripe]],[C,[B,subnn,getStripe],4]]",egg_num,num,program,0.0,4.0,-14.832478857591871
"[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[B,getStripe,I]]",egg_num,num,program,0.0,17.0,-11.43128147592972
"[SC,[BB,mulnn,[KB,[addnn,0],[B,I,I]]],[C,[B,subnn,getStripe],0]]",egg_num,num,program,0.0,2.0,-17.605067579831655
"[SC,[KB,mulnn,[B,I,I]],[S,[B,addnn,getDot],getStripe]]",egg_num,num,program,0.0,3.0,-11.208137924615508
"[SC,[BB,addnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,3.0,-12.594432285735396
"[SC,[KB,mulnn,[S,[K,mulnn,1],[B,I,I]]],getStripe]",egg_num,num,program,0.0,7.0,-12.124428656489664
"[SK,[B,mulnn,[B,[subnn,4],getStripe]],[B,getStripe,I]]",egg_num,num,program,0.0,10.0,-10.738134295369772
"[SS,[BK,mulnn,getStripe],[KB,I,I]]",egg_num,num,program,0.0,14.0,-8.723231274827508
"[SS,[KB,mulnn,[B,[mulnn,1],[B,I,I]]],[CC,[BK,addnn,getStripe],0]]",egg_num,num,program,0.0,2.0,-18.2982147603916
"[BS,[B,mulnn,[B,[addnn,0],[B,I,I]]],[BK,getStripe,I]]",egg_num,num,program,0.0,6.0,-12.124428656489664
"[SB,[B,addnn,[S,[K,mulnn,3],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,1.0,-16.6887768479575
"[SC,[KB,mulnn,[C,[B,addnn,[B,I,I]],0]],getStripe]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[BS,[B,mulnn,[B,I,I]],[BB,getStripe,[BK,I,I]]]",egg_num,num,program,0.0,13.0,-10.802672816507345
"[SB,[B,mulnn,[B,getStripe,I]],[KB,I,I]]",egg_num,num,program,0.0,20.0,-8.723231274827508
"[SK,[B,mulnn,[B,[subnn,4],getStripe]],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,6.0,-13.916188125717715
"[CB,[B,mulnn,getStripe],[C,[B,mulnn,[B,I,I]],1]]",egg_num,num,program,0.0,8.0,-11.43128147592972
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,2.0,-17.381924028517446
"[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],getStripe]",egg_num,num,program,0.0,7.0,-11.43128147592972
"[CS,[BB,mulnn,[BK,getStripe,I]],[B,I,I]]",egg_num,num,program,0.0,16.0,-8.723231274827508
"[SC,[KB,mulnn,[B,I,I]],[S,[K,addnn,0],getStripe]]",egg_num,num,program,0.0,4.0,-12.124428656489664
"[CB,[B,mulnn,getStripe],[B,I,I]]",egg_num,num,program,0.0,206.0,-6.643789733147672
"[CS,[BK,mulnn,getStripe],[B,I,I]]",egg_num,num,program,0.0,107.0,-7.336936913707618
"[SC,[KB,mulnn,[B,I,I]],getStripe]",egg_num,num,program,0.0,84.0,-7.336936913707618
"[BC,[B,mulnn,[B,I,I]],getStripe]",egg_num,num,program,0.0,255.0,-6.643789733147672
"[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-11.901285105175454
