terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,74.0,-13.287579466295345
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[CB,[K,addnn,0],[B,I,I]]]],getDot]",egg_num,num,program,0.0,3.0,-18.768218389637333
"[SS,[BB,subnn,[SC,[BK,mulnn,getStripe],[B,[subnn,4],getStripe]]],[CC,[BK,subnn,getDot],0]]",egg_num,num,program,0.0,4.0,-23.555710132419375
"[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]]",egg_num,num,program,0.0,18.0,-18.768218389637337
"[SC,[BB,subnn,[CS,[BK,mulnn,[B,getStripe,I]],[B,I,I]]],getDot]",egg_num,num,program,0.0,11.0,-13.980726646855288
"[SC,[BB,subnn,[SS,[BK,addnn,getDot],[CB,[B,mulnn,getStripe],[S,[K,addnn,0],[B,I,I]]]]],[S,[K,mulnn,2],getDot]]",egg_num,num,program,0.0,4.0,-28.120058323887218
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,273.0,-12.594432285735396
"[SC,[BB,subnn,[KS,[B,mulnn,[S,[K,subnn,4],[B,I,I]]],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],getDot]",egg_num,num,program,0.0,125.0,-13.980726646855288
"[BB,[mulnn,1],[SS,[KK,mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]]]",egg_num,num,program,0.0,2.0,-25.63515167409922
"[BS,[B,addnn,[K,getDot,Egg(S1,O0)]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,4.0,-21.763950663191327
"[SC,[BB,addnn,[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],getDot]],[B,[mulnn,0],getDot]]",egg_num,num,program,0.0,3.0,-24.025713761665116
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,42.0,-13.980726646855288
"[SC,[BB,subnn,[SK,[B,mulnn,[S,[K,subnn,4],getStripe]],getStripe]],getDot]",egg_num,num,program,0.0,9.0,-16.6887768479575
"[BS,[K,addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]",egg_num,num,program,0.0,3.0,-18.768218389637333
"[SC,[BB,subnn,[CS,[BK,mulnn,[B,getStripe,I]],[B,I,I]]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,9.0,-18.075071209077382
"[SS,[BB,addnn,[SS,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[CC,[BK,subnn,getDot],0]]],[KC,[K,mulnn,0],0]]",egg_num,num,program,0.0,2.0,-33.888379319680986
"[SC,[BB,subnn,[KS,[B,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]],getDot]",egg_num,num,program,0.0,16.0,-17.381924028517446
"[SS,[BK,addnn,[K,[addnn,0],0]],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]]",egg_num,num,program,0.0,3.0,-24.942004493539272
"[BB,[addnn,0],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,17.0,-18.07507120907739
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[S,[K,mulnn,1],getStripe]]],getDot]",egg_num,num,program,0.0,23.0,-17.381924028517446
"[BS,[K,addnn,0],[BB,[subnn,0],[SB,[B,subnn,getDot],[KS,[B,mulnn,[S,[K,subnn,4],[B,I,I]]],[B,I,I]]]]]",egg_num,num,program,0.0,3.0,-29.036349055761374
"[SB,[B,addnn,[B,[mulnn,0],getDot]],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BK,getDot,I]]]",egg_num,num,program,0.0,8.0,-23.33256658110517
"[SC,[BB,subnn,[SC,[BK,mulnn,[B,getStripe,I]],[S,[K,subnn,4],getStripe]]],[B,getDot,I]]",egg_num,num,program,0.0,35.0,-18.768218389637337
"[SB,[B,addnn,[B,[mulnn,0],getDot]],[SC,[BB,subnn,[SS,[KB,mulnn,[B,I,I]],[BK,getStripe,I]]],[B,getDot,I]]]",egg_num,num,program,0.0,5.0,-24.71886094222506
"[SS,[KB,mulnn,[K,[subnn,4],3]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]]",egg_num,num,program,0.0,5.0,-24.24885731297933
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,189.0,-12.5944322857354
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,121.0,-13.287579466295345
"[BB,[addnn,0],[SC,[BB,mulnn,[BB,[mulnn,1],[SC,[BB,subnn,[SB,[B,mulnn,[B,getStripe,I]],[KB,I,I]]],[B,getDot,I]]]],[K,[mulnn,1],1]]]",egg_num,num,program,0.0,6.0,-37.28957670134314
"[SC,[BB,subnn,[CS,[BB,mulnn,[CC,[BK,subnn,getStripe],0]],[B,I,I]]],getDot]",egg_num,num,program,0.0,5.0,-20.154512750757227
"[SB,[B,addnn,[K,[subnn,1],1]],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,4.0,-23.55571013241938
"[SC,[BB,subnn,[SK,[B,mulnn,getStripe],[S,[K,subnn,4],getStripe]]],[B,getDot,I]]",egg_num,num,program,0.0,20.0,-17.381924028517442
"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[SK,[K,addnn,0],getDot]]",egg_num,num,program,0.0,5.0,-18.768218389637333
"[BB,[mulnn,1],[SB,[B,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]]",egg_num,num,program,0.0,16.0,-21.476268590739547
"[CC,[BB,addnn,[SC,[BB,subnn,[SS,[KB,mulnn,[B,I,I]],[BK,getStripe,I]]],[B,getDot,I]]],0]",egg_num,num,program,0.0,5.0,-22.233954292437065
"[SS,[BK,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,18.0,-16.6887768479575
"[SC,[BB,subnn,[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]],[B,getDot,I]]",egg_num,num,program,0.0,24.0,-14.673873827415235
"[CS,[BB,mulnn,[SS,[KB,addnn,[K,getDot,Egg(S2,O0)]],[SS,[KK,mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,[B,getStripe,I]],[B,I,I]]],[B,getDot,I]]]]],[K,[subnn,3],2]]",egg_num,num,program,0.0,4.0,-41.67160333601703
"[SC,[BB,addnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,7.0,-16.6887768479575
