terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[CB,[B,mulnn,getDot],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,11.0,-10.738134295369772
"[SB,[B,mulnn,[B,[mulnn,1],getDot]],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-16.218773218711764
"[SC,[BK,mulnn,getDot],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-10.738134295369772
"[BC,[B,mulnn,[S,[K,subnn,3],[B,I,I]]],getDot]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SB,[B,mulnn,[S,[K,subnn,3],getDot]],[BK,getDot,I]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[SB,[B,subnn,[S,[B,mulnn,getStripe],getDot]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-15.302482486837608
"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[BS,[B,mulnn,[B,[subnn,3],[B,I,I]]],[KB,I,I]]",egg_num,num,program,0.0,3.0,-12.81757583704961
"[SK,[B,mulnn,[S,[K,addnn,0],getDot]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-15.52562603815182
"[SC,[BK,mulnn,[B,[subnn,0],getDot]],[C,[B,subnn,getDot],3]]",egg_num,num,program,0.0,1.0,-15.52562603815182
"[KS,[B,mulnn,[S,[K,subnn,3],[B,I,I]]],[B,[addnn,0],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[SC,[KB,mulnn,[S,[K,subnn,3],[B,I,I]]],getDot]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[SK,[B,subnn,[S,[B,mulnn,getDot],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-10.514990744055565
"[SB,[B,mulnn,[B,getDot,I]],[BC,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[SK,[B,mulnn,[B,[subnn,3],getDot]],getDot]",egg_num,num,program,0.0,10.0,-10.044987114809828
"[SK,[B,mulnn,[B,getDot,I]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-10.738134295369772
"[SC,[BB,mulnn,[BS,[K,subnn,3],[KB,I,I]]],getDot]",egg_num,num,program,0.0,1.0,-14.897017378729444
"[SC,[KB,mulnn,[B,I,I]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SS,[BK,mulnn,[S,[K,subnn,3],getDot]],[KS,[K,mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,2.0,-18.2982147603916
"[CB,[B,mulnn,[S,[K,subnn,3],getDot]],[C,[B,subnn,[B,I,I]],0]]",egg_num,num,program,0.0,4.0,-16.218773218711764
"[SK,[B,mulnn,[B,[mulnn,1],getDot]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-14.139331677031928
"[SK,[B,mulnn,getDot],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,10.0,-10.044987114809828
"[CS,[BB,mulnn,[BC,[K,subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,1.0,-13.510723017609552
"[SC,[BK,mulnn,[C,[B,subnn,getStripe],1]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[BC,[B,mulnn,[C,[B,subnn,[B,I,I]],0]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[CB,[B,mulnn,[B,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[SC,[BK,subnn,[B,[mulnn,3],getDot]],[S,[B,mulnn,getDot],getDot]]",egg_num,num,program,0.0,2.0,-14.609335306277664
"[CB,[B,mulnn,[B,[subnn,3],getDot]],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[KS,[B,mulnn,[B,[subnn,3],[B,I,I]]],[B,[addnn,0],[B,I,I]]]",egg_num,num,program,0.0,2.0,-15.52562603815182
"[SS,[BK,mulnn,[B,[subnn,3],getDot]],[KB,I,I]]",egg_num,num,program,0.0,2.0,-12.81757583704961
"[BC,[B,mulnn,[B,I,I]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SC,[KB,mulnn,[B,[addnn,0],[B,I,I]]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-15.52562603815182
"[SK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],[B,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-13.916188125717715
"[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[CC,[KB,addnn,[B,I,I]],0]]",egg_num,num,program,0.0,2.0,-20.154512750757227
"[CB,[B,mulnn,[S,[K,subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[SC,[BB,mulnn,[BC,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SB,[B,mulnn,[S,[K,subnn,3],getDot]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[SK,[B,mulnn,[C,[B,subnn,getStripe],1]],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,2.0,-15.52562603815182
"[BC,[B,mulnn,[B,I,I]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,9.0,-10.738134295369772
"[SB,[B,mulnn,[B,[mulnn,1],getDot]],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-15.52562603815182
"[BC,[B,mulnn,[S,[K,subnn,3],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[BS,[B,mulnn,[B,I,I]],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[SK,[B,mulnn,[C,[B,subnn,getStripe],4]],[B,[subnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[CS,[BK,mulnn,[B,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,4.0,-12.124428656489664
"[SC,[BK,subnn,[S,[B,mulnn,getDot],getStripe]],getDot]",egg_num,num,program,0.0,1.0,-10.514990744055565
"[CB,[B,mulnn,[B,[subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,8.0,-10.738134295369772
"[CB,[B,mulnn,[S,[K,subnn,4],getStripe]],[S,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,2.0,-16.218773218711764
"[CS,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,I,I]]",egg_num,num,program,0.0,1.0,-13.980726646855288
