terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[BB,[addnn,0],[SS,[BB,mulnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[KK,getStripe,Egg(S1,O3)]]]",egg_num,num,program,0.0,8.0,-32.09661985045293
"[SB,[K,addnn,0],[SS,[BB,addnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[SK,[K,subnn,0],getDot]]]",egg_num,num,program,0.0,3.0,-25.635151674099216
"[SS,[BK,addnn,[B,[mulnn,0],getDot]],[BS,[B,addnn,[K,[addnn,0],0]],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]]",egg_num,num,program,0.0,4.0,-33.600697247229206
"[BB,[addnn,0],[SS,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[BK,[mulnn,1],getDot]]]",egg_num,num,program,0.0,5.0,-24.942004493539272
"[BS,[K,mulnn,1],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[C,[B,addnn,getDot],0]]]",egg_num,num,program,0.0,14.0,-24.94200449353927
"[SC,[BB,subnn,[BS,[B,addnn,[B,I,I]],[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,9.0,-28.12005832388722
"[BB,[mulnn,1],[SB,[B,mulnn,[C,[K,addnn,0],1]],[SB,[B,addnn,[S,[K,subnn,0],getDot]],[SC,[BB,mulnn,[KB,I,I]],getStripe]]]]",egg_num,num,program,0.0,12.0,-35.21013515966331
"[CS,[BB,mulnn,[SB,[K,addnn,0],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]],[K,getStripe,Egg(S1,O0)]]",egg_num,num,program,0.0,7.0,-28.630883947653203
"[SB,[K,addnn,0],[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,getDot,I]]]",egg_num,num,program,0.0,13.0,-20.154512750757224
"[CC,[BB,subnn,[SC,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[B,[mulnn,1],getDot]]],0]",egg_num,num,program,0.0,2.0,-25.63515167409922
"[SS,[KK,subnn,2],[SS,[KK,subnn,2],[BS,[K,mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]]]",egg_num,num,program,0.0,1.0,-33.888379319680986
"[BS,[K,addnn,0],[SB,[B,addnn,[S,[K,subnn,0],getDot]],[SC,[KB,mulnn,[B,I,I]],getStripe]]]",egg_num,num,program,0.0,8.0,-23.55571013241938
"[SS,[KB,addnn,[K,getDot,Egg(S1,O0)]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,10.0,-23.150245024311214
"[SB,[B,addnn,[S,[B,subnn,getStripe],getStripe]],[SB,[K,mulnn,1],[SS,[KK,subnn,2],[SS,[KK,subnn,2],[BS,[K,mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]]]]]",egg_num,num,program,0.0,4.0,-49.1908618065186
"[CC,[BB,mulnn,[SB,[K,addnn,0],[SS,[BK,addnn,[C,[K,mulnn,4],0]],[BB,[mulnn,1],[SB,[B,addnn,[S,[B,subnn,getStripe],getStripe]],[SB,[K,mulnn,1],[SS,[KK,subnn,2],[SS,[KK,subnn,2],[BS,[K,mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]]]]]]]]],1]",egg_num,num,program,0.0,6.0,-79.36664514546833
"[SC,[BB,addnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]],[K,[subnn,4],4]]",egg_num,num,program,0.0,9.0,-23.555710132419375
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,6.0,-18.768218389637333
"[BB,[addnn,0],[SS,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[BK,getDot,I]]]",egg_num,num,program,0.0,7.0,-20.154512750757227
"[BS,[B,mulnn,[C,[K,subnn,4],3]],[SC,[BB,addnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]],[K,[subnn,4],4]]]",egg_num,num,program,0.0,6.0,-34.51698797910336
"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,7.0,-13.287579466295345
"[SC,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],getDot]",egg_num,num,program,0.0,4.0,-14.673873827415235
"[SS,[BB,subnn,[CC,[BB,mulnn,[BB,[mulnn,1],[SB,[B,addnn,[K,[subnn,1],1]],[BS,[B,mulnn,[C,[K,subnn,4],3]],[SC,[BB,addnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]],[K,[subnn,4],4]]]]]],1]],[CK,[K,mulnn,2],0]]",egg_num,num,program,0.0,7.0,-70.17341024139509
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,3.0,-13.287579466295345
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,5.0,-12.594432285735396
"[BB,[subnn,2],[SB,[K,subnn,2],[SB,[K,addnn,0],[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,getDot,I]]]]]",egg_num,num,program,0.0,7.0,-31.80893777800115
"[SS,[BK,mulnn,[K,getDot,Egg(S3,O1)]],[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,[addnn,0],getDot]]]",egg_num,num,program,0.0,8.0,-27.937736767093263
"[BB,[addnn,0],[SC,[BB,subnn,[BS,[B,mulnn,[K,getStripe,Egg(S1,O0)]],[BB,[mulnn,1],[BB,[addnn,0],[SS,[BB,mulnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[KK,getStripe,Egg(S1,O3)]]]]]],[B,[mulnn,0],getDot]]]",egg_num,num,program,0.0,7.0,-62.272403189402674
"[BB,[addnn,0],[SB,[B,mulnn,[K,getStripe,Egg(S1,O0)]],[SS,[KK,addnn,0],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BC,[K,mulnn,1],getDot]]]]]",egg_num,num,program,0.0,1.0,-40.28530897489714
"[SS,[BK,addnn,[B,[subnn,0],getDot]],[SC,[KB,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,2.0,-17.381924028517446
"[BB,[addnn,0],[BB,[addnn,0],[BB,[addnn,0],[SS,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[CK,[B,addnn,getDot],0]]]]]",egg_num,num,program,0.0,3.0,-36.5964295207832
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,1.0,-17.381924028517446
