terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[BC,[K,subnn,3],getDot]",egg_num,num,program,0.0,162.0,-6.866933284461883
"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,256.0,-6.1737861039019375
"[SC,[KK,subnn,3],getDot]",egg_num,num,program,0.0,94.0,-7.560080465021828
"[BB,[subnn,1],[CK,[B,subnn,getDot],2]]",egg_num,num,program,0.0,2.0,-12.347572207803877
"[SK,[B,mulnn,[K,getStripe,Egg(S1,O1)]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-13.957010120237976
"[CC,[BK,subnn,[B,[subnn,3],getDot]],0]",egg_num,num,program,0.0,9.0,-11.654425027243928
"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],getStripe]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[BK,[subnn,3],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,17.0,-10.26813066612404
"[BS,[K,addnn,0],[SK,[B,subnn,[B,[addnn,2],getStripe]],getDot]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[BB,[mulnn,1],[SC,[KK,subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-13.04071938836382
"[CK,[B,mulnn,[B,[subnn,3],getDot]],1]",egg_num,num,program,0.0,9.0,-10.961277846683982
"[BS,[K,addnn,1],[SK,[K,subnn,2],getDot]]",egg_num,num,program,0.0,3.0,-13.04071938836382
"[SB,[K,subnn,3],[BK,getDot,I]]",egg_num,num,program,0.0,7.0,-8.253227645581774
"[SK,[B,subnn,getStripe],[C,[B,subnn,getDot],2]]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[BB,[addnn,1],[BK,[subnn,2],getDot]]",egg_num,num,program,0.0,3.0,-11.654425027243928
"[BC,[B,subnn,[C,[K,subnn,4],2]],[S,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,3.0,-15.52562603815182
"[SC,[BK,subnn,[K,[subnn,4],1]],getDot]",egg_num,num,program,0.0,5.0,-11.654425027243928
"[BC,[B,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,84.0,-6.643789733147672
"[BC,[K,addnn,1],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,4.0,-11.654425027243928
"[SK,[B,subnn,[S,[K,subnn,4],getStripe]],getDot]",egg_num,num,program,0.0,6.0,-10.738134295369772
"[BK,[mulnn,1],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,14.0,-10.961277846683984
"[BK,[subnn,3],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,7.0,-10.961277846683984
"[BK,[addnn,0],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,8.0,-10.26813066612404
"[BK,[subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,69.0,-6.866933284461883
"[SS,[KK,mulnn,1],[BC,[K,subnn,3],getDot]]",egg_num,num,program,0.0,4.0,-13.733866568923764
"[BB,[subnn,3],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,6.0,-10.33266918726161
"[BS,[K,subnn,3],[SK,[K,addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-13.04071938836382
"[SK,[K,subnn,3],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,17.0,-10.961277846683984
"[SK,[K,subnn,4],[B,[addnn,1],getDot]]",egg_num,num,program,0.0,12.0,-10.961277846683984
"[BC,[B,subnn,[K,[addnn,1],2]],getDot]",egg_num,num,program,0.0,9.0,-10.961277846683984
"[SC,[KB,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,45.0,-7.336936913707618
"[SK,[B,subnn,[K,[mulnn,3],1]],[B,getDot,I]]",egg_num,num,program,0.0,9.0,-11.654425027243928
"[BC,[B,subnn,[K,[addnn,0],3]],getDot]",egg_num,num,program,0.0,5.0,-10.961277846683984
"[BC,[K,subnn,4],[B,[addnn,1],getDot]]",egg_num,num,program,0.0,10.0,-10.961277846683984
"[SB,[B,mulnn,getStripe],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SK,[B,subnn,[K,getDot,Egg(S1,O3)]],[B,getDot,I]]",egg_num,num,program,0.0,10.0,-10.555812738575815
"[SK,[K,subnn,3],getDot]",egg_num,num,program,0.0,164.0,-6.866933284461883
"[SK,[B,subnn,[B,[subnn,2],getDot]],[B,[subnn,0],getStripe]]",egg_num,num,program,0.0,2.0,-14.139331677031928
"[SK,[K,subnn,3],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[BS,[K,subnn,4],[BK,[addnn,1],getDot]]",egg_num,num,program,0.0,1.0,-12.347572207803877
"[CB,[B,addnn,[B,[subnn,0],getDot]],[B,I,I]]",egg_num,num,program,0.0,5.0,-10.738134295369772
"[SC,[BK,mulnn,getStripe],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-10.738134295369772
"[BC,[B,subnn,[B,I,I]],[B,getDot,I]]",egg_num,num,program,0.0,24.0,-7.336936913707618
"[BS,[B,subnn,[C,[B,mulnn,[B,I,I]],1]],[BK,getDot,I]]",egg_num,num,program,0.0,2.0,-12.817575837049608
"[CB,[B,mulnn,[S,[K,subnn,3],getDot]],[C,[K,subnn,3],2]]",egg_num,num,program,0.0,2.0,-16.441916770025973
"[BB,[addnn,0],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.347572207803877
"[BC,[B,subnn,[C,[B,subnn,[B,I,I]],0]],getDot]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[BK,[addnn,2],[B,[subnn,1],getDot]]",egg_num,num,program,0.0,13.0,-10.26813066612404
"[CB,[B,mulnn,[S,[K,subnn,3],getDot]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,2.0,-14.650157300797918
"[BC,[K,subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,24.0,-7.560080465021828
"[SK,[B,subnn,[K,[mulnn,1],3]],getDot]",egg_num,num,program,0.0,6.0,-10.961277846683984
"[BK,[subnn,4],[S,[B,addnn,getStripe],getDot]]",egg_num,num,program,0.0,9.0,-10.044987114809828
"[SC,[BK,mulnn,[B,getStripe,I]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[SK,[K,subnn,3],[S,[B,mulnn,getDot],getStripe]]",egg_num,num,program,0.0,6.0,-10.738134295369774
"[BB,[subnn,3],[BK,getDot,I]]",egg_num,num,program,0.0,36.0,-7.560080465021828
"[BC,[B,subnn,[B,I,I]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,1.0,-11.43128147592972
"[CS,[BK,addnn,[S,[B,subnn,getStripe],getDot]],[K,getDot,Egg(S1,O2)]]",egg_num,num,program,0.0,1.0,-14.427013749483708
"[SS,[BK,subnn,[K,[addnn,3],0]],[BK,getDot,I]]",egg_num,num,program,0.0,1.0,-13.04071938836382
"[BK,[mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,22.0,-10.26813066612404
"[SC,[BK,subnn,[C,[K,subnn,3],0]],[C,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,4.0,-17.13506395058592
"[SC,[KB,subnn,[K,[subnn,4],1]],getDot]",egg_num,num,program,0.0,5.0,-11.654425027243928
