terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[CC,[BB,addnn,[SS,[BB,mulnn,[BK,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]],0]",egg_num,num,program,0.0,10.0,-20.84765993131717
"[SB,[B,mulnn,[K,[subnn,2],1]],[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,5.0,-22.86256295185944
"[SC,[BB,mulnn,[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,3.0,-21.763950663191324
"[BS,[B,mulnn,[K,getDot,Egg(S1,O1)]],[SB,[B,mulnn,getStripe],[SK,[B,subnn,[S,[K,subnn,4],getStripe]],getDot]]]",egg_num,num,program,0.0,7.0,-25.16514804485348
"[SB,[K,mulnn,1],[SS,[BB,mulnn,[BC,[K,mulnn,1],getStripe]],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,8.0,-24.942004493539272
"[SS,[BK,mulnn,[K,[mulnn,1],1]],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,7.0,-22.86256295185944
"[BS,[B,mulnn,[K,getDot,Egg(S1,O1)]],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,15.0,-21.07080348263138
"[SB,[B,mulnn,[B,getStripe,I]],[BK,[subnn,4],[S,[B,addnn,getStripe],getDot]]]",egg_num,num,program,0.0,33.0,-15.995629667397557
"[SS,[BK,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],[B,[addnn,0],getDot]]]",egg_num,num,program,0.0,2.0,-17.381924028517446
"[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,72.0,-12.594432285735396
"[SB,[K,mulnn,1],[SB,[K,addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],[B,getDot,I]]],getStripe]]]",egg_num,num,program,0.0,5.0,-25.635151674099216
"[BB,[addnn,0],[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,7.0,-18.07507120907739
"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,133.0,-12.594432285735396
"[CC,[BB,subnn,[SB,[B,mulnn,[K,getStripe,Egg(S1,O1)]],[SS,[BK,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],[B,getDot,I]]]]],0]",egg_num,num,program,0.0,4.0,-30.0171783087731
"[SB,[B,mulnn,getStripe],[SB,[K,addnn,0],[SK,[B,subnn,[B,[subnn,4],getStripe]],getDot]]]",egg_num,num,program,0.0,4.0,-21.476268590739544
"[SB,[K,mulnn,1],[SB,[B,mulnn,getStripe],[SS,[KK,addnn,0],[SC,[KB,subnn,[B,I,I]],getDot]]]]",egg_num,num,program,0.0,8.0,-25.635151674099216
"[BB,[mulnn,1],[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,2.0,-18.07507120907739
"[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,263.0,-11.901285105175454
"[BB,[mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]",egg_num,num,program,0.0,20.0,-18.07507120907739
"[SC,[BB,subnn,[SS,[BK,mulnn,[K,getStripe,Egg(S1,O3)]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]],[K,getDot,Egg(S2,O0)]]",egg_num,num,program,0.0,4.0,-32.31976340176714
"[BB,[addnn,0],[SS,[KK,addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],[S,[B,mulnn,getDot],getStripe]]],getStripe]]]",egg_num,num,program,0.0,10.0,-28.813205504447165
"[SC,[BB,mulnn,[SS,[KB,addnn,[K,getDot,Egg(S1,O0)]],[SB,[B,mulnn,[B,getStripe,I]],[SC,[KB,subnn,[B,I,I]],getDot]]]],[K,getStripe,Egg(S1,O2)]]",egg_num,num,program,0.0,16.0,-33.01291058232709
"[SS,[BK,mulnn,[S,[K,addnn,0],getStripe]],[SC,[KB,subnn,[B,I,I]],[B,getDot,I]]]",egg_num,num,program,0.0,3.0,-18.768218389637333
"[BS,[K,addnn,0],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,58.0,-18.07507120907739
"[SC,[BB,mulnn,[SB,[B,subnn,[B,[subnn,4],getStripe]],[BK,getDot,I]]],[B,getStripe,I]]",egg_num,num,program,0.0,19.0,-18.075071209077382
"[BB,[addnn,0],[SB,[B,mulnn,getStripe],[BK,[subnn,4],[S,[B,addnn,getStripe],getDot]]]]",egg_num,num,program,0.0,7.0,-20.783121410179604
"[SC,[BB,mulnn,[SS,[KB,addnn,[K,getDot,Egg(S1,O0)]],[SB,[B,mulnn,[B,getStripe,I]],[SC,[KB,subnn,[B,I,I]],getDot]]]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,7.0,-33.01291058232709
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,46.0,-13.287579466295345
"[BB,[mulnn,1],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,48.0,-17.381924028517446
"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],[B,getDot,I]]],[S,[K,addnn,0],getStripe]]",egg_num,num,program,0.0,8.0,-18.075071209077382
"[BB,[addnn,0],[BS,[K,mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]]",egg_num,num,program,0.0,4.0,-24.248857312979325
"[BB,[mulnn,1],[SS,[BK,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]]",egg_num,num,program,0.0,4.0,-22.16941577129949
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]],[K,[addnn,0],0]]",egg_num,num,program,0.0,2.0,-22.862562951859434
"[BS,[K,addnn,0],[BB,[addnn,0],[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]]]",egg_num,num,program,0.0,14.0,-24.248857312979325
"[BS,[K,mulnn,1],[SS,[BK,mulnn,getStripe],[SC,[KK,subnn,4],[S,[B,addnn,getStripe],getDot]]]]",egg_num,num,program,0.0,5.0,-23.55571013241938
"[SB,[K,mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]]",egg_num,num,program,0.0,3.0,-19.46136557019728
"[BS,[K,addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,16.0,-18.768218389637333
"[SC,[BB,mulnn,[CS,[BK,subnn,getDot],[B,I,I]]],[B,[subnn,0],getStripe]]",egg_num,num,program,0.0,5.0,-17.381924028517446
