terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[BB,[addnn,0],[SS,[BK,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,3.0,-18.768218389637337
"[SB,[B,mulnn,[B,[mulnn,1],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-16.6887768479575
"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,9.0,-12.594432285735396
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,1075.0,-12.5944322857354
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,801.0,-12.5944322857354
"[BB,[addnn,0],[BB,[addnn,0],[SC,[BB,addnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[B,[subnn,0],getDot]]]]",egg_num,num,program,0.0,1.0,-28.343201875201427
"[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,8.0,-11.901285105175454
"[SC,[BB,subnn,[CS,[BK,mulnn,[C,[B,mulnn,getStripe],1]],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-18.768218389637337
"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,494.0,-13.287579466295345
"[SB,[B,mulnn,[K,[subnn,1],0]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],getDot]]",egg_num,num,program,0.0,1.0,-24.248857312979325
"[SC,[BB,subnn,[BB,[mulnn,1],[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]]],getDot]",egg_num,num,program,0.0,4.0,-19.46136557019728
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,12.0,-13.980726646855288
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,329.0,-13.287579466295345
"[SB,[B,mulnn,[K,getStripe,Egg(S1,O2)]],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,1.0,-23.15024502431121
"[SC,[BB,subnn,[SB,[B,mulnn,[B,getStripe,I]],[KB,I,I]]],getDot]",egg_num,num,program,0.0,1.0,-14.673873827415235
"[SS,[BK,addnn,[B,[subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-17.381924028517446
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,15.0,-13.287579466295345
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[S,[B,mulnn,getDot],getStripe]]",egg_num,num,program,0.0,9.0,-16.46563329664329
"[SC,[BB,subnn,[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],getStripe]],getDot]",egg_num,num,program,0.0,3.0,-16.6887768479575
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-17.381924028517446
"[SS,[BB,subnn,[CB,[B,mulnn,[C,[B,addnn,getStripe],0]],[B,I,I]]],[BK,[addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-22.86256295185944
"[SB,[B,mulnn,[K,getStripe,Egg(S1,O3)]],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,1.0,-23.15024502431121
"[SB,[B,mulnn,getStripe],[SC,[BB,subnn,[KB,I,I]],getDot]]",egg_num,num,program,0.0,7.0,-13.980726646855288
"[BB,[addnn,0],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,4.0,-19.46136557019728
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],[C,[B,subnn,getStripe],0]]],[B,getDot,I]]",egg_num,num,program,0.0,4.0,-18.768218389637337
"[SS,[BB,addnn,[BC,[K,subnn,0],getDot]],[SC,[KB,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,4.0,-19.46136557019728
"[BB,[addnn,0],[SB,[B,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]]",egg_num,num,program,0.0,2.0,-21.476268590739547
"[BB,[mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,[addnn,0],[B,I,I]]]],getDot]",egg_num,num,program,0.0,2.0,-18.075071209077397
"[BS,[K,mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,[B,getStripe,I]],[B,I,I]]],getDot]]",egg_num,num,program,0.0,2.0,-19.46136557019728
"[SB,[B,mulnn,[B,[subnn,0],getStripe]],[CB,[B,subnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.995629667397557
"[BB,[addnn,0],[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,1.0,-18.075071209077382
"[SS,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[BK,[addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-18.768218389637333
"[SS,[BK,addnn,[S,[K,mulnn,0],getStripe]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,1.0,-23.33256658110517
"[SB,[B,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[B,getStripe,I]]]",egg_num,num,program,0.0,3.0,-20.783121410179604
"[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,7.0,-12.594432285735396
"[SB,[K,addnn,0],[SC,[BB,subnn,[SC,[KB,mulnn,[B,[addnn,0],[B,I,I]]],getStripe]],getDot]]",egg_num,num,program,0.0,1.0,-23.55571013241938
"[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,7.0,-12.594432285735396
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-16.6887768479575
"[CS,[BB,mulnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,getDot,I]]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,2.0,-23.15024502431121
"[CS,[BB,subnn,[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]],[K,[subnn,4],4]]",egg_num,num,program,0.0,2.0,-23.555710132419375
"[SS,[BB,subnn,[SC,[BB,subnn,[CB,[B,mulnn,[B,[mulnn,1],getStripe]],[B,I,I]]],getDot]],[KK,getDot,Egg(S2,O0)]]",egg_num,num,program,0.0,2.0,-27.24458958653332
