terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[CB,[B,mulnn,getStripe],[B,I,I]]",egg_num,num,program,0.0,895.0,-6.643789733147672
"[CS,[BK,mulnn,getStripe],[B,I,I]]",egg_num,num,program,0.0,477.0,-7.336936913707618
"[SC,[KB,mulnn,[B,I,I]],getStripe]",egg_num,num,program,0.0,513.0,-7.336936913707618
"[BC,[B,mulnn,[B,I,I]],getStripe]",egg_num,num,program,0.0,807.0,-6.643789733147672
"[CB,[B,mulnn,[S,[B,subnn,getStripe],getDot]],[B,I,I]]",egg_num,num,program,0.0,6.0,-10.514990744055565
"[SC,[KB,mulnn,[B,I,I]],[S,[K,mulnn,1],getStripe]]",egg_num,num,program,0.0,4.0,-12.124428656489664
"[BC,[B,mulnn,[B,I,I]],[S,[K,mulnn,1],getStripe]]",egg_num,num,program,0.0,4.0,-11.43128147592972
"[KS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.52562603815182
"[SS,[KB,mulnn,[B,I,I]],[BK,getStripe,I]]",egg_num,num,program,0.0,1.0,-8.723231274827508
"[BS,[B,mulnn,[B,I,I]],[KS,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609552
"[CB,[B,mulnn,[B,[mulnn,1],getStripe]],[B,I,I]]",egg_num,num,program,0.0,5.0,-10.738134295369772
"[CS,[BK,mulnn,[S,[K,addnn,0],getStripe]],[B,I,I]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[CS,[KB,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]",egg_num,num,program,0.0,5.0,-12.124428656489664
"[SC,[KB,mulnn,[B,[addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SK,[B,mulnn,[B,getStripe,I]],[B,[subnn,4],getStripe]]",egg_num,num,program,0.0,3.0,-10.738134295369772
"[SB,[B,mulnn,[B,[subnn,4],getStripe]],[BK,getStripe,I]]",egg_num,num,program,0.0,2.0,-11.431281475929715
"[CS,[BK,mulnn,[S,[K,mulnn,1],getStripe]],[B,I,I]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[SC,[BB,mulnn,[KB,[subnn,0],[B,I,I]]],[S,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,1.0,-16.6887768479575
"[BC,[B,mulnn,[S,[K,addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[SB,[B,mulnn,[B,[addnn,0],getStripe]],[KB,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[BS,[B,mulnn,[B,I,I]],[SK,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,3.0,-11.901285105175454
"[CB,[B,mulnn,getStripe],[S,[K,mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SS,[BK,addnn,getDot],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,1.0,-12.594432285735396
"[CS,[KB,mulnn,[B,I,I]],[S,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[SB,[B,addnn,[K,[addnn,0],0]],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,2.0,-17.605067579831655
"[SC,[BK,mulnn,[B,[subnn,4],getStripe]],getStripe]",egg_num,num,program,0.0,1.0,-10.738134295369772
"[CB,[B,mulnn,[S,[K,mulnn,1],getStripe]],[S,[K,addnn,0],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[CC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],0]",egg_num,num,program,0.0,1.0,-14.2038701981695
"[BB,[mulnn,1],[CS,[BK,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
"[BC,[B,mulnn,[S,[K,addnn,0],[B,I,I]]],[S,[B,addnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-15.302482486837608
"[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]",egg_num,num,program,0.0,8.0,-8.030084094267563
"[CS,[BK,mulnn,getStripe],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,4.0,-11.43128147592972
"[SB,[B,addnn,getDot],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-11.901285105175454
"[BC,[B,mulnn,[B,I,I]],[S,[B,addnn,getStripe],getDot]]",egg_num,num,program,0.0,2.0,-10.514990744055565
"[BC,[B,mulnn,[B,I,I]],[S,[K,addnn,0],getStripe]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],getStripe]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SC,[BK,mulnn,[S,[K,subnn,4],getStripe]],[B,getStripe,I]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[SC,[KB,mulnn,[S,[K,addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],[B,getStripe,I]]",egg_num,num,program,0.0,1.0,-11.43128147592972
"[CB,[B,mulnn,[C,[B,subnn,getStripe],0]],[B,I,I]]",egg_num,num,program,0.0,4.0,-11.43128147592972
"[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[C,[B,subnn,getStripe],0]]",egg_num,num,program,0.0,2.0,-15.52562603815182
"[BC,[B,mulnn,[S,[K,mulnn,1],[B,I,I]]],[S,[B,addnn,getDot],getStripe]]",egg_num,num,program,0.0,2.0,-15.302482486837608
"[BC,[B,mulnn,[C,[B,subnn,[B,I,I]],0]],[B,getStripe,I]]",egg_num,num,program,0.0,3.0,-12.124428656489664
"[CB,[B,mulnn,[B,getStripe,I]],[B,I,I]]",egg_num,num,program,0.0,12.0,-7.336936913707618
"[KS,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,[subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[CC,[BB,addnn,[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],getStripe]],0]",egg_num,num,program,0.0,1.0,-17.605067579831655
"[CS,[BB,mulnn,[CK,[B,addnn,getStripe],0]],[B,I,I]]",egg_num,num,program,0.0,2.0,-13.510723017609552
"[BC,[B,mulnn,[B,I,I]],[B,[mulnn,1],getStripe]]",egg_num,num,program,0.0,8.0,-10.738134295369772
"[SB,[B,mulnn,[S,[K,subnn,4],getStripe]],[SK,[K,mulnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[KS,[B,mulnn,[B,I,I]],[S,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]",egg_num,num,program,0.0,4.0,-8.030084094267563
"[BB,[addnn,0],[SC,[BK,mulnn,getStripe],[B,[subnn,4],getStripe]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
