terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,883.0,-12.5944322857354
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,903.0,-12.5944322857354
"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,416.0,-13.287579466295345
"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,383.0,-13.287579466295345
"[BB,[addnn,0],[SB,[B,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[B,getStripe,I]]]]",egg_num,num,program,0.0,1.0,-26.2637603335216
"[SS,[BK,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.6887768479575
"[SS,[KK,addnn,0],[BB,[addnn,0],[SB,[B,addnn,[B,[subnn,0],getDot]],[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]]]]",egg_num,num,program,0.0,1.0,-29.72949623632132
"[SB,[K,mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,24.0,-18.768218389637337
"[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],getDot]]",egg_num,num,program,0.0,2.0,-18.768218389637337
"[BS,[B,mulnn,[K,getStripe,Egg(S1,O3)]],[SC,[BB,addnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,[subnn,0],getDot]]]",egg_num,num,program,0.0,1.0,-25.858295225413425
"[SS,[BB,addnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,getDot,I]]],[KK,getDot,Egg(S3,O0)]]",egg_num,num,program,0.0,3.0,-23.84339220487116
"[CC,[BB,mulnn,[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]],1]",egg_num,num,program,0.0,12.0,-19.46136557019728
"[BB,[mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,14.0,-18.07507120907739
"[CS,[BB,addnn,[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],[B,[addnn,0],getStripe]]],getDot]],[C,[K,addnn,0],0]]",egg_num,num,program,0.0,1.0,-29.036349055761374
"[SS,[BB,addnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]],[CB,[K,mulnn,0],[B,I,I]]]",egg_num,num,program,0.0,2.0,-25.412008122785004
"[SS,[BB,subnn,[SB,[K,mulnn,1],[BC,[B,mulnn,[B,I,I]],getStripe]]],[BC,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-24.94200449353927
"[SB,[B,addnn,[B,[subnn,3],getDot]],[CC,[BB,subnn,[CS,[KB,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]],3]]",egg_num,num,program,0.0,2.0,-28.343201875201427
"[SC,[BB,subnn,[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,1.0,-18.768218389637333
"[SC,[BB,subnn,[KS,[B,mulnn,[S,[K,subnn,4],[B,I,I]]],[B,I,I]]],getDot]",egg_num,num,program,0.0,5.0,-18.075071209077397
"[BS,[K,subnn,0],[SB,[B,subnn,getDot],[CS,[BK,mulnn,[B,getStripe,I]],[B,I,I]]]]",egg_num,num,program,0.0,1.0,-19.46136557019728
"[SB,[B,addnn,[B,[subnn,0],getDot]],[KS,[B,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]]",egg_num,num,program,0.0,1.0,-20.783121410179604
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,6.0,-16.6887768479575
"[SC,[BB,subnn,[BC,[B,mulnn,[S,[K,addnn,0],[B,I,I]]],getStripe]],getDot]",egg_num,num,program,0.0,3.0,-17.381924028517446
"[SC,[BB,subnn,[SK,[B,mulnn,[S,[K,subnn,4],getStripe]],getStripe]],getDot]",egg_num,num,program,0.0,7.0,-16.6887768479575
"[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,getDot,I]]",egg_num,num,program,0.0,8.0,-13.980726646855288
"[SB,[B,mulnn,[C,[K,mulnn,1],1]],[SS,[BB,addnn,[BC,[K,subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]]",egg_num,num,program,0.0,1.0,-29.72949623632132
"[SB,[K,mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]]",egg_num,num,program,0.0,1.0,-19.46136557019728
"[SS,[KB,mulnn,[K,[addnn,0],1]],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[C,[B,mulnn,getStripe],1]]],getDot]]",egg_num,num,program,0.0,2.0,-28.34320187520143
"[BS,[B,addnn,[K,getDot,Egg(S2,O0)]],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],[S,[K,addnn,0],getStripe]]],[C,[B,addnn,getDot],0]]]",egg_num,num,program,0.0,2.0,-32.03208132931536
"[SC,[BB,subnn,[CB,[B,mulnn,[B,getStripe,I]],[B,I,I]]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,3.0,-17.381924028517442
"[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,4.0,-17.381924028517446
"[SB,[B,addnn,[S,[K,subnn,0],getDot]],[CB,[B,mulnn,[C,[B,addnn,getStripe],0]],[B,I,I]]]",egg_num,num,program,0.0,2.0,-21.476268590739547
"[SC,[BB,subnn,[CB,[B,mulnn,[B,[mulnn,1],getStripe]],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,3.0,-17.381924028517442
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,addnn,[B,I,I]],0]]],getDot]",egg_num,num,program,0.0,1.0,-17.381924028517446
"[SC,[BB,addnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,6.0,-16.6887768479575
"[SS,[BB,addnn,[BK,[subnn,0],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,4.0,-18.07507120907739
"[SS,[BK,addnn,[B,[subnn,0],getDot]],[BC,[B,mulnn,[B,I,I]],getStripe]]",egg_num,num,program,0.0,2.0,-16.6887768479575
"[SC,[BB,subnn,[BB,[mulnn,1],[SC,[KB,mulnn,[B,[addnn,0],[B,I,I]]],getStripe]]],getDot]",egg_num,num,program,0.0,3.0,-22.86256295185944
"[SC,[BB,subnn,[BS,[B,mulnn,[B,I,I]],[BS,[K,subnn,4],[KB,I,I]]]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-24.94200449353927
