terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[CB,[B,mulnn,[S,[K,subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,1.0,-11.43128147592972
"[CS,[BK,subnn,[S,[B,mulnn,getStripe],getDot]],[B,I,I]]",egg_num,num,program,0.0,1.0,-11.208137924615508
"[SS,[BB,mulnn,[BK,[subnn,4],getStripe]],[CB,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-18.991361940951546
"[CS,[BK,mulnn,[S,[K,subnn,0],getDot]],[C,[B,subnn,[B,I,I]],3]]",egg_num,num,program,0.0,2.0,-16.911920399271708
"[SK,[B,mulnn,getDot],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,8.0,-10.738134295369772
"[SS,[BB,addnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[CK,[B,subnn,getStripe],4]]",egg_num,num,program,0.0,1.0,-18.768218389637337
"[CB,[B,mulnn,[S,[K,subnn,4],getStripe]],[S,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[CB,[B,subnn,[S,[B,mulnn,getDot],getStripe]],[C,[B,subnn,[B,I,I]],0]]",egg_num,num,program,0.0,2.0,-15.302482486837608
"[KS,[B,mulnn,[B,I,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,11.0,-11.43128147592972
"[CB,[B,mulnn,getDot],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,11.0,-10.738134295369772
"[CS,[KB,mulnn,[B,[subnn,3],[B,I,I]]],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[SC,[BB,mulnn,[SK,[K,subnn,3],getDot]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-13.510723017609552
"[CB,[B,mulnn,[B,[addnn,0],getDot]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,4.0,-14.832478857591871
"[CB,[B,mulnn,[S,[K,subnn,4],getStripe]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,3.0,-15.52562603815182
"[SS,[BK,mulnn,getDot],[BC,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[BC,[B,mulnn,[S,[K,subnn,3],[B,I,I]]],getDot]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[CS,[BK,mulnn,getDot],[S,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[SB,[B,subnn,[S,[B,mulnn,getStripe],getDot]],[KS,[K,mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.6887768479575
"[BC,[B,mulnn,[B,I,I]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,10.0,-11.43128147592972
"[SC,[BB,mulnn,[BK,getDot,I]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[SC,[BB,subnn,[SK,[B,mulnn,getDot],getStripe]],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-16.6887768479575
"[BS,[B,mulnn,[B,I,I]],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,4.0,-12.124428656489664
"[CB,[B,mulnn,[B,[subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,8.0,-10.738134295369772
"[SK,[B,mulnn,[C,[B,mulnn,getDot],1]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[BC,[B,mulnn,[B,I,I]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,17.0,-10.738134295369772
"[SB,[B,mulnn,getDot],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[SK,[B,mulnn,getDot],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,17.0,-10.044987114809828
"[CS,[KB,mulnn,[S,[K,addnn,0],[B,I,I]]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[BC,[B,mulnn,[C,[B,subnn,[B,I,I]],0]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-16.218773218711764
"[SC,[BK,mulnn,getDot],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[SS,[BK,mulnn,[B,[subnn,3],getDot]],[CK,[B,addnn,getDot],0]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[CS,[BB,mulnn,[KB,[subnn,3],[B,I,I]]],[B,I,I]]",egg_num,num,program,0.0,1.0,-13.510723017609552
"[SC,[BK,subnn,[S,[B,mulnn,getStripe],getDot]],getDot]",egg_num,num,program,0.0,2.0,-10.514990744055565
"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,5.0,-10.738134295369772
"[SK,[B,mulnn,getDot],[C,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,8.0,-10.738134295369772
"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],getDot]",egg_num,num,program,0.0,9.0,-10.738134295369772
"[CS,[BB,mulnn,[BK,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,3.0,-12.817575837049608
"[SC,[KB,mulnn,[B,[subnn,3],[B,I,I]]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-15.52562603815182
"[BS,[B,mulnn,[B,I,I]],[BC,[K,subnn,3],getDot]]",egg_num,num,program,0.0,7.0,-12.817575837049608
"[SC,[BB,mulnn,[BC,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,4.0,-12.817575837049608
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,1.0,-12.594432285735396
"[BC,[B,mulnn,[B,I,I]],[C,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[CB,[B,addnn,[S,[B,mulnn,getDot],getStripe]],[B,[subnn,0],[B,I,I]]]",egg_num,num,program,0.0,2.0,-14.609335306277664
"[CB,[B,mulnn,getDot],[S,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,4.0,-11.43128147592972
"[CS,[BK,mulnn,getDot],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,5.0,-11.43128147592972
"[SK,[B,mulnn,[B,[subnn,3],getDot]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,3.0,-14.832478857591871
"[BS,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[KS,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,2.0,-17.605067579831655
"[SC,[BK,mulnn,[C,[B,subnn,getStripe],1]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-15.52562603815182
"[SC,[BK,addnn,[B,[subnn,0],getDot]],[S,[B,mulnn,getDot],getStripe]]",egg_num,num,program,0.0,1.0,-14.609335306277664
"[SC,[BK,mulnn,getDot],[C,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,4.0,-11.431281475929715
"[SC,[BK,subnn,[S,[B,mulnn,getStripe],getDot]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-11.208137924615508
