terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[SB,[B,mulnn,[K,[subnn,1],0]],[BB,[addnn,0],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[B,[addnn,0],getDot]]]]",egg_num,num,program,0.0,6.0,-33.82384079854342
"[SS,[BB,addnn,[KK,getDot,Egg(S2,O0)]],[SC,[BB,addnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[B,[subnn,0],getDot]]]",egg_num,num,program,0.0,4.0,-28.63088394765321
"[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[SK,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,12.0,-18.768218389637337
"[BS,[B,mulnn,[K,getStripe,Egg(S1,O3)]],[BB,[subnn,4],[BB,[subnn,4],[SC,[BB,addnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[B,[subnn,0],getDot]]]]]",egg_num,num,program,0.0,2.0,-38.89901461377725
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]",egg_num,num,program,0.0,3.0,-12.594432285735396
"[SC,[BB,subnn,[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[SK,[K,mulnn,1],getDot]]],[K,[subnn,0],0]]",egg_num,num,program,0.0,8.0,-29.72949623632132
"[SB,[K,addnn,0],[SS,[BB,mulnn,[BB,[mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[C,[B,addnn,getDot],0]]]],[KK,getDot,Egg(S3,O1)]]]",egg_num,num,program,0.0,19.0,-40.285308974897134
"[SC,[BB,addnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,32.0,-17.381924028517446
"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BK,[addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-18.07507120907739
"[BB,[addnn,0],[SB,[K,addnn,0],[SS,[BK,addnn,[K,getDot,Egg(S1,O0)]],[SS,[BK,addnn,[S,[K,subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]]]]",egg_num,num,program,0.0,3.0,-39.5921617943372
"[BB,[mulnn,1],[SB,[K,mulnn,1],[SS,[KK,addnn,0],[SB,[K,mulnn,1],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BB,getDot,[BK,I,I]]]]]]]",egg_num,num,program,0.0,2.0,-41.44845978470282
"[BS,[K,addnn,2],[CC,[BB,subnn,[SS,[KK,addnn,0],[SC,[BB,addnn,[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]]],[C,[K,mulnn,3],0]]]],2]]",egg_num,num,program,0.0,18.0,-53.73149347136911
"[SB,[K,mulnn,1],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]",egg_num,num,program,0.0,2.0,-19.46136557019728
"[SC,[BB,addnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[K,[subnn,1],1]]",egg_num,num,program,0.0,3.0,-27.02144603521911
"[SS,[KK,addnn,0],[BB,[addnn,0],[SS,[BB,addnn,[SB,[K,addnn,0],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,addnn,getDot],0]]]],[SC,[KK,mulnn,0],getStripe]]]]",egg_num,num,program,0.0,4.0,-50.107152538392754
"[SS,[KK,mulnn,1],[BS,[K,mulnn,1],[SC,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[S,[K,addnn,0],getDot]]]]",egg_num,num,program,0.0,3.0,-32.5020849585611
"[BB,[addnn,0],[CS,[BB,addnn,[BS,[K,addnn,0],[BS,[K,mulnn,1],[SS,[KK,addnn,0],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]]]],[S,[K,mulnn,0],[B,I,I]]]]",egg_num,num,program,0.0,4.0,-49.41400535783281
"[BS,[K,mulnn,1],[BB,[mulnn,1],[SB,[K,addnn,0],[BB,[mulnn,1],[SC,[BB,mulnn,[BS,[B,addnn,[K,getDot,Egg(S2,O0)]],[BB,[mulnn,1],[CS,[BB,subnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,addnn,getDot],0]]],[K,[subnn,0],0]]]]],[K,getDot,Egg(S3,O1)]]]]]]",egg_num,num,program,0.0,2.0,-76.16487478850306
"[BB,[mulnn,1],[SB,[K,addnn,0],[BB,[mulnn,1],[SC,[BB,mulnn,[BS,[B,addnn,[K,getDot,Egg(S2,O0)]],[BB,[mulnn,1],[CS,[BB,subnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,addnn,getDot],0]]],[K,[subnn,0],0]]]]],[K,getDot,Egg(S3,O1)]]]]]",egg_num,num,program,0.0,10.0,-69.99108868460112
"[BS,[K,addnn,0],[BB,[mulnn,1],[CC,[BB,mulnn,[SS,[KK,mulnn,1],[BS,[K,mulnn,1],[SC,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[S,[K,addnn,0],getDot]]]]],1]]]",egg_num,num,program,0.0,3.0,-51.02344327026691
"[SC,[BB,subnn,[SS,[KB,addnn,[B,I,I]],[CS,[KB,mulnn,[B,[subnn,3],[B,I,I]]],[C,[B,subnn,[B,I,I]],0]]]],getDot]",egg_num,num,program,0.0,7.0,-29.5063526850071
"[BB,[mulnn,1],[CC,[BB,subnn,[SS,[KK,mulnn,1],[BS,[B,addnn,[K,getDot,Egg(S3,O0)]],[BS,[B,mulnn,[K,getStripe,Egg(S1,O0)]],[SB,[B,addnn,[S,[K,subnn,0],getDot]],[SC,[KB,mulnn,[B,I,I]],getStripe]]]]]],0]]",egg_num,num,program,0.0,17.0,-54.935466275695056
"[BS,[B,addnn,[K,getDot,Egg(S3,O0)]],[SS,[BB,addnn,[KK,getDot,Egg(S2,O0)]],[SC,[BB,addnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[B,[subnn,0],getDot]]]]",egg_num,num,program,0.0,2.0,-37.80040232510913
"[BB,[mulnn,1],[BS,[K,addnn,0],[SB,[B,addnn,[B,[mulnn,0],getStripe]],[BB,[addnn,0],[CS,[BB,addnn,[BS,[K,addnn,0],[BS,[K,mulnn,1],[SS,[KK,addnn,0],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]]]],[S,[K,mulnn,0],[B,I,I]]]]]]]",egg_num,num,program,0.0,3.0,-70.4202703193266
"[BB,[mulnn,1],[CS,[BB,subnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,addnn,getDot],0]]],[K,[subnn,0],0]]]",egg_num,num,program,0.0,6.0,-33.82384079854342
"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,4.0,-17.381924028517446
