terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[SC,[KB,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,110.0,-7.336936913707618
"[SC,[KK,subnn,3],getDot]",egg_num,num,program,0.0,361.0,-7.560080465021828
"[SK,[K,subnn,3],getDot]",egg_num,num,program,0.0,622.0,-6.866933284461883
"[BC,[K,subnn,3],getDot]",egg_num,num,program,0.0,571.0,-6.866933284461883
"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,761.0,-6.1737861039019375
"[SC,[BK,subnn,[C,[K,addnn,1],2]],getDot]",egg_num,num,program,0.0,1.0,-12.347572207803871
"[SK,[B,addnn,[B,[subnn,2],getDot]],[K,getStripe,Egg(S1,O3)]]",egg_num,num,program,0.0,1.0,-13.957010120237976
"[SK,[K,mulnn,1],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[BC,[B,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,228.0,-6.643789733147672
"[BC,[K,addnn,2],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-10.738134295369774
"[SB,[B,subnn,[K,[addnn,1],2]],[BK,getDot,I]]",egg_num,num,program,0.0,1.0,-12.347572207803871
"[BB,[subnn,2],[SK,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,1.0,-11.43128147592972
"[SC,[BK,subnn,[B,[subnn,4],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SC,[KB,subnn,[C,[K,mulnn,1],4]],[B,[addnn,1],getDot]]",egg_num,num,program,0.0,1.0,-16.441916770025976
"[BB,[subnn,3],[BK,[mulnn,1],getDot]]",egg_num,num,program,0.0,5.0,-11.654425027243928
"[BK,[subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,15.0,-6.866933284461883
"[SK,[B,addnn,[K,getDot,Egg(S1,O2)]],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-13.733866568923762
"[BS,[B,subnn,[B,I,I]],[SK,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,2.0,-12.817575837049608
"[SK,[B,mulnn,[K,getStripe,Egg(S1,O1)]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-13.957010120237976
"[SK,[B,subnn,[K,[subnn,3],0]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-11.654425027243928
"[SC,[KB,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,2.0,-10.555812738575815
"[SK,[B,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,5.0,-9.862665558015872
"[BK,[mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,6.0,-10.26813066612404
"[CK,[B,addnn,[B,[subnn,2],getDot]],1]",egg_num,num,program,0.0,1.0,-10.961277846683982
"[SK,[B,subnn,[C,[K,subnn,3],0]],getDot]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[BC,[K,subnn,3],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[CS,[BK,subnn,[B,[subnn,2],getDot]],[C,[K,subnn,2],3]]",egg_num,num,program,0.0,1.0,-16.441916770025973
"[SC,[BK,subnn,[C,[K,addnn,0],3]],getDot]",egg_num,num,program,0.0,1.0,-12.347572207803871
"[SK,[B,subnn,[B,[mulnn,3],getStripe]],getDot]",egg_num,num,program,0.0,5.0,-10.044987114809828
"[SB,[K,subnn,3],[BK,[mulnn,1],getDot]]",egg_num,num,program,0.0,3.0,-12.347572207803877
"[SK,[K,addnn,2],[B,[subnn,1],getDot]]",egg_num,num,program,0.0,3.0,-10.961277846683984
"[SK,[K,subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,6.0,-7.560080465021828
"[SK,[B,subnn,[S,[K,subnn,4],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,3.0,-11.43128147592972
"[SK,[B,subnn,[S,[K,subnn,4],getStripe]],getDot]",egg_num,num,program,0.0,5.0,-10.738134295369772
"[BB,[subnn,2],[SC,[BK,subnn,getDot],getStripe]]",egg_num,num,program,0.0,1.0,-12.124428656489664
"[BB,[subnn,3],[BK,getDot,I]]",egg_num,num,program,0.0,7.0,-7.560080465021828
"[SK,[B,subnn,[B,[subnn,3],getDot]],[B,[subnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-14.139331677031928
"[SC,[BK,subnn,[C,[B,addnn,getStripe],2]],getDot]",egg_num,num,program,0.0,1.0,-11.431281475929715
"[SK,[B,addnn,[B,[subnn,2],getDot]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,1.0,-13.957010120237976
"[SK,[B,subnn,[K,[addnn,1],2]],getDot]",egg_num,num,program,0.0,1.0,-10.961277846683984
"[BK,[subnn,3],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,4.0,-10.961277846683984
"[SK,[B,subnn,[B,[subnn,4],getDot]],getStripe]",egg_num,num,program,0.0,2.0,-10.044987114809828
"[SK,[K,mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-10.961277846683984
"[SC,[BK,subnn,[B,[mulnn,3],getStripe]],getDot]",egg_num,num,program,0.0,1.0,-10.738134295369772
"[SK,[K,subnn,4],[S,[B,addnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-10.738134295369774
"[SS,[BK,subnn,[K,getDot,Egg(S1,O3)]],[BK,getDot,I]]",egg_num,num,program,0.0,1.0,-11.942107099695708
"[SK,[B,mulnn,[B,[subnn,3],getDot]],[K,[mulnn,1],1]]",egg_num,num,program,0.0,1.0,-15.055622408906082
"[SK,[B,subnn,[C,[K,addnn,1],2]],getDot]",egg_num,num,program,0.0,1.0,-11.654425027243928
"[SK,[B,subnn,[C,[K,addnn,2],1]],getDot]",egg_num,num,program,0.0,1.0,-11.654425027243928
"[BK,[addnn,2],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,4.0,-10.044987114809828
"[SK,[B,addnn,[B,[subnn,2],getDot]],[B,getStripe,I]]",egg_num,num,program,0.0,3.0,-10.738134295369772
"[BK,[mulnn,1],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-10.961277846683984
"[BC,[B,subnn,[K,[addnn,2],1]],getDot]",egg_num,num,program,0.0,2.0,-10.961277846683984
"[BC,[B,subnn,[K,[mulnn,3],1]],getDot]",egg_num,num,program,0.0,3.0,-10.961277846683984
"[CB,[B,mulnn,[B,[subnn,3],getDot]],[C,[K,subnn,4],3]]",egg_num,num,program,0.0,2.0,-15.748769589466027
"[SK,[K,subnn,2],[C,[B,subnn,getDot],1]]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[BS,[B,subnn,[B,I,I]],[CK,[B,addnn,getDot],0]]",egg_num,num,program,0.0,1.0,-12.817575837049608
"[SK,[B,subnn,[S,[K,mulnn,3],getStripe]],getDot]",egg_num,num,program,0.0,2.0,-10.738134295369772
"[BB,[addnn,1],[SK,[K,subnn,2],getDot]]",egg_num,num,program,0.0,2.0,-12.347572207803877
"[BC,[B,subnn,[C,[K,subnn,4],1]],getDot]",egg_num,num,program,0.0,2.0,-11.654425027243928
