terms,arg_types,return_type,type,is_init,count,comp_lp
O0,,dot,base_term,1.0,1.0,-1.6094379124341005
O1,,dot,base_term,1.0,1.0,-1.6094379124341005
O2,,dot,base_term,1.0,1.0,-1.6094379124341005
O3,,dot,base_term,1.0,1.0,-1.6094379124341005
O4,,dot,base_term,1.0,1.0,-1.6094379124341005
0,,num,base_term,1.0,1.0,-1.6094379124341005
1,,num,base_term,1.0,1.0,-1.6094379124341005
2,,num,base_term,1.0,1.0,-1.6094379124341005
3,,num,base_term,1.0,1.0,-1.6094379124341005
4,,num,base_term,1.0,1.0,-1.6094379124341005
S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
I,egg,egg,primitive,1.0,1.0,0.0
getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
"[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,856.0,-11.901285105175454
"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,409.0,-12.5944322857354
"[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[BK,getStripe,I]]",egg_num,num,program,0.0,11.0,-13.980726646855288
"[SS,[BB,mulnn,[BK,getStripe,I]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,4.0,-14.673873827415235
"[SS,[BK,mulnn,getStripe],[CS,[BK,addnn,[B,[subnn,0],getDot]],[B,I,I]]]",egg_num,num,program,0.0,1.0,-17.381924028517446
"[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,393.0,-12.5944322857354
"[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,441.0,-12.5944322857354
"[SC,[BB,mulnn,[SC,[KB,subnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,169.0,-13.287579466295345
"[BB,[addnn,0],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,34.0,-17.381924028517446
"[SB,[K,mulnn,1],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,18.0,-18.07507120907739
"[SB,[K,addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[SS,[KK,addnn,0],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,7.0,-19.46136557019728
"[SS,[BK,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,135.0,-13.287579466295345
"[BB,[mulnn,1],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,44.0,-17.381924028517446
"[CC,[BB,subnn,[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]],0]",egg_num,num,program,0.0,19.0,-18.768218389637337
"[BB,[mulnn,1],[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,13.0,-18.07507120907739
"[BS,[K,addnn,0],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,3.0,-18.768218389637337
"[SB,[B,mulnn,[S,[K,addnn,0],getStripe]],[SK,[B,subnn,[B,[subnn,4],getDot]],getStripe]]",egg_num,num,program,0.0,1.0,-20.089974229619656
"[SC,[BB,mulnn,[SC,[KB,subnn,[S,[K,mulnn,1],[B,I,I]]],getDot]],[B,[mulnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-22.16941577129949
"[SS,[BB,addnn,[SK,[K,subnn,0],getDot]],[SB,[B,mulnn,getStripe],[KB,I,I]]]",egg_num,num,program,0.0,2.0,-20.154512750757227
"[SB,[K,addnn,0],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[BB,[mulnn,1],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,5.0,-18.07507120907739
"[BS,[K,addnn,0],[SC,[BB,mulnn,[SC,[KB,subnn,[B,I,I]],[B,getDot,I]]],[C,[B,mulnn,getStripe],1]]]",egg_num,num,program,0.0,2.0,-24.94200449353927
"[SB,[B,mulnn,[B,[mulnn,1],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-16.6887768479575
"[CC,[BB,addnn,[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],[B,getDot,I]]]],0]",egg_num,num,program,0.0,2.0,-20.154512750757227
"[CC,[BB,mulnn,[BB,[mulnn,1],[SB,[B,mulnn,[S,[K,mulnn,1],getStripe]],[BC,[B,subnn,[B,I,I]],getDot]]]],1]",egg_num,num,program,0.0,1.0,-29.036349055761374
"[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[KB,[subnn,4],[B,I,I]]]",egg_num,num,program,0.0,3.0,-18.768218389637333
"[SB,[K,addnn,0],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,18.0,-18.07507120907739
"[BB,[addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,9.0,-18.07507120907739
"[CC,[BB,subnn,[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]],0]",egg_num,num,program,0.0,2.0,-19.46136557019728
"[CS,[BB,addnn,[SB,[B,mulnn,getStripe],[BC,[K,subnn,4],[S,[B,addnn,getStripe],getDot]]]],[K,getDot,Egg(S1,O0)]]",egg_num,num,program,0.0,3.0,-25.85829522541343
"[SB,[B,mulnn,[B,[mulnn,1],getStripe]],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-15.995629667397557
"[SB,[B,mulnn,[B,[subnn,0],getStripe]],[CB,[B,subnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,5.0,-15.995629667397557
"[BS,[K,mulnn,1],[SS,[BK,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,3.0,-18.768218389637337
"[SB,[B,mulnn,getStripe],[BS,[K,addnn,0],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,2.0,-18.07507120907739
"[SC,[BB,addnn,[SB,[B,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]],[C,[B,mulnn,getStripe],0]]",egg_num,num,program,0.0,1.0,-26.733763962767327
"[SC,[BB,mulnn,[BS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[SB,[B,subnn,[B,[subnn,4],getDot]],[BK,getStripe,I]]]],[K,getDot,Egg(S1,O1)]]",egg_num,num,program,0.0,2.0,-31.338934148755413
"[SS,[KK,mulnn,1],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,9.0,-18.768218389637337
"[BS,[K,mulnn,1],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,16.0,-18.07507120907739
"[SB,[K,mulnn,1],[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[BK,getStripe,I]]]",egg_num,num,program,0.0,1.0,-20.154512750757224
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-13.287579466295345
"[BB,[addnn,0],[SS,[BK,mulnn,getStripe],[BS,[B,subnn,[B,I,I]],[BK,getDot,I]]]]",egg_num,num,program,0.0,2.0,-19.46136557019728
