condition,phase,trial,prediction,n,raw_ag,fitted_ag,raw_agr,fitted_agr,raw_rr,fitted_rr,raw_sim,fitted_sim,raw_gp,fitted_gp,raw_mm,fitted_mm,raw_lm,fitted_lm,rand
construct,A,1,0,40,1,0.4063603165339706,1,0.48097130650019343,0.999999433351487,0.44812705472894726,0,0.03703800888293978,2.7826554021958305e-6,0.031701748869264045,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,1,3,0,0.037102480216626835,0,0.03243929334373791,7.239129657446468e-19,0.03449204443032853,0,0.03703800888293978,0.0015378788124857303,0.03240956955125075,0.368393605824127,0.10404140060757998,0,0.05093634562786692,0.058823529411764705
construct,A,1,2,6,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,0.08911058682584537,0.0727886517497255,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,3,55,0,0.037102480216626835,0,0.03243929334373791,5.666485129985433e-7,0.034492278816124856,0.8017389851606763,0.33396512792255184,0.541353560678679,0.2813143057936819,0,0.050231372162427256,0.6699999999999999,0.14077136892646275,0.058823529411764705
construct,A,1,4,2,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0.19826101483932382,0.11046473883335159,0.3448078905115703,0.19068865367588664,0,0.050231372162427256,0.33000000000000007,0.09518344665553352,0.058823529411764705
construct,A,1,5,1,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,0.023025968036791373,0.042317557333746064,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,6,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,1.6121412977822958e-4,0.03177480036751941,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,7,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,1.1834034012067357e-7,0.03170052037468697,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,8,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,9.107664559555607e-12,0.03170046581309272,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,9,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,7.348957650028199e-17,0.03170046580889328,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
