exp_id,ix,condition,task_duration,age,sex,report_a,coded_a,report_b,coded_b
1,28,decon,480878,21,female,I believe that that spots touching the lines does not matter though the amount of lines on the egg matter. With 1 line it makes all sticks disappear whereas with 2 lines they stay the same and with 3 they add one.,complex,The amount of lines means you double the sticks by the amount there is to increase the amount of lines.,uncertain
1,29,decon,602847,19,male,When the black balls are larger than the amount of the orange sticks the amount of segments that equal to the number of black balls on the eggs disappear.   When the balls equal the number of orange sticks nothing happens.   When the amount of orange sticks is larger than the black balls the amount of black balls becomes the amount of segments that is added to the segment count. ,complex,If there are no balls present and the amount of sticks either equal or are larger than the amount of segments then we will add two segments.   Everything from before is true with the addition of this statement.,complex
1,30,decon,493121,27,female,If there are more dots than sticks it removes segments. If there are more sticks than dots it adds segments. If there are the same number of sticks and dots the number of segments stays the same. ,complex,Well now Im just confused. Im going to stick with my previous guess - more dots = remove segments more sticks = add segments UNLESS its just one dotsegment in which case nothing changes. But I genuinely have no idea Im sorry!,complex
1,31,construct,425717,43,female,One stripe does nothing two stripes doubles the stick and three stripes triples the stick. ,mult,The stripes increase the stick by the same number (3 stripes triple 4 stripes quadrupleetc) but the dots decrease the stick by taking away how many segments there are dots.,ground_truth
1,32,construct,1649338,34,male,the number of lines in the egg multiplies the segments in the stick e.g. 2 line egg multiplies the segments of the stick by 2,mult,3 dots is remove all segments. 2 dots is stay the same. 1 dot is half/minus 1,complex
1,33,construct,440599,24,male,The number of stick segments is multiplied by the number of egg stripes,mult,New stick segment number = original stick segment number multiplied by number of egg stripes then minus the number of egg spots,ground_truth
1,34,combine,675628,22,female,the number of stripes in the egg indicates how many times you multiply the number of stick segments by e.g. 1) egg=1 stick =3 --> 1x3=3 so stick length stays the same  2) egg=2 stick=2 --> 2x2=4 so stick length is now 4   3) egg=3 stick=1 --> 3x1=3 so stick length now 3 ,mult,so as said above the lines indicate how much you multiply the number of stick segments by and now i know that the dots indicate the number of segments to deduct e.g. 4) lines=1 spots=1 stick=3 --> 3x1-1=2,ground_truth
1,35,combine,278182,45,male,adds 2 segments to the stick only if there are 2 or more stripes on the egg,add_2,for each dot on an egg a segment of the stick is removed,subtraction
1,36,decon,375737,18,female,the reverse is happening for whatever reason. when the lines and dots are equal nothing changes. hte last option thorugh me off with adding the square. ,complex,the more lines that there are above one adds on two blocks but the dots remove one,add_2
1,37,combine,589745,32,female,The number of squares in the stick multiplied by the number of lines in the egg equals the new length of the stick,mult,The number of squares in the stick multiplied by the number of lines in the egg minus the number of dots in the egg equals the new length of the stick,ground_truth
1,38,combine,702339,33,female,Eggs with 1 stripe have no effect on the length (number of segments). 2 or more stripes on the egg increase the length by 2 segments.,add_2,The dots take away a segment of length per dot.,subtraction
1,39,construct,650708,51,female,The number of lines multiplies the length of the stick. So 1 line stays the same 2 lines doubles the stick length 3 lines triples the stick length,mult,The lines multiply the length of the stick and then take away a length of stick for each dot there is.,ground_truth
1,40,construct,413105,20,male,one stripe does not change the stick in any way 2 or 3 stripes both added 2 sticks. ,add_2,the dots take away a stick so he first example shows that one line makes no difference however the 3 dots then take away 3 sticks. example 5 ad 6 both add 2 sticks but take away 2 or 1 stick because of the dots,add_2
1,41,decon,694265,28,female,The egg with 3 dots and 1 stripe makes the stick disappear.  The egg with 2 stripes and 2 dots didnt alter the stick. The egg with 3 stripes and 1 dot increased the size of the stick by 1.   As the stripes increase after 2 on the egg the stick should grow.,complex,egg with 1 line will not multiply the stick size. egg with 2 lines will multiply by 2. egg with 3 lines will multiply by 3.,mult
1,42,construct,247409,24,male,1 stripe does nothing 2 stripes adds two blocks and 3 stripes adds 1 block,add_2,3 dots removes 3 blocks 2 dots does nothing 1 dot does nothing,uncertain
1,43,combine,343933,26,female,The length of the sticks is multiplied by the number of lines on the egg.,mult,The length is multiplied by the number of lines and then the number of dots is subtracted.,ground_truth
1,44,construct,248020,27,male,a single strip means the stick will not change the double strip egg means it will add 2 bars and the triple strip egg means it will change the bar to 3,complex,strips and black dots on the magical eggs must add or subtract something about the bar i am not really sure,uncertain
1,45,construct,475602,36,male,i think the number of stripes on a magic egg causes the number of stick segments to multiply by the number of stripes on the magic egg,mult,i think the number of stripes on a magic egg causes the stick segments to multiply by that number and then reduce by 1 segment for every dot on the magic egg,ground_truth
1,46,combine,622048,26,male,One stripe has no effect on the stick. Two stripes and three uneven stripes increase the length of the stick by two blocks,add_2,The number of dots is the number of blocks that must be removed from the stick,subtraction
1,47,combine,295544,23,female,Having extra lines adds extra length to the stick ,complex,Dots take away the same number of lines,subtraction
1,48,construct,359104,21,male,The number of stripes seem to matter  seems like if the number of stripes is greater than or equal to the number of segments on the stick it adds otherwise it doesnt,complex,So the dots seems to cancel out the number of segments added if there are 3 segments and 3 dots and the stripes is less then it is 0 so you have to subtract stripes from dots and then you can figure out how many to add,complex
1,49,decon,347996,22,female,The amount of dots on the eggs equates to the amount of segments on the stick. The more lines on an egg the less segments on the stick there is.,uncertain,The odd amount of lines on the egg doubles the amount of segments on the stick. If it is an odd number of lines on the egg the segment amount stays the same,complex
1,50,combine,465157,23,female,i think if an egg has one strip inside the it is not enough to cause any change in he ticks it gets in contact with ,uncertain,the number of black dots on the strip inside the egg determines how many segments decreases from the stick,subtraction
1,51,construct,485537,20,male,You times the number of sticks by the number of segments. For the second one there are 2 sticks and 2 segments so 2 x 2 = 4. This means there are 4 segments.,mult,You still do sticks time segments but then you minus the number of dots to get the end number of segments.,ground_truth
1,52,decon,385453,35,male,The relation is where the dots are placed within the egg and its relation to the lines,complex,The stick multiplies based on how many lines are within the egg,mult
1,53,combine,337121,29,female,The number if stripes is multiplise by the number of sticks,mult,The number of stripes is multiplied by the number of sticks and the each dot removes one stick,ground_truth
1,54,combine,309617,22,male,The number of stripes on the magic egg multiplies with the number of segments on the stick to increase the number.,mult,The stripes multiply with the segments whereas the spots on the magic egg indicate minus 1.,ground_truth
1,55,combine,251439,27,female,1 line no change - 2 lines 2 change 3 lines 2 change,add_2,The dots take lines away whereas the lines add some on.,complex
1,56,construct,446730,32,female,If the number of stripes on the egg is higher than the length of the stick then the length of the stick will increase. If the number of stripes on the egg is lower than the length of the stick then no change will occur. ,complex,If the number of stripes on the egg is higher than the stick then the stick will increase by the number of spots on the egg. If the number of stripes on the egg is lower than the stick then the stick will decrease by the number of spots on the egg.,complex
1,57,construct,185518,36,female,Any more than 1 line causing the stick to increase by 2,add_2,i dont have a clue!,uncertain
1,58,construct,363641,31,male,More than one line on the egg means 2 lines are added,add_2,Each dot removes a stick. 2+ lines on the egg add 2sticks,add_2
1,59,construct,320360,39,male,The number of stripes multiplies the number of segments,mult,The lines multiply the original amount but each dot on the egg removes a segment,ground_truth
1,60,construct,790916,22,female,The lines matter. One line doesnt make a difference. Two lines double the number of segments. Three lines doubles the segments then takes away one. ,mult,The number of lines multiplies the number of segments. Each dot takes away one segment.,ground_truth
1,61,decon,652839,51,female,if the stripes are more numerous than the stick then the stick will increase.  if the stripes are less then it will disappear.  if stripes the same then no change.,complex,Some interaction of stripes and spots dont know what. More stripes will increase stick if stick is smaller,complex
1,62,construct,484941,31,male,I think stripes from magic eggs increase the number of sticks,complex,I think the dots do something other than stripes Im not sure but they probably reduce the number of sticks,uncertain
1,63,combine,430933,32,female,The number of segments added to the stick depends on how many stripes the egg has,complex,It seems like the stripes add segments but if theres is spots it takes away,complex
1,64,decon,595418,31,female,1 line is - how many dots is -3 lines. 2 lines is = (nothing changes is dot number is equal to lines) 3 lines is + how many dots ,complex,1 line makes no changes. 2 lines doubles amount of lines. 3 lines,complex
1,65,decon,512631,48,female,If there are more spots than stripes the stick will get shorter,complex,Multiply the stripes by the sticks and that gives the end length of the stick,mult
1,66,construct,651988,21,male,If the number of lines is greater than 1 the stick will increase in length by 2,add_2,If the number of lines on the egg is greater than 1 the stick will increase in length by 2. However for each black dot on the egg the stick will decrease in length by 1.,add_2
1,67,construct,904128,30,male,You multiply the number of number of lines in the egg by the amount of sticks. The result is the length of the stick. ,mult,By the end I believe I figured it out. What happens is you first multiply the amount of lines in the egg by the amount of stick segments. Once you do that you then subtract the number of dots within the magic egg. The result is your final stick segment length,ground_truth
1,68,decon,859580,22,female,if the egg has one stripe and 3 dots the stick gets shorter if it has two stripes and two dots the stick stayed the same and if it has three stripes and only 1 dot the stick browns longer. ,complex,the dots change the length of the stick negatively in the way that they make it shorter. For each dot one unit of the stick is taken away.  However the stripes make the sticks longer. If there is one stripe only then the stick will stay the same length. If there are more than one stripe however then the stick will increase in length by two units.  When thinking how the egg effects the stick overall you must first take into account the stripes and add on any units that need to be added on if any. Then you must take into account the dots and take away the amount of units that there are dots. For example if the egg had five stripes and 1 dot then the stick would overall increase by 1 unit as 2-1=1.,complex
1,69,decon,808287,22,female,If the spot touches a stripe on the magic egg then it will decrease the length of the stick when the egg touches the stick. If the spots dont touch any stripes then there is no effect on the stick when the egg touches it.,complex,An egg with only stripes and no spots increases the length of the stick to be equal to the number of stripes in the egg. 1 stripe in an egg has no effect on the length of the stick.,uncertain
1,70,construct,658361,20,female,The number of sticks in the egg correlates to how much the sticks multiply in length. For example test 2 starts with 2 spaces and doubles in size matching the 2 sticks in the egg. Test 3 begins with one and becomes 3 being multiplied by 3.,mult,The addition of spots in the egg introduces a divisible action - in some cases depending on where they are positioned some blocks are removed. However in some cases there is no change  additional blocks are added. The positioning of the spots is what affects the type of effect on the blocks.,complex
