"","ix","condition","task.input.a_input","task.input.b_input","feedback","correct"
"1",383,"sub","The number of dots on the egg indicate how many segments the stick will lose.","The number of segments on the stick is multiplied by the number of stripes on the egg.","It was fun.",12
"2",384,"mult","Each line indicates what to multiply the number of segments by. Three lines x one segment = 3 segments.","The number of lines indicates how many times to multiply the original number of segments; the black dots indicate when to subtract one (FOLLOWS PEMDAS so the multiplication is done first as per the rules of the stripes then the subtraction based on the dots comes second)","Interesting! ",10
"3",385,"sub","The amount of dots in an egg take away the same amount of stick length. ","Dont know","NA",7
"4",386,"sub","each dot decreases the number of sticks by 1","the number of stripes affects the amounts decreasing","Instructions were a little confusing to begin with but overall fun task.   ",6
"5",387,"mult","if the egg has one stripe in it and touches the sticks the sticks are multiplied by the amount of lines in egg.  ","When the egg with spots touches the sticks the sticks are multiplied by the amount of stripes in the egg but then subtracted by the amount of spots. ","nothing",10
"6",388,"mult","If more than 2 red lines in the egg it adds 2 blocks","2 red lines in an egg add 2 blocks a further number of blocks added per black dot. If 1 red line no change if a red line and 1 dot - 1 block removed 2 dots - 2 blocks removed etc.","Good brain teaser ",4
"7",389,"mult","The magic eggs will cause an increase dependent on the sticks through multiplication of that number of sticks.","As mentioned in my previous guess the sticks will be the multiplier. In addition to this each circle in the egg will be a subtraction. This is proven to be true in each of the tests.","I hope that my guess was correct!",14
"8",390,"mult","The amount of sticks determined the sections in the egg.  e.g. 2 sticks in an egg will give 4 sections as 2 sections are added due to 2 sticks. they do this with the magic that they have.","The amount of magic eggs indicates how many sections there will be. more eggs the less sections. ","Found quite difficult to understand. ",3
"9",391,"sub","the spots  on the eggs indicate how many sticks will disappear","The number of stripes on the egg is how much the stick multiple by","Nope I have no comments regarding this experiment",5
"10",392,"mult","Multiple lines add two segments to the stick length. A single line does nothing.","A segment of the stick is removed for each dot there is on the egg. As per previous tests a single line does nothing.","None.",7
"11",393,"sub","The number of spots in the egg shows how many segments the stick will decrease by.","The number of stripes indicates how many times you need to multiply the blocks.","Interesting thanks Id like to know the answers!",8
