"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"1",512,"5d6fbcebc3eaed00019fccbc","mult","The number and placement of dots on the egg matters as they dictate what happens to the sticks. Different eggs can have the same impact on the sticks - eg. two different pattern eggs (examples 2  3)  both caused the stick to grow by two boxes. Some eggs do not change the sticks at all (example 1). ","The orange stripes will shorten the length of the sticks in proportion to the number of stripes. eg. 3 Stripes will shorten a stick by 3 boxes. ","I found this quite difficult. I hope I was correct but Im not confident. ",5
"2",513,"555b4c66fdf99b19786e3fa8","sub","The stick loses one segment for every line within the egg. I cant tell anything about the dots just now as the number of dots remained constant across all three test conditions","The stick loses one segment for every line in the egg but gains2 segments if the number of dots is greater than 1","The task was very clear and well presented. It might be nice if you could still see the other stick segments after you had made an initial guess but it was still straightforward to use.",8
"3",514,"5f71b02d5a717f01ae7ccfe4","sub","Currently my best guess is that the stick decreases in size based on how many stripes the egg has (ie one stripe means it decreases by one). However we cant be sure of what the spots do even as they seem not to matter as they do not change in the three tests.","The stick decreases by number of stripes and is multiplied by number of spots. I would need to see changing amounts of spots AND stripes to be sure of how these worked together.","No",12
"4",515,"60fd1351dfa793fc0641a7fa","sub","the number of stripes on the egg represent the number of blocks taken away from the stick. the number of dots do not matter","the number of stripes on the egg represents how many blocks get taken away. 1 dot does not affect the block but more than one dot adds two blocks to the stick","         ",5
"5",516,"5ee7665a74f20302efda997f","mult","When touching the sides of the circle they dont add anything but if in the centre of the circle they add a block. For every block in the centre a new block will be added.","The number of lines gets taken away from the blocks.","NA",6
"6",517,"5cd86c0731d19f0001425a89","mult","1 has no power 2 doubled the stick in length 3 increased the stick ","1 line minus 1 block of the stick 2 lines minuses 2 blocks of the stick 3 lines minuses 3 blocks of the stick","None ",5
"7",518,"603fe2f19b789f1504165333","mult","The sticks increase in segments when the magic egg touches it. The more dots the magic eggs have the more the segments increase.","The segments decrease down to the number of sticks are inside the egg","I enjoyed it.",3
"8",519,"60e810ff5c6e9a19ba26b574","sub","If the spot is touching the side of a line it decreases the number of segments by one. If the dot is in the middle of a line it will decrease the amount of segments by the number of lines in the egg.","dots increase segments whereas stripes decrease segments","No comment",3
"9",520,"6009b7359e9b700008905dfa","sub","0 three lines","the dots alone dont matter its the lines","not really it was ok.",8
"10",521,"5d8154a847a45600189e8f35","mult","The number of dots affect the sticks - in this case more than one dot will make the sticks longer by 2.","The number of red lines indicate the number by which the sticks will get shorter.","No",5
"11",522,"5e9717fa30881a0645f99bb0","sub","I think for every stripe on the egg it reduces the stick by 1 block. I dont think the spots matter as it was only ever the amount of stripes changing on each egg.","I think the spots multiply with the number of blocks already there. So 3 spots and 1 block turns into 3 blocks or 2 blocks and 2 spots turns into 4 blocks. ","No",9
"12",523,"60460256be7c58000ad5f8de","sub","The magic eggs decrease the length of the stick","When theres one magic egg the blocks dont increase nor decrease when theres 2 magic eggs the the blocks increase by 2 and when theres 3 the blocks decrease by 2","no",6
"13",524,"60c1e5ab56323dbfa3e2ba9b","mult","I think if the amount of eggs is less than the number of sticks then nothing happens. If the number of eggs is equal to or greater than it adds two to the stick. ","One stick inside the circle = one bar gone from the stick. ","This was fun! Now I wish I got to see how right or wrong I was! It would have been helpful to test things for myself to help me further figure it out before starting. ",3
"14",525,"5ead76cc47dc603fd02b316a","sub","The number of diagonal lines on the egg represent how much the sticks shrink. 2 lines on the egg = stick shrunken by 2 etc","The dots have a multiplying effect on the sticks. for every dot the stick length multiplied by that amount. 1 dot = length multiplied by 1 (ie the same length). 2 dots = stick length is multiplied by 2 etc","No additional comments",7
