"","rule_cat_a","rule_cat_b"
"1","mult","ground_truth"
"2","add_2","subtraction"
"3","mult","ground_truth"
"4","add_2","subtraction"
"5","mult","ground_truth"
"6","add_2","subtraction"
"7","complex","subtraction"
"8","uncertain","subtraction"
"9","mult","ground_truth"
"10","mult","ground_truth"
"11","add_2","complex"
"12","complex","complex"
"13","mult","subtraction"
"14","mult","subtraction"
"15","mult","subtraction"
"16","add_2","complex"
"17","mult","ground_truth"
"18","add_2","subtraction"
"19","mult","ground_truth"
"20","add_2","subtraction"
"21","complex","ground_truth"
"22","mult","ground_truth"
"23","mult","subtraction"
"24","complex","subtraction"
"25","mult","subtraction"
"26","mult","subtraction"
"27","mult","subtraction"
"28","mult","ground_truth"
"29","add_2","add_2"
"30","complex","complex"
"31","add_2","subtraction"
"32","mult","ground_truth"
"33","complex","complex"
"34","mult","ground_truth"
"35","mult","ground_truth"
"36","add_2","complex"
"37","add_2","subtraction"
"38","uncertain","subtraction"
"39","mult","subtraction"
"40","complex","complex"
"41","mult","ground_truth"
"42","complex","subtraction"
"43","mult","subtraction"
"44","add_2","complex"
"45","mult","ground_truth"
"46","uncertain","subtraction"
"47","mult","complex"
"48","mult","complex"
"49","complex","subtraction"
"50","complex","subtraction"
"51","mult","subtraction"
"52","mult","ground_truth"
"53","complex","subtraction"
"54","complex","subtraction"
"55","uncertain","complex"
"56","add_2","add_2"
"57","complex","complex"
"58","add_2","complex"
"59","add_2","complex"
"60","add_2","add_2"
"61","add_2","add_2"
"62","complex","complex"
"63","complex","complex"
"64","complex","complex"
"65","add_2","complex"
"66","complex","complex"
"67","add_2","complex"
"68","complex","complex"
"69","uncertain","complex"
"70","complex","subtraction"
"71","complex","subtraction"
"72","mult","subtraction"
"73","add_2","subtraction"
"74","mult","subtraction"
"75","complex","subtraction"
"76","add_2","subtraction"
"77","add_2","subtraction"
"78","uncertain","subtraction"
"79","add_2","subtraction"
"80","add_2","subtraction"
"81","complex","subtraction"
"82","add_2","subtraction"
"83","uncertain","subtraction"
"84","mult","subtraction"
"85","complex","subtraction"
"86","mult","subtraction"
"87","complex","subtraction"
"88","mult","subtraction"
"89","complex","subtraction"
"90","complex","subtraction"
"91","uncertain","subtraction"
"92","mult","ground_truth"
"93","mult","ground_truth"
"94","mult","ground_truth"
"95","mult","ground_truth"
"96","complex","ground_truth"
"97","mult","ground_truth"
"98","mult","ground_truth"
"99","mult","ground_truth"
"100","mult","ground_truth"
"101","mult","ground_truth"
"102","mult","ground_truth"
"103","mult","ground_truth"
"104","mult","ground_truth"
"105","mult","ground_truth"
"106","add_2","subtraction"
"107","mult","ground_truth"
"108","mult","ground_truth"
"109","add_2","add_2"
"110","mult","ground_truth"
"111","add_2","complex"
"112","add_2","subtraction"
"113","add_2","subtraction"
"114","add_2","subtraction"
"115","mult","ground_truth"
"116","mult","subtraction"
"117","add_2","subtraction"
"118","uncertain","subtraction"
"119","mult","ground_truth"
"120","mult","subtraction"
"121","mult","comp"
"122","add_2","subtraction"
"123","mult","ground_truth"
"124","mult","subtraction"
"125","add_2","complex"
"126","mult","comp"
"127","mult","comp"
"128","complex","subtraction"
"129","complex","complex"
"130","mult","comp"
"131","complex","uncertain"
"132","mult","ground_truth"
"133","add_2","ground_truth"
"134","mult","ground_truth"
"135","complex","complex"
"136","mult","comp"
"137","mult","ground_truth"
"138","mult","ground_truth"
"139","mult","comp"
"140","uncertain","subtraction"
"141","add_2","subtraction"
"142","add_2","subtraction"
"143","complex","complex"
"144","mult","comp"
"145","complex","complex"
"146","mult","subtraction"
"147","mult","complex"
"148","mult","ground_truth"
"149","add_2","complex"
"150","add_2","subtraction"
"151","mult","subtraction"
"152","add_2","subtraction"
"153","complex","subtraction"
"154","add_2","subtraction"
"155","mult","ground_truth"
"156","mult","subtraction"
"157","complex","subtraction"
"158","add_2","subtraction"
"159","mult","ground_truth"
"160","add_2","add_2"
"161","mult","ground_truth"
"162","complex","subtraction"
"163","mult","ground_truth"
"164","add_2","subtraction"
"165","complex","subtraction"
"166","complex","subtraction"
"167","complex","subtraction"
"168","add_2","subtraction"
"169","complex","subtraction"
"170","complex","subtraction"
"171","complex","uncertain"
"172","add_2","subtraction"
"173","complex","subtraction"
"174","complex","complex"
"175","mult","ground_truth"
"176","add_2","add_2"
"177","mult","subtraction"
"178","mult","ground_truth"
"179","complex","complex"
"180","mult","ground_truth"
"181","complex","subtraction"
"182","add_2","subtraction"
"183","uncertain","complex"
"184","mult","ground_truth"
"185","add_2","subtraction"
"186","mult","subtraction"
"187","mult","subtraction"
"188","complex","complex"
"189","mult","ground_truth"
"190","complex","complex"
"191","uncertain","subtraction"
"192","complex","subtraction"
"193","uncertain","subtraction"
"194","mult","ground_truth"
"195","complex","complex"
"196","mult","subtraction"
"197","complex","complex"
"198","mult","ground_truth"
"199","complex","complex"
"200","mult","ground_truth"
"201","mult","subtraction"
"202","mult","ground_truth"
"203","complex","complex"
"204","complex","subtraction"
"205","complex","complex"
"206","complex","complex"
"207","complex","complex"
"208","add_2","subtraction"
"209","complex","subtraction"
"210","mult","ground_truth"
"211","add_2","subtraction"
"212","complex","complex"
"213","complex","complex"
"214","uncertain","subtraction"
"215","mult","ground_truth"
"216","mult","ground_truth"
"217","mult","ground_truth"
"218","complex","subtraction"
"219","complex","subtraction"
"220","complex","complex"
"221","uncertain","uncertain"
