"","rule_cat_a","rule_cat_b"
"1","mult","ground_truth"
"2","mult","ground_truth"
"3","add_2","add_2"
"4","mult","ground_truth"
"5","add_2","complex"
"6","add_2","subtraction"
"7","add_2","subtraction"
"8","add_2","subtraction"
"9","mult","ground_truth"
"10","mult","subtraction"
"11","add_2","subtraction"
"12","uncertain","subtraction"
"13","mult","ground_truth"
"14","mult","subtraction"
"15","mult","comp"
"16","add_2","subtraction"
"17","mult","ground_truth"
"18","mult","subtraction"
"19","add_2","complex"
"20","mult","comp"
"21","mult","comp"
"22","complex","subtraction"
"23","complex","complex"
"24","mult","comp"
"25","complex","uncertain"
"26","mult","ground_truth"
"27","add_2","ground_truth"
"28","mult","ground_truth"
"29","complex","complex"
"30","mult","comp"
"31","mult","ground_truth"
"32","mult","ground_truth"
"33","mult","comp"
"34","uncertain","subtraction"
"35","add_2","subtraction"
"36","add_2","subtraction"
"37","complex","complex"
"38","mult","comp"
"39","complex","complex"
"40","mult","subtraction"
"41","mult","complex"
"42","mult","ground_truth"
"43","add_2","complex"
"44","add_2","subtraction"
"45","mult","subtraction"
"46","add_2","subtraction"
"47","complex","subtraction"
"48","add_2","subtraction"
"49","mult","ground_truth"
"50","mult","subtraction"
"51","complex","subtraction"
"52","add_2","subtraction"
"53","mult","ground_truth"
"54","add_2","add_2"
"55","mult","ground_truth"
"56","complex","subtraction"
"57","mult","ground_truth"
"58","add_2","subtraction"
"59","complex","subtraction"
"60","complex","subtraction"
"61","complex","subtraction"
"62","add_2","subtraction"
"63","complex","subtraction"
"64","complex","subtraction"
"65","complex","uncertain"
"66","add_2","subtraction"
"67","complex","subtraction"
"68","complex","complex"
"69","mult","ground_truth"
"70","add_2","add_2"
"71","mult","subtraction"
"72","mult","ground_truth"
"73","complex","complex"
"74","mult","ground_truth"
"75","complex","subtraction"
"76","add_2","subtraction"
"77","uncertain","complex"
"78","mult","ground_truth"
"79","add_2","subtraction"
"80","mult","subtraction"
"81","mult","subtraction"
"82","complex","complex"
"83","mult","ground_truth"
"84","complex","complex"
"85","uncertain","subtraction"
"86","complex","subtraction"
"87","uncertain","subtraction"
"88","mult","ground_truth"
"89","complex","complex"
"90","mult","subtraction"
"91","complex","complex"
"92","mult","ground_truth"
"93","complex","complex"
"94","mult","ground_truth"
"95","mult","subtraction"
"96","mult","ground_truth"
"97","complex","complex"
"98","complex","subtraction"
"99","complex","complex"
"100","complex","complex"
"101","complex","complex"
"102","add_2","subtraction"
"103","complex","subtraction"
"104","mult","ground_truth"
"105","add_2","subtraction"
"106","complex","complex"
"107","complex","complex"
"108","uncertain","subtraction"
"109","mult","ground_truth"
"110","mult","ground_truth"
"111","mult","ground_truth"
"112","complex","subtraction"
"113","complex","subtraction"
"114","complex","complex"
"115","uncertain","uncertain"
