"","rule_cat_a","rule_cat_b"
"1","complex","uncertain"
"2","complex","complex"
"3","complex","complex"
"4","complex","add_2"
"5","complex","mult"
"6","uncertain","complex"
"7","complex","mult"
"8","complex","complex"
"9","complex","complex"
"10","complex","mult"
"11","complex","complex"
"12","complex","uncertain"
"13","complex","add_2"
"14","complex","uncertain"
"15","complex","complex"
"16","complex","mult"
"17","complex","complex"
"18","complex","add_2"
"19","uncertain","uncertain"
"20","complex","complex"
"21","complex","mult"
"22","complex","uncertain"
"23","uncertain","mult"
"24","uncertain","mult"
"25","complex","mult"
"26","complex","complex"
"27","complex","mult"
"28","complex","complex"
"29","complex","mult"
"30","complex","add_2"
"31","complex","mult"
"32","uncertain","complex"
"33","complex","mult"
"34","uncertain","complex"
"35","uncertain","complex"
"36","complex","uncertain"
"37","complex","complex"
"38","complex","mult"
"39","complex","mult"
"40","complex","mult"
"41","complex","complex"
"42","complex","mult"
"43","complex","mult"
"44","complex","complex"
"45","complex","add_2"
"46","complex","mult"
"47","complex","mult"
"48","complex","complex"
"49","uncertain","mult"
"50","uncertain","uncertain"
"51","uncertain","uncertain"
"52","complex","complex"
"53","complex","mult"
"54","complex","mult"
"55","complex","mult"
"56","complex","uncertain"
"57","complex","mult"
"58","complex","complex"
"59","uncertain","mult"
"60","complex","uncertain"
"61","complex","complex"
"62","complex","ground_truth"
"63","complex","complex"
"64","complex","uncertain"
"65","complex","complex"
"66","complex","complex"
"67","complex","mult"
"68","complex","complex"
"69","complex","complex"
"70","complex","complex"
"71","complex","complex"
"72","complex","complex"
"73","complex","complex"
"74","complex","add_2"
"75","complex","complex"
"76","complex","mult"
"77","complex","mult"
"78","complex","add_2"
"79","complex","complex"
"80","complex","mult"
"81","complex","complex"
"82","complex","mult"
"83","complex","mult"
"84","complex","complex"
"85","uncertain","mult"
"86","uncertain","mult"
"87","uncertain","mult"
"88","complex","uncertain"
"89","complex","complex"
"90","complex","uncertain"
"91","complex","uncertain"
"92","add_2","complex"
"93","complex","uncertain"
"94","complex","complex"
"95","complex","add_2"
"96","complex","complex"
"97","complex","complex"
"98","uncertain","uncertain"
"99","complex","complex"
"100","complex","complex"
"101","complex","complex"
"102","complex","complex"
"103","complex","complex"
"104","complex","uncertain"
"105","complex","complex"
"106","complex","complex"
"107","uncertain","complex"
"108","complex","complex"
"109","complex","add_2"
"110","complex","mult"
"111","complex","mult"
"112","complex","complex"
"113","complex","complex"
"114","uncertain","complex"
"115","uncertain","uncertain"
"116","complex","complex"
"117","complex","complex"
