,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[BC,[B,mulnn,[C,[B,subnn,[B,I,I]],0]],getStripe]]]",egg_num,num,program,0.0,1.0,-22.862562951859438
25,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[CB,[B,mulnn,getStripe],[B,[addnn,0],[B,I,I]]]]]",egg_num,num,program,0.0,1.0,-22.16941577129949
26,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[BB,mulnn,[KS,[K,addnn,0],[B,I,I]]],[B,getStripe,I]]]]",egg_num,num,program,0.0,1.0,-25.63515167409922
27,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]]]",egg_num,num,program,0.0,1.0,-19.46136557019728
28,"[BB,[mulnn,1],[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]]]]",egg_num,num,program,0.0,1.0,-24.942004493539272
29,"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[C,[B,subnn,getStripe],0]]],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-21.54080711187712
30,"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-16.75331536909507
31,"[SS,[BB,subnn,[CB,[B,mulnn,[B,[addnn,0],getStripe]],[B,I,I]]],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-20.84765993131717
32,"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,getStripe,I]]],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,1.0,-18.07507120907739
33,"[SC,[BB,subnn,[CS,[BK,mulnn,[B,getStripe,I]],[B,I,I]]],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,2.0,-18.768218389637333
