,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SS,[KB,mulnn,[C,[K,subnn,1],0]],[SB,[B,mulnn,getStripe],[BS,[B,subnn,[B,I,I]],[BK,getDot,I]]]]",egg_num,num,program,0.0,4.0,-24.942004493539272
25,"[SS,[KB,mulnn,[C,[K,subnn,2],1]],[SB,[B,mulnn,getStripe],[BS,[B,subnn,[B,I,I]],[BK,getDot,I]]]]",egg_num,num,program,0.0,4.0,-24.942004493539272
26,"[SS,[KB,mulnn,[C,[K,subnn,3],2]],[SB,[B,mulnn,getStripe],[BS,[B,subnn,[B,I,I]],[BK,getDot,I]]]]",egg_num,num,program,0.0,4.0,-24.942004493539272
27,"[SS,[KB,mulnn,[C,[K,subnn,4],3]],[SB,[B,mulnn,getStripe],[BS,[B,subnn,[B,I,I]],[BK,getDot,I]]]]",egg_num,num,program,0.0,3.0,-24.942004493539272
28,"[SS,[BK,mulnn,[B,getStripe,I]],[CS,[BK,addnn,[B,[subnn,0],getDot]],[B,I,I]]]",egg_num,num,program,0.0,1.0,-18.075071209077393
29,"[BS,[B,mulnn,[S,[K,subnn,4],[B,I,I]]],[BC,[B,subnn,[B,[addnn,0],[B,I,I]]],[B,getDot,I]]]",egg_num,num,program,0.0,12.0,-22.169415771299494
30,"[SB,[B,mulnn,[K,getDot,Egg(S1,O1)]],[SS,[BK,mulnn,[B,getStripe,I]],[CS,[BK,addnn,[B,[subnn,0],getDot]],[B,I,I]]]]",egg_num,num,program,0.0,8.0,-27.24458958653332
31,"[SC,[BB,addnn,[SS,[BK,mulnn,[B,getStripe,I]],[CS,[BK,addnn,[B,[subnn,0],getDot]],[B,I,I]]]],[K,getDot,Egg(S1,O0)]]",egg_num,num,program,0.0,7.0,-27.937736767093263
32,"[SC,[BB,addnn,[SS,[BK,mulnn,[B,getStripe,I]],[CS,[BK,addnn,[B,[subnn,0],getDot]],[B,I,I]]]],[K,getDot,Egg(S3,O0)]]",egg_num,num,program,0.0,1.0,-27.937736767093263
