,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]",egg_num,num,program,0.0,2.0,-11.431281475929719
25,"[CS,[BB,mulnn,[BK,[subnn,3],getDot]],[B,I,I]]",egg_num,num,program,0.0,2.0,-12.817575837049608
26,"[BS,[B,mulnn,[B,I,I]],[CB,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609553
27,"[SB,[B,mulnn,[K,getStripe,Egg(S1,O3)]],[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]]",egg_num,num,program,0.0,1.0,-20.60079985338565
28,"[BB,[subnn,1],[BB,[subnn,1],[BS,[B,mulnn,[B,I,I]],[CB,[K,subnn,3],[B,I,I]]]]]",egg_num,num,program,0.0,1.0,-24.472000864293538
29,"[BB,[subnn,1],[BB,[subnn,1],[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]]]",egg_num,num,program,0.0,2.0,-22.392559322613703
30,"[BB,[subnn,3],[BB,[subnn,3],[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]]]",egg_num,num,program,0.0,3.0,-22.392559322613703
31,"[BB,[subnn,4],[BB,[subnn,4],[CB,[B,mulnn,[C,[B,subnn,getStripe],1]],[B,I,I]]]]",egg_num,num,program,0.0,1.0,-22.392559322613703
32,"[KS,[B,mulnn,[B,I,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,2.0,-11.431281475929719
33,"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,2.0,-10.738134295369772
34,"[SS,[BK,mulnn,getDot],[CC,[BK,subnn,getStripe],1]]",egg_num,num,program,0.0,1.0,-13.510723017609553
35,"[CB,[B,mulnn,getDot],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-10.738134295369772
36,"[SC,[BB,mulnn,[CB,[K,subnn,3],[B,I,I]]],[C,[B,addnn,getDot],0]]",egg_num,num,program,0.0,1.0,-18.298214760391602
