,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SK,[B,addnn,[B,[subnn,2],getDot]],[B,getStripe,I]]",egg_num,num,program,0.0,1.0,-10.738134295369772
25,"[SK,[B,mulnn,[B,[subnn,3],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-10.044987114809828
26,"[SK,[K,subnn,0],[C,[B,subnn,getDot],3]]",egg_num,num,program,0.0,1.0,-11.654425027243928
27,"[SK,[K,subnn,3],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,1.0,-11.654425027243928
28,"[BC,[B,subnn,[K,getDot,Egg(S1,O3)]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-10.555812738575817
29,"[BK,[addnn,0],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-10.961277846683984
30,"[BK,[addnn,1],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,1.0,-10.961277846683984
31,"[SK,[B,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,1.0,-9.862665558015873
32,"[BK,[subnn,4],[S,[B,addnn,getDot],getStripe]]",egg_num,num,program,0.0,1.0,-10.044987114809828
33,"[BK,[subnn,4],[S,[B,addnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-10.044987114809828
34,"[CB,[B,addnn,[B,[subnn,2],getDot]],[K,[addnn,0],1]]",egg_num,num,program,0.0,1.0,-15.055622408906082
35,"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[S,[K,subnn,2],getStripe]]",egg_num,num,program,0.0,1.0,-17.381924028517446
36,"[BK,[mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-10.268130666124039
37,"[BK,[subnn,3],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-10.268130666124039
38,"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,1.0,-6.1737861039019375
39,"[CK,[B,addnn,[B,[subnn,2],getDot]],1]",egg_num,num,program,0.0,1.0,-10.961277846683982
40,"[BC,[B,subnn,[B,I,I]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-7.336936913707618
41,"[CC,[BK,mulnn,[B,[subnn,3],getDot]],1]",egg_num,num,program,0.0,1.0,-11.654425027243928
42,"[SK,[B,mulnn,[K,[subnn,3],4]],[C,[B,subnn,getDot],3]]",egg_num,num,program,0.0,1.0,-15.74876958946603
43,"[SK,[K,subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-7.560080465021828
44,"[BC,[B,addnn,[K,getStripe,Egg(S1,O1)]],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,1.0,-14.650157300797918
45,"[BC,[B,addnn,[K,getStripe,Egg(S1,O2)]],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,1.0,-14.650157300797918
46,"[BC,[B,addnn,[K,getStripe,Egg(S1,O3)]],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,1.0,-14.650157300797918
47,"[SK,[B,addnn,[B,[subnn,2],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-10.044987114809828
