,rule,log_prob
0,"sub(3,spot(d))",-6.3561076606958915
1,"mult(sub(3,add(0,spot(d))),1)",-15.484804043631565
2,"add(sub(mult(stripe(d),add(1,mult(1,sub(mult(0,0),add(sub(spot(d),3),1))))),spot(d)),spot(d))",-42.00784697508322
3,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711947
4,"sub(stick(d),spot(d))",-6.068425588244111
5,"mult(sub(stick(d),spot(d)),1)",-10.632773779711947
6,"add(sub(stick(d),add(spot(d),stick(d))),mult(1,stick(d)))",-19.18610601774406
7,"mult(sub(3,sub(stick(d),sub(3,spot(d)))),stripe(d))",-19.473788090195836
8,"add(0,sub(add(mult(mult(3,mult(1,mult(0,1))),sub(sub(stripe(d),spot(d)),mult(mult(stripe(d),mult(0,spot(d))),mult(sub(spot(d),stripe(d)),3)))),3),spot(d)))",-63.966541715067066
9,"sub(add(mult(sub(stripe(d),sub(stripe(d),stripe(d))),2),stripe(d)),add(spot(d),0))",-28.027120328227937
10,"add(sub(0,sub(3,stick(d))),sub(3,spot(d)))",-19.76147016264762
11,"add(stick(d),sub(3,sub(spot(d),sub(2,sub(3,add(stripe(d),sub(mult(0,3),3)))))))",-37.73118085606717
12,"add(sub(stripe(d),spot(d)),2)",-10.632773779711947
13,"sub(stick(d),add(add(sub(add(0,spot(d)),3),1),2))",-24.325818354115448
14,"sub(sub(3,spot(d)),0)",-10.920455852163727
15,"add(sub(2,spot(d)),stripe(d))",-10.632773779711947
16,"mult(1,sub(add(add(0,spot(d)),3),sub(mult(add(2,1),spot(d)),spot(d))))",-33.16683266459933
17,"sub(add(2,mult(1,stripe(d))),spot(d))",-15.197121971179783
18,"sub(sub(sub(stick(d),mult(spot(d),mult(add(stick(d),2),0))),0),spot(d))",-28.314802400679717
19,"sub(1,sub(spot(d),sub(1,sub(stripe(d),2))))",-19.761470162647623
20,"mult(stripe(d),sub(mult(stripe(d),3),spot(d)))",-14.909439898728001
21,"add(add(0,sub(add(mult(0,spot(d)),2),spot(d))),1)",-24.325818354115448
22,"sub(add(add(add(2,mult(0,stick(d))),1),sub(spot(d),spot(d))),mult(spot(d),stripe(d)))",-32.591468519695766
23,"sub(2,sub(spot(d),stripe(d)))",-10.632773779711947
24,"add(sub(add(2,add(sub(sub(add(add(sub(sub(add(1,0),add(stripe(d),add(2,stripe(d)))),add(spot(d),3)),add(spot(d),stick(d))),add(2,stick(d))),stripe(d)),0),1)),2),sub(stripe(d),spot(d)))",-77.08422214456704
25,"sub(stripe(d),sub(spot(d),2))",-10.632773779711947
26,"sub(stripe(d),sub(sub(mult(add(spot(d),stripe(d)),stripe(d)),stick(d)),0))",-23.46277213676011
27,"sub(add(sub(3,spot(d)),sub(stick(d),add(3,0))),0)",-24.325818354115448
28,"sub(sub(add(sub(mult(stripe(d),0),0),sub(stripe(d),0)),sub(add(mult(mult(stripe(d),sub(add(0,0),0)),mult(mult(add(stick(d),mult(3,stripe(d))),sub(mult(spot(d),0),stripe(d))),stripe(d))),spot(d)),stick(d))),stripe(d))",-81.07320619113129
29,"sub(sub(0,mult(mult(spot(d),0),add(add(mult(0,0),2),sub(stripe(d),1)))),sub(spot(d),3))",-42.29552904753499
30,"add(sub(mult(mult(mult(sub(2,add(2,stripe(d))),sub(mult(stick(d),mult(mult(2,sub(spot(d),add(1,spot(d)))),3)),add(1,3))),add(3,add(0,0))),sub(0,sub(stripe(d),stripe(d)))),spot(d)),3)",-82.22393448093845
31,"sub(0,add(0,sub(add(sub(2,0),sub(spot(d),mult(add(2,2),add(0,0)))),add(2,sub(stripe(d),sub(stripe(d),3))))))",-55.988573621938514
32,"sub(stick(d),mult(sub(spot(d),0),1))",-15.197121971179783
33,"add(add(0,stick(d)),sub(1,add(stripe(d),add(spot(d),0))))",-24.038136281663668
34,"add(sub(3,spot(d)),0)",-10.920455852163728
35,"sub(add(0,sub(stick(d),spot(d))),sub(stick(d),stick(d)))",-19.186106017744056
36,"sub(add(2,add(mult(0,mult(stick(d),stick(d))),stripe(d))),spot(d))",-23.750454209211888
37,"sub(add(stick(d),0),spot(d))",-10.632773779711947
38,"add(add(mult(2,stripe(d)),add(3,3)),sub(sub(sub(0,3),spot(d)),2))",-33.45451473705111
39,"sub(stripe(d),sub(spot(d),sub(stick(d),1)))",-14.909439898728001
40,"sub(add(sub(stick(d),2),2),spot(d))",-15.197121971179783
41,"add(sub(sub(add(stick(d),stripe(d)),stripe(d)),stick(d)),sub(stick(d),spot(d)))",-23.17509006430833
42,"sub(sub(stripe(d),stripe(d)),sub(spot(d),stick(d)))",-14.62175782627622
43,"add(sub(stick(d),spot(d)),0)",-10.632773779711947
44,"sub(mult(3,sub(sub(3,stripe(d)),stripe(d))),spot(d))",-19.47378809019584
45,"sub(0,sub(spot(d),stick(d)))",-10.632773779711945
46,"sub(add(3,mult(mult(sub(3,1),add(sub(mult(mult(stripe(d),spot(d)),mult(3,sub(1,3))),add(stripe(d),mult(mult(2,stick(d)),spot(d)))),stripe(d))),0)),spot(d))",-63.96654171506706
47,"sub(stick(d),mult(spot(d),1))",-10.632773779711947
48,"sub(add(add(sub(3,add(spot(d),stripe(d))),1),stick(d)),3)",-24.038136281663668
49,"sub(0,add(mult(spot(d),0),sub(spot(d),3)))",-19.761470162647615
50,"sub(2,mult(add(add(sub(2,add(3,add(stripe(d),spot(d)))),3),sub(mult(add(stripe(d),mult(2,spot(d))),sub(3,2)),stick(d))),1))",-55.41320947703495
51,"sub(sub(stick(d),spot(d)),mult(0,add(add(sub(spot(d),mult(0,add(stick(d),stripe(d)))),stripe(d)),mult(3,0))))",-41.43248283017966
52,"sub(stick(d),sub(add(add(spot(d),0),sub(2,0)),2))",-24.325818354115448
53,"add(sub(stick(d),spot(d)),mult(0,0))",-15.197121971179783
